"Label (Grouping)","Boston city, Suffolk County, Massachusetts!!Number!!Estimate","Boston city, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Boston city, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","",""
"    Households","271,950","271,950","81,744"
"        One race--","","",""
"            White","150,234","55.2%","110,447"
"            Black or African American","57,678","21.2%","52,898"
"            American Indian and Alaska Native","692","0.3%","31,850"
"            Asian","26,182","9.6%","58,236"
"            Native Hawaiian and Other Pacific Islander","207","0.1%","-"
"            Some other race","15,883","5.8%","33,712"
"        Two or more races","21,074","7.7%","57,330"
"        Hispanic or Latino origin (of any race)","46,219","17.0%","44,732"
"        White alone, not Hispanic or Latino","135,584","49.9%","116,299"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","",""
"    15 to 24 years","16,379","6.0%","36,900"
"    25 to 44 years","120,289","44.2%","104,542"
"    45 to 64 years","84,585","31.1%","84,326"
"    65 years and over","50,697","18.6%","41,833"
"FAMILIES","","",""
"    Families","128,147","128,147","95,750"
"        With own children of householder under 18 years","50,336","39.3%","76,575"
"        With no own children of householder under 18 years","77,811","60.7%","107,317"
"        Married-couple families","77,392","60.4%","137,974"
"            With own children under 18 years","26,980","21.1%","139,979"
"        Female householder, no spouse present","39,570","30.9%","45,369"
"            With own children under 18 years","19,708","15.4%","31,330"
"        Male householder, no spouse present","11,185","8.7%","70,138"
"            With own children under 18 years","3,648","2.8%","58,008"
"FAMILY INCOME BY FAMILY SIZE","","",""
"    2-person families","62,073","48.4%","91,731"
"    3-person families","31,829","24.8%","91,934"
"    4-person families","20,184","15.8%","111,561"
"    5-person families","8,842","6.9%","103,693"
"    6-person families","3,323","2.6%","101,538"
"    7-or-more person families","1,896","1.5%","129,229"
"FAMILY INCOME BY NUMBER OF EARNERS","","",""
"    No earners","14,115","11.0%","19,683"
"    1 earner","38,090","29.7%","51,159"
"    2 earners","59,280","46.3%","132,167"
"    3 or more earners","16,662","13.0%","144,182"
"NONFAMILY HOUSEHOLDS","","",""
"    Nonfamily households","143,803","143,803","65,787"
"        Female householder","77,803","54.1%","60,090"
"            Living alone","55,773","38.8%","42,710"
"            Not living alone","22,030","15.3%","121,504"
"        Male householder","66,000","45.9%","73,281"
"            Living alone","42,772","29.7%","46,970"
"            Not living alone","23,228","16.2%","133,940"
