"Label (Grouping)","Boston city, Suffolk County, Massachusetts!!Number!!Estimate","Boston city, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Boston city, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","",""
"    Households","263,229","263,229","62,021"
"        One race--","","",""
"            White","153,774","58.4%","83,726"
"            Black or African American","58,944","22.4%","40,507"
"            American Indian and Alaska Native","911","0.3%","37,639"
"            Asian","23,225","8.8%","41,185"
"            Native Hawaiian and Other Pacific Islander","79","0.0%","-"
"            Some other race","16,618","6.3%","28,465"
"        Two or more races","9,678","3.7%","53,109"
"        Hispanic or Latino origin (of any race)","42,705","16.2%","32,780"
"        White alone, not Hispanic or Latino","135,746","51.6%","90,617"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","",""
"    15 to 24 years","16,466","6.3%","29,856"
"    25 to 44 years","115,763","44.0%","78,993"
"    45 to 64 years","82,583","31.4%","67,253"
"    65 years and over","48,417","18.4%","29,276"
"FAMILIES","","",""
"    Families","126,885","126,885","69,616"
"        With own children of householder under 18 years","53,594","42.2%","52,100"
"        With no own children of householder under 18 years","73,291","57.8%","82,214"
"        Married-couple families","72,399","57.1%","111,755"
"            With own children under 18 years","27,089","21.3%","112,495"
"        Female householder, no husband present","42,988","33.9%","32,763"
"            With own children under 18 years","22,464","17.7%","22,104"
"        Male householder, no wife present","11,498","9.1%","55,492"
"            With own children under 18 years","4,041","3.2%","42,256"
"FAMILY INCOME BY FAMILY SIZE","","",""
"    2-person families","(X)","(X)","66,874"
"    3-person families","(X)","(X)","66,759"
"    4-person families","(X)","(X)","75,744"
"    5-person families","(X)","(X)","79,271"
"    6-person families","(X)","(X)","73,650"
"    7-or-more person families","(X)","(X)","98,688"
"FAMILY INCOME BY NUMBER OF EARNERS","","",""
"    No earners","14,175","11.2%","17,090"
"    1 earner","41,723","32.9%","39,352"
"    2 earners","55,346","43.6%","107,866"
"    3 or more earners","15,641","12.3%","114,850"
"NONFAMILY HOUSEHOLDS","","",""
"    Nonfamily households","136,344","136,344","51,659"
"        Female householder","72,722","53.3%","45,284"
"            Living alone","54,139","39.7%","32,591"
"            Not living alone","18,583","13.6%","93,511"
"        Male householder","63,622","46.7%","60,502"
"            Living alone","42,307","31.0%","41,931"
"            Not living alone","21,315","15.6%","110,924"
