"Label (Grouping)","Boston city, Suffolk County, Massachusetts!!Total!!Estimate","Boston city, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","",""
"Households","256,294","55,777"
"    One race--","",""
"        White","58.5%","73,577"
"        Black or African American","22.5%","38,454"
"        American Indian and Alaska Native","0.3%","23,478"
"        Asian","8.7%","38,802"
"        Native Hawaiian and Other Pacific Islander","0.0%","-"
"        Some other race","6.4%","28,562"
"    Two or more races","3.5%","42,982"
"Hispanic or Latino origin (of any race)","15.7%","30,883"
"White alone, not Hispanic or Latino","52.0%","79,802"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","",""
"    15 to 24 years","7.0%","22,211"
"    25 to 44 years","44.2%","70,623"
"    45 to 64 years","31.4%","61,586"
"    65 years and over","17.4%","26,796"
"FAMILIES","",""
"    Families","122,814","62,775"
"        With own children of householder under 18 years","43.9%","47,953"
"        With no own children of householder under 18 years","56.1%","74,754"
"        Married-couple families","55.7%","100,260"
"        Female householder, no husband present","35.3%","31,596"
"        Male householder, no wife present","9.0%","50,900"
"NONFAMILY HOUSEHOLDS","",""
"    Nonfamily households","133,480","46,964"
"        Female householder","54.3%","41,388"
"            Living alone","40.6%","30,986"
"            Not living alone","13.8%","81,822"
"        Male householder","45.7%","54,593"
"            Living alone","30.6%","39,911"
"            Not living alone","15.1%","95,858"
"PERCENT IMPUTED","",""
"    Household income in the past 12 months","36.3%","(X)"
"    Family income in the past 12 months","41.1%","(X)"
"    Nonfamily income in the past 12 months","30.5%","(X)"
