"Label (Grouping)","Boston city, Suffolk County, Massachusetts!!Number!!Estimate","Boston city, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Boston city, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","",""
"    Households","273,188","273,188","76,298"
"        One race--","","",""
"            White","156,713","57.4%","103,291"
"            Black or African American","59,227","21.7%","47,800"
"            American Indian and Alaska Native","722","0.3%","46,875"
"            Asian","25,555","9.4%","52,326"
"            Native Hawaiian and Other Pacific Islander","180","0.1%","77,143"
"            Some other race","15,040","5.5%","32,218"
"        Two or more races","15,751","5.8%","58,170"
"        Hispanic or Latino origin (of any race)","46,067","16.9%","43,337"
"        White alone, not Hispanic or Latino","138,286","50.6%","109,505"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","",""
"    15 to 24 years","15,939","5.8%","35,829"
"    25 to 44 years","120,144","44.0%","99,090"
"    45 to 64 years","84,814","31.0%","79,424"
"    65 years and over","52,291","19.1%","38,908"
"FAMILIES","","",""
"    Families","130,052","130,052","89,270"
"        With own children of householder under 18 years","51,313","39.5%","70,904"
"        With no own children of householder under 18 years","78,739","60.5%","100,807"
"        Married-couple families","78,102","60.1%","131,782"
"            With own children under 18 years","27,594","21.2%","133,272"
"        Female householder, no spouse present","40,673","31.3%","42,975"
"            With own children under 18 years","19,944","15.3%","29,219"
"        Male householder, no spouse present","11,277","8.7%","65,205"
"            With own children under 18 years","3,775","2.9%","49,702"
"FAMILY INCOME BY FAMILY SIZE","","",""
"    2-person families","62,940","48.4%","84,732"
"    3-person families","32,123","24.7%","86,496"
"    4-person families","21,163","16.3%","104,958"
"    5-person families","8,884","6.8%","90,000"
"    6-person families","3,302","2.5%","97,889"
"    7-or-more person families","1,640","1.3%","126,071"
"FAMILY INCOME BY NUMBER OF EARNERS","","",""
"    No earners","14,064","10.8%","18,903"
"    1 earner","38,807","29.8%","47,097"
"    2 earners","59,871","46.0%","128,501"
"    3 or more earners","17,310","13.3%","133,044"
"NONFAMILY HOUSEHOLDS","","",""
"    Nonfamily households","143,136","143,136","61,649"
"        Female householder","76,986","53.8%","55,310"
"            Living alone","55,487","38.8%","39,483"
"            Not living alone","21,499","15.0%","112,760"
"        Male householder","66,150","46.2%","69,351"
"            Living alone","42,853","29.9%","43,498"
"            Not living alone","23,297","16.3%","126,533"
