"Label (Grouping)","Boston city, Suffolk County, Massachusetts!!Total!!Estimate","Boston city, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","",""
"Households","251,212","54,485"
"    One race--","",""
"        White","58.9%","70,678"
"        Black or African American","22.5%","37,711"
"        American Indian and Alaska Native","0.3%","33,333"
"        Asian","8.7%","39,740"
"        Native Hawaiian and Other Pacific Islander","0.0%","21,042"
"        Some other race","6.1%","28,551"
"    Two or more races","3.5%","42,752"
"Hispanic or Latino origin (of any race)","14.9%","29,966"
"White alone, not Hispanic or Latino","52.8%","76,524"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","",""
"    15 to 24 years","7.7%","20,807"
"    25 to 44 years","43.5%","68,804"
"    45 to 64 years","31.4%","61,123"
"    65 years and over","17.4%","27,189"
"FAMILIES","",""
"    Families","119,718","62,362"
"        With own children under 18 years","44.8%","48,129"
"        With no own children under 18 years","55.2%","74,571"
"        Married-couple families","55.5%","99,334"
"        Female householder, no husband present","35.5%","31,439"
"        Male householder, no wife present","9.1%","48,497"
"NONFAMILY HOUSEHOLDS","",""
"    Nonfamily households","131,494","45,193"
"        Female householder","54.6%","39,947"
"            Living alone","40.8%","30,044"
"            Not living alone","13.8%","79,756"
"        Male householder","45.4%","52,817"
"            Living alone","30.7%","38,033"
"            Not living alone","14.7%","89,680"
"PERCENT IMPUTED","",""
"    Household income in the past 12 months","34.2%","(X)"
"    Family income in the past 12 months","38.8%","(X)"
"    Nonfamily income in the past 12 months","28.8%","(X)"
