"Label (Grouping)","Boston city, Suffolk County, Massachusetts!!Total!!Estimate","Boston city, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","",""
"Households","259,324","58,516"
"    One race--","",""
"        White","58.7%","78,038"
"        Black or African American","22.5%","39,746"
"        American Indian and Alaska Native","0.4%","37,863"
"        Asian","8.6%","39,712"
"        Native Hawaiian and Other Pacific Islander","0.0%","-"
"        Some other race","6.1%","26,844"
"    Two or more races","3.7%","48,424"
"Hispanic or Latino origin (of any race)","15.9%","31,167"
"White alone, not Hispanic or Latino","52.0%","84,928"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","",""
"    15 to 24 years","6.6%","26,708"
"    25 to 44 years","44.1%","73,601"
"    45 to 64 years","31.5%","64,125"
"    65 years and over","17.8%","27,376"
"FAMILIES","",""
"    Families","124,198","65,238"
"        With own children of householder under 18 years","43.2%","49,746"
"        With no own children of householder under 18 years","56.8%","77,659"
"        Married-couple families","56.1%","104,448"
"        Female householder, no husband present","34.9%","32,088"
"        Male householder, no wife present","9.1%","53,623"
"NONFAMILY HOUSEHOLDS","",""
"    Nonfamily households","135,126","49,835"
"        Female householder","53.8%","43,191"
"            Living alone","40.3%","32,181"
"            Not living alone","13.5%","89,756"
"        Male householder","46.2%","57,412"
"            Living alone","30.8%","41,145"
"            Not living alone","15.4%","105,167"
"PERCENT ALLOCATED","",""
"    Household income in the past 12 months","37.7%","(X)"
"    Family income in the past 12 months","42.5%","(X)"
"    Nonfamily income in the past 12 months","32.1%","(X)"
