"Label (Grouping)","Boston city, Suffolk County, Massachusetts!!Total!!Estimate","Boston city, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","",""
"Households","249,414","53,601"
"    One race--","",""
"        White","59.3%","68,553"
"        Black or African American","22.6%","38,310"
"        American Indian and Alaska Native","0.3%","24,231"
"        Asian","8.4%","38,446"
"        Native Hawaiian and Other Pacific Islander","0.0%","30,033"
"        Some other race","6.0%","31,030"
"    Two or more races","3.3%","44,444"
"Hispanic or Latino origin (of any race)","14.4%","31,053"
"White alone, not Hispanic or Latino","53.4%","73,194"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","",""
"    15 to 24 years","8.5%","21,452"
"    25 to 44 years","43.2%","68,320"
"    45 to 64 years","31.0%","60,631"
"    65 years and over","17.3%","26,905"
"FAMILIES","",""
"    Families","117,729","62,014"
"        With own children under 18 years","45.1%","48,083"
"        With no own children under 18 years","54.9%","74,224"
"        Married-couple families","55.7%","96,330"
"        Female householder, no husband present","35.2%","31,588"
"        Male householder, no wife present","9.1%","49,131"
"NONFAMILY HOUSEHOLDS","",""
"    Nonfamily households","131,685","44,484"
"        Female householder","55.1%","39,668"
"            Living alone","41.1%","29,870"
"            Not living alone","14.0%","80,291"
"        Male householder","44.9%","50,937"
"            Living alone","30.8%","38,828"
"            Not living alone","14.1%","82,550"
"PERCENT IMPUTED","",""
"    Household income in the past 12 months","33.0%","(X)"
"    Family income in the past 12 months","37.1%","(X)"
"    Nonfamily income in the past 12 months","28.1%","(X)"
