"Label (Grouping)","Boston city, Suffolk County, Massachusetts!!Number!!Estimate","Boston city, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Boston city, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","",""
"    Households","266,724","266,724","65,883"
"        One race--","","",""
"            White","155,725","58.4%","91,097"
"            Black or African American","59,344","22.2%","42,175"
"            American Indian and Alaska Native","858","0.3%","30,313"
"            Asian","23,971","9.0%","43,891"
"            Native Hawaiian and Other Pacific Islander","63","0.0%","-"
"            Some other race","16,626","6.2%","27,312"
"        Two or more races","10,137","3.8%","52,116"
"        Hispanic or Latino origin (of any race)","44,527","16.7%","34,852"
"        White alone, not Hispanic or Latino","136,645","51.2%","98,342"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","",""
"    15 to 24 years","15,990","6.0%","31,955"
"    25 to 44 years","117,479","44.0%","85,830"
"    45 to 64 years","83,041","31.1%","72,641"
"    65 years and over","50,214","18.8%","29,894"
"FAMILIES","","",""
"    Families","128,604","128,604","75,476"
"        With own children of householder under 18 years","53,149","41.3%","57,942"
"        With no own children of householder under 18 years","75,455","58.7%","87,553"
"        Married-couple families","74,738","58.1%","116,627"
"            With own children under 18 years","27,804","21.6%","116,694"
"        Female householder, no husband present","42,074","32.7%","35,113"
"            With own children under 18 years","21,311","16.6%","23,853"
"        Male householder, no wife present","11,792","9.2%","57,015"
"            With own children under 18 years","4,034","3.1%","45,217"
"FAMILY INCOME BY FAMILY SIZE","","",""
"    2-person families","62,074","48.3%","71,644"
"    3-person families","30,712","23.9%","73,963"
"    4-person families","21,521","16.7%","81,871"
"    5-person families","9,235","7.2%","82,383"
"    6-person families","3,306","2.6%","79,152"
"    7-or-more person families","1,756","1.4%","91,944"
"FAMILY INCOME BY NUMBER OF EARNERS","","",""
"    No earners","14,198","11.0%","17,483"
"    1 earner","41,701","32.4%","41,870"
"    2 earners","56,837","44.2%","113,548"
"    3 or more earners","15,868","12.3%","119,899"
"NONFAMILY HOUSEHOLDS","","",""
"    Nonfamily households","138,120","138,120","54,570"
"        Female householder","73,668","53.3%","47,301"
"            Living alone","54,473","39.4%","32,789"
"            Not living alone","19,195","13.9%","100,709"
"        Male householder","64,452","46.7%","63,933"
"            Living alone","42,306","30.6%","42,601"
"            Not living alone","22,146","16.0%","119,985"
