"Label (Grouping)","Census Tract 102.06, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 102.06, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 102.06, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 104.03, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 104.03, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 104.03, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 104.04, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 104.04, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 104.04, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 104.05, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 104.05, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 104.05, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 105, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 105, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 105, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 106, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 106, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 106, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 705.02, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 705.02, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 705.02, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 706, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 706, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 706, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 707, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 707, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 707, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 708.01, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 708.01, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 708.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 708.02, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 708.02, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 708.02, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 709.01, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 709.01, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 709.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 709.02, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 709.02, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 709.02, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 711.01, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 711.01, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 711.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 801, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 801, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 801, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 803, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 803, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 803, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 805, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 805, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 805, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 806.01, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 806.01, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 806.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 808.01, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 808.01, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 808.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 809, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 809, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 809, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 813.01, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 813.01, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 813.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 813.02, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 813.02, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 813.02, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 814, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 814, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 814, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 815, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 815, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 815, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 817, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 817, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 817, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 818, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 818, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 818, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 819, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 819, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 819, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 820, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 820, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 820, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 821, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 821, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 821, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 901, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 901, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 901, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 902, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 902, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 902, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 903, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 903, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 903, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 904, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 904, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 904, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 906, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 906, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 906, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 907, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 907, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 907, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 913, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 913, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 913, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 914, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 914, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 914, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 924, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 924, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 924, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 1101.05, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 1101.05, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 1101.05, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 1203.01, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 1203.01, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 1203.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 9803, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 9803, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 9803, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 9811, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 9811, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 9811, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Households","1,147","1,147","57,331","263","263","56,875","1,700","1,700","34,718","1,200","1,200","26,023","877","877","18,481","1,750","1,750","47,304","2,158","2,158","95,543","1,961","1,961","22,485","1,150","1,150","190,313","1,465","1,465","84,464","531","531","-","1,540","1,540","73,587","718","718","36,051","999","999","134,825","2,195","2,195","75,543","711","711","41,836","939","939","40,063","1,344","1,344","21,250","1,526","1,526","31,480","801","801","14,255","1,141","1,141","21,406","1,504","1,504","62,315","1,048","1,048","-","1,146","1,146","-","1,259","1,259","49,556","1,014","1,014","48,155","2,064","2,064","29,032","1,373","1,373","31,250","1,529","1,529","49,453","1,285","1,285","65,369","2,201","2,201","24,573","2,002","2,002","33,069","730","730","28,462","1,135","1,135","32,247","1,388","1,388","47,955","852","852","44,667","1,632","1,632","87,368","843","843","43,151","1,087","1,087","45,486","2,099","2,099","31,909","1,172","1,172","109,412","2,010","2,010","91,646","2,061","2,061","102,835","0","0","-","5","5","-"
"        One race--","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            White","822","71.7%","90,417","177","67.3%","53,750","1,186","69.8%","32,778","660","55.0%","48,357","394","44.9%","18,333","1,076","61.5%","75,714","1,475","68.4%","108,616","711","36.3%","175,156","931","81.0%","203,098","945","64.5%","148,427","353","66.5%","101,597","987","64.1%","158,726","264","36.8%","-","729","73.0%","171,375","1,182","53.8%","118,333","206","29.0%","30,625","160","17.0%","-","394","29.3%","30,977","213","14.0%","26,065","151","18.9%","18,625","291","25.5%","21,302","1,104","73.4%","65,776","139","13.3%","-","269","23.5%","-","505","40.1%","97,125","190","18.7%","92,917","114","5.5%","67,115","134","9.8%","-","110","7.2%","-","108","8.4%","119,615","366","16.6%","-","162","8.1%","-","107","14.7%","-","74","6.5%","61,324","140","10.1%","21,204","53","6.2%","70,938","1,190","72.9%","109,853","86","10.2%","48,750","94","8.6%","58,750","203","9.7%","-","973","83.0%","107,098","1,139","56.7%","117,473","1,196","58.0%","104,250","0","-","-","5","100.0%","-"
"            Black or African American","161","14.0%","-","24","9.1%","-","80","4.7%","18,000","17","1.4%","-","172","19.6%","14,722","113","6.5%","54,125","169","7.8%","-","268","13.7%","16,949","59","5.1%","147,279","363","24.8%","45,448","58","10.9%","-","288","18.7%","14,093","128","17.8%","77,950","116","11.6%","-","308","14.0%","75,693","337","47.4%","46,492","603","64.2%","43,693","640","47.6%","19,063","742","48.6%","25,391","340","42.4%","-","536","47.0%","-","147","9.8%","-","424","40.5%","45,109","479","41.8%","22,054","610","48.5%","35,577","616","60.7%","-","1,564","75.8%","29,528","940","68.5%","38,198","1,193","78.0%","62,470","985","76.7%","75,353","1,027","46.7%","41,838","1,400","69.9%","32,832","439","60.1%","42,176","758","66.8%","31,359","1,018","73.3%","41,818","551","64.7%","53,090","134","8.2%","-","501","59.4%","42,903","619","56.9%","66,250","1,232","58.7%","45,074","166","14.2%","160,523","349","17.4%","-","345","16.7%","87,639","0","-","-","0","0.0%","-"
"            American Indian and Alaska Native","22","1.9%","-","0","0.0%","-","14","0.8%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","8","0.8%","-","27","1.2%","-","26","3.7%","-","0","0.0%","-","0","0.0%","-","67","4.4%","-","18","2.2%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","17","1.7%","-","57","2.8%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","33","3.9%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","13","0.6%","-","0","0.0%","-","0","-","-","0","0.0%","-"
"            Asian","102","8.9%","-","50","19.0%","-","260","15.3%","32,925","402","33.5%","-","147","16.8%","12,875","183","10.5%","19,514","438","20.3%","-","556","28.4%","21,815","63","5.5%","131,328","106","7.2%","250,000+","113","21.3%","38,032","109","7.1%","68,813","66","9.2%","-","73","7.3%","-","400","18.2%","33,088","12","1.7%","-","40","4.3%","2,500-","24","1.8%","-","101","6.6%","33,869","129","16.1%","-","34","3.0%","21,389","222","14.8%","-","23","2.2%","-","0","0.0%","-","48","3.8%","57,143","8","0.8%","-","87","4.2%","-","10","0.7%","-","0","0.0%","-","10","0.8%","-","0","0.0%","-","9","0.4%","-","9","1.2%","-","0","0.0%","-","2","0.1%","-","34","4.0%","-","134","8.2%","-","45","5.3%","86,875","11","1.0%","-","42","2.0%","-","33","2.8%","-","251","12.5%","97,515","70","3.4%","195,833","0","-","-","0","0.0%","-"
"            Native Hawaiian and Other Pacific Islander","0","0.0%","-","0","0.0%","-","0","0.0%","-","39","3.3%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","37","2.5%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","-","-","0","0.0%","-"
"            Some other race","24","2.1%","-","4","1.5%","-","117","6.9%","100,021","30","2.5%","15,357","65","7.4%","-","38","2.2%","-","35","1.6%","-","385","19.6%","11,782","33","2.9%","-","0","0.0%","-","0","0.0%","-","16","1.0%","-","163","22.7%","-","47","4.7%","-","182","8.3%","-","99","13.9%","-","69","7.3%","11,487","245","18.2%","40,392","272","17.8%","36,350","109","13.6%","10,729","253","22.2%","-","24","1.6%","-","130","12.4%","-","338","29.5%","23,079","59","4.7%","-","111","10.9%","48,185","154","7.5%","36,071","185","13.5%","-","131","8.6%","-","97","7.5%","32,969","587","26.7%","21,676","347","17.3%","35,486","92","12.6%","-","303","26.7%","32,070","76","5.5%","79,762","110","12.9%","-","119","7.3%","176,205","95","11.3%","-","203","18.7%","-","372","17.7%","21,016","0","0.0%","-","172","8.6%","39,926","320","15.5%","122,826","0","-","-","0","0.0%","-"
"        Two or more races","16","1.4%","-","8","3.0%","-","43","2.5%","68,490","52","4.3%","-","99","11.3%","48,563","340","19.4%","46,199","41","1.9%","-","41","2.1%","-","64","5.6%","250,000+","14","1.0%","-","7","1.3%","-","140","9.1%","-","97","13.5%","36,359","26","2.6%","-","96","4.4%","25,581","31","4.4%","-","67","7.1%","2,500-","41","3.1%","-","131","8.6%","-","54","6.7%","10,577","27","2.4%","-","7","0.5%","-","332","31.7%","-","60","5.2%","-","37","2.9%","-","72","7.1%","33,148","88","4.3%","-","104","7.6%","-","95","6.2%","-","85","6.6%","41,875","221","10.0%","28,443","84","4.2%","-","83","11.4%","11,750","0","0.0%","-","152","11.0%","-","104","12.2%","-","55","3.4%","-","83","9.8%","-","160","14.7%","40,300","250","11.9%","100,652","0","0.0%","-","86","4.3%","73,958","130","6.3%","75,645","0","-","-","0","0.0%","-"
"        Hispanic or Latino origin (of any race)","242","21.1%","-","39","14.8%","-","292","17.2%","30,066","110","9.2%","-","242","27.6%","33,929","486","27.8%","46,020","141","6.5%","-","503","25.7%","11,665","89","7.7%","246,375","81","5.5%","46,326","0","0.0%","-","204","13.2%","-","386","53.8%","-","121","12.1%","-","305","13.9%","-","169","23.8%","-","212","22.6%","11,358","586","43.6%","-","497","32.6%","22,969","215","26.8%","12,396","513","45.0%","17,875","95","6.3%","-","543","51.8%","13,177","635","55.4%","-","196","15.6%","-","133","13.1%","41,813","256","12.4%","32,083","317","23.1%","-","339","22.2%","-","209","16.3%","34,219","964","43.8%","22,020","567","28.3%","31,319","282","38.6%","8,966","437","38.5%","31,834","381","27.4%","-","133","15.6%","-","222","13.6%","-","115","13.6%","-","429","39.5%","24,964","825","39.3%","27,716","82","7.0%","250,000+","370","18.4%","44,531","545","26.4%","88,472","0","-","-","0","0.0%","-"
"        White alone, not Hispanic or Latino","703","61.3%","-","145","55.1%","56,042","994","58.5%","37,319","590","49.2%","49,038","341","38.9%","17,724","939","53.7%","87,188","1,398","64.8%","109,464","593","30.2%","200,724","882","76.7%","201,250","887","60.5%","163,594","353","66.5%","101,597","939","61.0%","159,880","133","18.5%","-","672","67.3%","206,750","1,090","49.7%","125,063","187","26.3%","36,458","115","12.2%","-","167","12.4%","-","90","5.9%","90,694","84","10.5%","26,429","68","6.0%","16,912","1,033","68.7%","63,365","74","7.1%","-","92","8.0%","-","424","33.7%","84,457","162","16.0%","96,406","101","4.9%","-","122","8.9%","-","36","2.4%","120,833","43","3.3%","-","252","11.4%","-","91","4.5%","108,359","6","0.8%","-","21","1.9%","-","44","3.2%","-","46","5.4%","-","1,050","64.3%","129,375","80","9.5%","52,895","54","5.0%","-","0","0.0%","-","891","76.0%","105,759","954","47.5%","125,461","1,069","51.9%","106,442","0","-","-","5","100.0%","-"
