"Label (Grouping)","Census Tract 103, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 104.03, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 104.03, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 104.04, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 104.04, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 104.05, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 104.05, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 105, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 105, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 106, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 106, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 706, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 706, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 707, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 707, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 711.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 711.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 801, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 801, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 803, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 803, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 805, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 805, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 806.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 806.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 808.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 808.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 809, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 809, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 814, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 814, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 815, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 815, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 817, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 817, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 818, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 818, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 819, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 819, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 820, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 820, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 821, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 821, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 901, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 901, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 902, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 902, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 903, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 903, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 904, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 904, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 906, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 906, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 907, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 907, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 913, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 913, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 914, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 914, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 924, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 924, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 1203.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 1203.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 9803, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 9803, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 9811, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 9811, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Households","286","40,000","1,850","25,641","1,403","19,572","867","16,993","1,676","43,182","1,998","93,482","1,261","116,354","1,361","98,482","2,096","42,431","693","30,524","801","28,378","1,346","23,854","1,354","22,721","934","16,892","917","26,120","1,449","51,680","1,240","42,585","850","34,107","1,490","30,819","1,379","26,012","1,413","21,594","1,160","26,635","2,130","17,321","1,807","30,943","814","24,432","1,264","25,652","1,224","32,150","737","39,489","1,822","51,885","811","35,647","914","36,625","2,029","31,446","1,748","50,705","1,996","75,873","0","-","168","29,545"
"    One race--","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        White","56.3%","43,750","61.8%","52,794","62.0%","16,747","70.7%","22,269","66.1%","50,365","74.9%","118,418","91.9%","124,199","64.1%","148,292","56.8%","118,487","23.1%","42,000","8.5%","16,125","16.3%","(X)","22.5%","23,971","20.8%","28,125","14.5%","30,417","72.1%","54,617","28.9%","66,563","18.4%","45,962","8.4%","70,170","3.2%","(X)","10.0%","50,743","12.4%","16,641","9.0%","23,601","7.9%","(X)","9.8%","20,000","8.9%","20,096","11.8%","(X)","13.4%","19,479","60.2%","66,742","21.9%","45,882","12.9%","34,559","10.6%","14,878","74.5%","65,217","54.1%","102,898","-","-","20.8%","110,729"
"        Black or African American","13.3%","(X)","6.5%","(X)","13.8%","41,205","9.7%","12,500","10.2%","34,926","11.5%","(X)","0.9%","-","24.1%","42,543","9.7%","(X)","51.2%","27,330","60.5%","34,375","56.5%","24,375","44.6%","23,145","57.6%","17,115","42.5%","25,294","10.7%","36,094","56.1%","31,700","59.3%","34,853","77.0%","29,615","75.4%","28,357","78.1%","21,313","79.3%","31,875","63.1%","19,934","73.7%","32,123","50.4%","26,218","66.0%","34,693","67.5%","32,425","62.3%","47,452","10.0%","(X)","44.5%","28,438","51.2%","46,750","78.8%","41,518","10.4%","33,693","19.8%","33,952","-","-","60.1%","(X)"
"        American Indian and Alaska Native","5.9%","-","1.4%","-","0.0%","-","0.0%","-","0.0%","-","0.7%","-","0.0%","-","0.0%","-","0.0%","-","3.0%","-","1.5%","-","0.0%","-","0.0%","-","0.3%","-","0.0%","-","0.7%","-","0.0%","-","0.0%","-","0.7%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","2.1%","-","0.0%","-","0.8%","-","1.7%","-","0.0%","-","0.9%","-","3.6%","11,067","0.3%","-","0.0%","-","-","-","0.0%","-"
"        Asian","9.8%","(X)","21.8%","11,387","21.1%","(X)","16.0%","10,679","17.0%","(X)","12.9%","86,250","6.6%","88,818","6.0%","137,586","19.3%","(X)","0.0%","-","1.2%","-","1.8%","(X)","2.3%","13,021","8.0%","2,500-","12.2%","32,045","14.6%","(X)","4.4%","(X)","3.2%","(X)","2.6%","43,693","0.0%","-","1.3%","-","0.8%","-","1.0%","-","0.7%","-","4.7%","(X)","0.0%","-","2.0%","-","0.5%","-","15.1%","31,625","1.4%","25,250","0.7%","-","0.0%","-","0.7%","-","3.6%","129,223","-","-","0.0%","-"
"        Native Hawaiian and Other Pacific Islander","0.0%","-","0.0%","-","1.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","3.3%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","-","-","0.0%","-"
"        Some other race","10.8%","(X)","5.6%","(X)","0.9%","-","1.6%","-","5.3%","(X)","0.0%","-","0.0%","-","4.3%","(X)","11.8%","(X)","21.9%","26,200","22.2%","17,029","19.7%","16,845","26.7%","24,926","10.1%","23,672","21.7%","27,893","1.2%","-","6.8%","31,184","16.1%","22,574","4.4%","(X)","17.9%","14,743","7.9%","(X)","5.8%","(X)","22.6%","11,273","12.5%","25,000","27.4%","23,750","19.0%","(X)","16.3%","(X)","19.3%","36,667","11.2%","65,682","26.6%","35,625","33.3%","27,045","5.0%","(X)","9.2%","14,310","20.3%","(X)","-","-","11.3%","-"
"    Two or more races","3.8%","-","2.9%","(X)","1.1%","-","2.0%","(X)","1.4%","-","0.0%","-","0.6%","-","1.5%","-","2.4%","(X)","0.7%","-","6.0%","43,750","5.8%","(X)","4.0%","20,089","3.2%","10,500","9.1%","(X)","0.6%","-","3.8%","48,750","3.1%","(X)","6.8%","(X)","3.5%","(X)","2.6%","-","1.7%","-","4.2%","(X)","5.3%","9,263","4.4%","23,889","4.1%","(X)","2.4%","64,219","3.7%","38,250","1.9%","(X)","5.5%","36,964","1.1%","-","2.0%","-","4.9%","(X)","2.3%","62,404","-","-","7.7%","-"
