"Label (Grouping)","Census Tract 103, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 104.03, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 104.03, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 104.03, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 104.04, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 104.04, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 104.04, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 104.05, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 104.05, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 104.05, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 105, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 105, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 105, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 106, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 106, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 106, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 706, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 706, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 706, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 707, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 707, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 707, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 711.01, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 711.01, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 711.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 801, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 801, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 801, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 803, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 803, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 803, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 805, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 805, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 805, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 806.01, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 806.01, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 806.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 808.01, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 808.01, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 808.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 809, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 809, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 809, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 814, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 814, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 814, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 815, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 815, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 815, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 817, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 817, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 817, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 818, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 818, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 818, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 819, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 819, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 819, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 820, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 820, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 820, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 821, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 821, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 821, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 901, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 901, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 901, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 902, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 902, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 902, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 903, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 903, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 903, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 904, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 904, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 904, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 906, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 906, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 906, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 907, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 907, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 907, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 913, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 913, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 913, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 914, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 914, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 914, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 924, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 924, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 924, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 1203.01, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 1203.01, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 1203.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 9803, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 9803, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 9803, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 9811, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 9811, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 9811, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Households","269","269","43,313","1,912","1,912","31,071","1,241","1,241","26,875","830","830","19,000","1,534","1,534","54,278","2,090","2,090","89,886","1,138","1,138","160,750","1,380","1,380","134,085","2,123","2,123","73,995","728","728","32,258","877","877","42,617","1,379","1,379","18,602","1,377","1,377","30,047","879","879","17,594","1,068","1,068","20,500","1,473","1,473","61,528","1,224","1,224","55,909","953","953","36,464","1,702","1,702","32,183","1,372","1,372","30,767","1,439","1,439","27,745","1,242","1,242","43,077","2,223","2,223","25,125","1,822","1,822","34,195","791","791","26,755","1,209","1,209","30,975","1,325","1,325","38,750","802","802","50,117","1,741","1,741","70,346","826","826","41,020","985","985","45,388","2,085","2,085","33,591","1,829","1,829","84,321","2,030","2,030","94,362","0","0","-","116","116","44,808"
"        One race--","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            White","180","66.9%","44,500","1,179","61.7%","32,734","673","54.2%","48,194","402","48.4%","24,722","1,114","72.6%","85,515","1,415","67.7%","109,191","989","86.9%","185,515","964","69.9%","160,476","1,163","54.8%","116,893","192","26.4%","20,357","89","10.1%","45,625","337","24.4%","-","234","17.0%","31,250","155","17.6%","17,604","276","25.8%","21,100","960","65.2%","59,921","483","39.5%","93,698","181","19.0%","88,194","104","6.1%","70,192","111","8.1%","-","132","9.2%","48,676","109","8.8%","-","309","13.9%","-","149","8.2%","-","125","15.8%","4,212","100","8.3%","60,147","115","8.7%","-","58","7.2%","54,000","1,321","75.9%","79,447","136","16.5%","48,226","96","9.7%","57,143","291","14.0%","16,797","1,222","66.8%","95,726","1,177","58.0%","106,250","0","-","-","54","46.6%","85,625"
"            Black or African American","23","8.6%","-","147","7.7%","13,346","59","4.8%","50,893","177","21.3%","18,516","124","8.1%","41,957","224","10.7%","36,532","46","4.0%","146,196","252","18.3%","31,667","315","14.8%","-","348","47.8%","42,083","635","72.4%","41,830","715","51.8%","18,950","655","47.6%","15,844","466","53.0%","18,839","414","38.8%","34,821","175","11.9%","-","625","51.1%","26,743","499","52.4%","30,813","1,257","73.9%","35,066","889","64.8%","38,359","1,054","73.2%","26,821","921","74.2%","51,875","1,273","57.3%","40,966","1,221","67.0%","34,025","477","60.3%","45,268","816","67.5%","30,584","969","73.1%","31,793","591","73.7%","50,799","143","8.2%","-","506","61.3%","41,276","582","59.1%","51,786","1,442","69.2%","46,592","246","13.4%","-","300","14.8%","54,545","0","-","-","62","53.4%","24,375"
"            American Indian and Alaska Native","0","0.0%","-","26","1.4%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","27","1.3%","-","35","4.8%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","27","3.1%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","16","1.7%","-","57","3.3%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","22","2.7%","-","0","0.0%","-","32","1.5%","-","11","0.6%","-","0","0.0%","-","0","-","-","0","0.0%","-"
"            Asian","53","19.7%","-","325","17.0%","-","384","30.9%","6,230","157","18.9%","10,417","229","14.9%","16,652","414","19.8%","-","85","7.5%","127,721","91","6.6%","250,000+","404","19.0%","-","13","1.8%","-","21","2.4%","-","39","2.8%","-","79","5.7%","-","102","11.6%","-","82","7.7%","16,528","268","18.2%","44,143","64","5.2%","103,500","13","1.4%","-","18","1.1%","-","8","0.6%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","24","1.3%","-","8","1.0%","-","0","0.0%","-","20","1.5%","-","40","5.0%","-","178","10.2%","12,063","38","4.6%","-","8","0.8%","-","45","2.2%","-","61","3.3%","-","52","2.6%","-","0","-","-","0","0.0%","-"
"            Native Hawaiian and Other Pacific Islander","0","0.0%","-","0","0.0%","-","52","4.2%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","49","3.6%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","-","-","0","0.0%","-"
"            Some other race","5","1.9%","-","198","10.4%","-","29","2.3%","15,536","73","8.8%","-","44","2.9%","-","37","1.8%","-","10","0.9%","-","9","0.7%","-","132","6.2%","2,500-","119","16.3%","43,839","70","8.0%","-","248","18.0%","-","383","27.8%","33,811","102","11.6%","12,823","271","25.4%","17,670","63","4.3%","-","29","2.4%","60,592","178","18.7%","-","171","10.0%","29,954","243","17.7%","20,243","177","12.3%","-","134","10.8%","34,907","457","20.6%","22,425","356","19.5%","-","68","8.6%","-","273","22.6%","-","105","7.9%","86,950","104","13.0%","40,192","68","3.9%","-","97","11.7%","-","244","24.8%","24,500","266","12.8%","21,174","186","10.2%","42,679","389","19.2%","83,472","0","-","-","0","0.0%","-"
"        Two or more races","8","3.0%","-","37","1.9%","-","44","3.5%","21,750","21","2.5%","19,028","23","1.5%","18,594","0","0.0%","-","8","0.7%","-","15","1.1%","-","82","3.9%","-","21","2.9%","-","62","7.1%","44,167","40","2.9%","-","26","1.9%","-","27","3.1%","-","25","2.3%","-","7","0.5%","-","23","1.9%","-","66","6.9%","34,083","95","5.6%","30,426","121","8.8%","-","76","5.3%","30,872","78","6.3%","41,136","184","8.3%","-","72","4.0%","-","113","14.3%","16,372","20","1.7%","-","116","8.8%","-","9","1.1%","-","31","1.8%","63,917","27","3.3%","39,107","55","5.6%","-","9","0.4%","-","103","5.6%","73,750","112","5.5%","72,661","0","-","-","0","0.0%","-"
"        Hispanic or Latino origin (of any race)","45","16.7%","32,708","341","17.8%","26,979","97","7.8%","-","178","21.4%","22,885","190","12.4%","-","155","7.4%","-","44","3.9%","-","94","6.8%","44,191","224","10.6%","15,347","193","26.5%","27,917","217","24.7%","41,473","514","37.3%","16,065","611","44.4%","30,578","210","23.9%","13,281","528","49.4%","20,200","140","9.5%","86,136","170","13.9%","-","206","21.6%","-","336","19.7%","31,761","395","28.8%","20,840","459","31.9%","25,346","265","21.3%","34,306","812","36.5%","21,900","567","31.1%","32,313","296","37.4%","9,946","392","32.4%","30,167","499","37.7%","-","138","17.2%","44,861","157","9.0%","-","190","23.0%","42,188","366","37.2%","25,294","718","34.4%","19,392","443","24.2%","39,081","705","34.7%","64,767","0","-","-","17","14.7%","-"
