"Label (Grouping)","Census Tract 103, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 104.03, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 104.03, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 104.03, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 104.04, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 104.04, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 104.04, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 104.05, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 104.05, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 104.05, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 105, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 105, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 105, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 106, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 106, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 106, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 706, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 706, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 706, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 707, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 707, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 707, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 711.01, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 711.01, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 711.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 801, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 801, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 801, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 803, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 803, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 803, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 805, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 805, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 805, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 806.01, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 806.01, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 806.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 808.01, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 808.01, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 808.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 809, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 809, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 809, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 814, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 814, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 814, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 815, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 815, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 815, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 817, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 817, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 817, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 818, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 818, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 818, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 819, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 819, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 819, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 820, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 820, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 820, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 821, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 821, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 821, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 901, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 901, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 901, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 902, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 902, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 902, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 903, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 903, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 903, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 904, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 904, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 904, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 906, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 906, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 906, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 907, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 907, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 907, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 913, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 913, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 913, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 914, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 914, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 914, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 924, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 924, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 924, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 1203.01, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 1203.01, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 1203.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 9803, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 9803, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 9803, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 9811, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 9811, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 9811, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Households","297","297","40,446","1,962","1,962","29,946","1,294","1,294","29,474","827","827","16,192","1,561","1,561","49,417","2,008","2,008","93,214","1,177","1,177","154,659","1,376","1,376","118,553","2,185","2,185","52,676","725","725","31,222","826","826","35,833","1,386","1,386","19,194","1,318","1,318","22,500","917","917","15,703","1,029","1,029","21,274","1,442","1,442","61,964","1,333","1,333","47,589","924","924","34,194","1,646","1,646","36,895","1,378","1,378","30,703","1,380","1,380","21,964","1,207","1,207","40,536","2,298","2,298","20,386","1,815","1,815","32,702","812","812","30,500","1,239","1,239","30,326","1,292","1,292","37,283","772","772","44,000","1,755","1,755","70,575","808","808","38,750","965","965","45,524","2,102","2,102","31,885","1,839","1,839","71,743","2,029","2,029","95,164","0","0","-","124","124","43,333"
"        One race--","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            White","160","53.9%","51,842","1,313","66.9%","39,236","771","59.6%","40,197","456","55.1%","22,500","1,050","67.3%","74,375","1,413","70.4%","107,150","1,015","86.2%","181,094","904","65.7%","158,250","1,225","56.1%","113,973","180","24.8%","22,368","77","9.3%","-","327","23.6%","15,733","244","18.5%","27,258","195","21.3%","14,438","268","26.0%","21,250","1,065","73.9%","63,355","457","34.3%","81,927","166","18.0%","88,750","225","13.7%","75,129","89","6.5%","-","97","7.0%","-","108","8.9%","28,214","181","7.9%","-","148","8.2%","25,000","105","12.9%","-","93","7.5%","51,250","127","9.8%","24,875","90","11.7%","40,000","1,323","75.4%","76,827","158","19.6%","-","112","11.6%","63,750","237","11.3%","15,647","1,271","69.1%","92,951","1,281","63.1%","103,531","0","-","-","51","41.1%","67,188"
"            Black or African American","36","12.1%","-","138","7.0%","11,912","93","7.2%","44,335","132","16.0%","14,667","132","8.5%","47,813","229","11.4%","35,959","59","5.0%","144,150","307","22.3%","31,898","372","17.0%","20,387","328","45.2%","38,833","536","64.9%","39,167","661","47.7%","19,414","681","51.7%","17,017","497","54.2%","18,702","348","33.8%","29,091","71","4.9%","35,852","671","50.3%","30,994","492","53.2%","31,802","1,164","70.7%","36,818","932","67.6%","32,446","1,015","73.6%","22,482","896","74.2%","50,156","1,383","60.2%","27,606","1,242","68.4%","32,545","450","55.4%","40,536","888","71.7%","31,382","917","71.0%","35,380","550","71.2%","43,182","135","7.7%","-","453","56.1%","40,574","532","55.1%","46,855","1,550","73.7%","46,138","222","12.1%","-","310","15.3%","97,740","0","-","-","63","50.8%","23,750"
"            American Indian and Alaska Native","0","0.0%","-","24","1.2%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","15","0.7%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","31","4.3%","-","24","2.9%","-","0","0.0%","-","0","0.0%","-","29","3.2%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","8","0.9%","-","55","3.3%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","21","2.6%","-","21","2.2%","-","41","2.0%","-","19","1.0%","-","0","0.0%","-","0","-","-","0","0.0%","-"
"            Asian","23","7.7%","-","289","14.7%","10,542","340","26.3%","-","157","19.0%","11,107","260","16.7%","-","351","17.5%","-","86","7.3%","123,750","87","6.3%","250,000+","400","18.3%","-","13","1.8%","-","18","2.2%","-","43","3.1%","-","64","4.9%","30,714","67","7.3%","-","93","9.0%","16,016","253","17.5%","67,639","50","3.8%","103,750","3","0.3%","-","17","1.0%","-","0","0.0%","-","23","1.7%","-","0","0.0%","-","9","0.4%","-","20","1.1%","-","6","0.7%","-","0","0.0%","-","31","2.4%","-","33","4.3%","-","169","9.6%","18,380","22","2.7%","86,250","0","0.0%","-","34","1.6%","-","41","2.2%","-","51","2.5%","151,250","0","-","-","0","0.0%","-"
"            Native Hawaiian and Other Pacific Islander","0","0.0%","-","0","0.0%","-","18","1.4%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","-","-","0","0.0%","-"
"            Some other race","70","23.6%","2,500-","176","9.0%","-","31","2.4%","15,694","72","8.7%","10,893","96","6.1%","25,926","0","0.0%","-","10","0.8%","-","47","3.4%","-","123","5.6%","-","157","21.7%","43,917","117","14.2%","29,886","300","21.6%","42,935","311","23.6%","27,153","92","10.0%","10,714","283","27.5%","30,605","46","3.2%","-","79","5.9%","-","195","21.1%","23,802","112","6.8%","29,750","209","15.2%","21,228","171","12.4%","-","134","11.1%","35,370","506","22.0%","13,250","336","18.5%","33,077","138","17.0%","-","231","18.6%","10,759","124","9.6%","-","92","11.9%","40,750","95","5.4%","-","114","14.1%","65,750","237","24.6%","25,288","228","10.8%","20,670","203","11.0%","-","317","15.6%","63,445","0","-","-","0","0.0%","-"
"        Two or more races","8","2.7%","-","22","1.1%","-","41","3.2%","27,578","10","1.2%","-","23","1.5%","18,750","0","0.0%","-","7","0.6%","-","31","2.3%","-","65","3.0%","-","16","2.2%","2,500-","54","6.5%","-","55","4.0%","-","18","1.4%","-","37","4.0%","21,125","37","3.6%","-","7","0.5%","-","76","5.7%","-","60","6.5%","-","73","4.4%","-","148","10.7%","-","74","5.4%","-","69","5.7%","-","219","9.5%","25,853","69","3.8%","-","113","13.9%","25,197","27","2.2%","-","93","7.2%","-","7","0.9%","-","33","1.9%","-","40","5.0%","36,548","63","6.5%","55,536","12","0.6%","-","83","4.5%","71,080","70","3.4%","73,684","0","-","-","10","8.1%","-"
"        Hispanic or Latino origin (of any race)","103","34.7%","-","283","14.4%","-","114","8.8%","-","176","21.3%","-","257","16.5%","-","77","3.8%","-","20","1.7%","-","129","9.4%","43,652","301","13.8%","12,111","240","33.1%","27,803","265","32.1%","40,186","544","39.2%","17,826","547","41.5%","24,196","249","27.2%","11,791","519","50.4%","30,701","118","8.2%","84,773","262","19.7%","23,500","243","26.3%","23,594","283","17.2%","31,991","400","29.0%","30,078","379","27.5%","18,580","278","23.0%","31,080","822","35.8%","15,729","498","27.4%","30,481","297","36.6%","18,922","360","29.1%","13,561","491","38.0%","21,113","129","16.7%","48,162","141","8.0%","-","182","22.5%","48,182","359","37.2%","25,673","724","34.4%","18,571","537","29.2%","21,953","661","32.6%","63,403","0","-","-","27","21.8%","43,229"
