"Label (Grouping)","Census Tract 103, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 104.03, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 104.03, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 104.04, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 104.04, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 104.05, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 104.05, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 105, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 105, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 106, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 106, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 706, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 706, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 707, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 707, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 711.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 711.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 801, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 801, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 803, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 803, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 805, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 805, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 806.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 806.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 808.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 808.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 809, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 809, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 814, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 814, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 815, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 815, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 817, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 817, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 818, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 818, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 819, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 819, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 820, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 820, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 821, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 821, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 901, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 901, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 902, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 902, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 903, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 903, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 904, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 904, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 906, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 906, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 907, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 907, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 913, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 913, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 914, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 914, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 924, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 924, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 1203.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 1203.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 9803, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 9803, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 9811, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 9811, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Households","289","40,662","1,878","28,351","1,308","19,595","837","19,395","1,596","44,333","2,008","97,988","1,236","129,884","1,346","102,000","2,095","53,173","715","30,598","820","31,625","1,365","31,042","1,341","23,194","910","16,250","941","22,450","1,492","50,988","1,246","34,107","894","33,967","1,506","30,563","1,438","35,084","1,405","20,848","1,135","36,685","2,105","18,045","1,786","28,362","800","27,045","1,289","30,794","1,290","31,031","787","40,950","1,832","65,273","854","35,938","950","42,647","2,080","29,048","1,741","50,366","1,971","68,482","0","-","147","36,979"
"    One race--","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        White","51.9%","59,000","65.1%","48,389","60.8%","-","62.2%","26,691","69.5%","52,557","73.8%","118,424","92.9%","134,167","68.9%","131,016","59.5%","120,121","19.4%","22,050","8.8%","26,250","19.6%","-","19.0%","22,865","20.1%","-","19.1%","20,132","70.2%","57,222","28.4%","66,750","16.6%","-","9.2%","71,304","4.6%","15,227","8.7%","-","7.6%","21,538","7.6%","-","10.2%","23,846","8.0%","20,000","4.3%","21,927","12.4%","23,333","11.8%","20,104","63.5%","71,603","19.1%","26,458","14.3%","45,000","12.0%","13,750","74.0%","71,667","54.2%","98,090","-","-","28.6%","94,688"
"        Black or African American","14.2%","-","7.7%","10,655","10.8%","41,523","14.1%","13,056","7.6%","47,745","9.5%","-","0.7%","-","19.1%","26,719","11.8%","-","49.2%","39,079","66.6%","31,950","51.9%","45,341","47.4%","22,361","54.7%","18,929","40.9%","24,081","8.8%","36,141","55.3%","26,125","63.3%","35,968","77.5%","29,602","78.7%","40,018","79.0%","21,518","82.1%","36,250","62.6%","18,724","70.4%","30,259","51.8%","36,603","69.6%","34,640","71.0%","31,851","67.0%","46,372","6.4%","-","51.3%","38,438","52.2%","47,500","78.5%","36,433","8.7%","39,868","14.2%","53,587","-","-","63.3%","30,938"
"        American Indian and Alaska Native","5.5%","-","1.2%","-","0.0%","-","0.0%","-","0.0%","-","0.9%","-","0.0%","-","0.0%","-","0.0%","-","0.7%","-","2.0%","-","0.0%","-","0.0%","-","1.4%","-","0.0%","-","0.6%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","1.3%","-","1.7%","-","0.0%","-","1.1%","-","3.1%","13,651","0.4%","-","0.0%","-","-","-","0.0%","-"
"        Asian","11.4%","42,250","16.2%","-","24.6%","13,500","17.4%","12,250","14.7%","15,673","15.7%","-","5.2%","88,286","6.6%","141,779","20.0%","32,292","0.0%","-","1.6%","-","2.2%","-","1.9%","30,556","8.6%","2,500-","8.9%","17,778","18.0%","-","4.5%","-","0.4%","-","3.2%","-","0.0%","-","1.6%","-","0.8%","-","1.4%","-","0.7%","-","0.6%","-","0.0%","-","1.8%","-","2.2%","-","14.2%","39,766","2.3%","-","0.5%","-","0.0%","-","0.8%","32,813","3.6%","131,464","-","-","0.0%","-"
"        Native Hawaiian and Other Pacific Islander","0.0%","-","0.0%","-","1.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","-","-","0.0%","-"
"        Some other race","11.8%","34,167","6.8%","-","1.5%","-","3.5%","-","6.4%","-","0.0%","-","0.0%","-","4.2%","-","5.2%","2,500-","29.8%","26,399","15.5%","27,969","20.2%","-","30.4%","27,757","11.9%","11,689","24.0%","28,264","1.3%","-","5.3%","-","17.9%","23,800","5.3%","25,227","12.2%","25,313","8.5%","-","8.5%","40,607","18.3%","13,042","12.3%","18,083","31.6%","23,646","22.3%","12,690","13.0%","-","14.5%","38,468","12.0%","68,563","21.7%","33,750","27.8%","28,810","5.6%","10,257","11.0%","14,038","23.5%","31,782","-","-","0.0%","-"
"    Two or more races","5.2%","-","2.9%","-","1.3%","-","2.7%","13,906","1.8%","-","0.0%","-","1.2%","-","1.3%","-","3.5%","250,000+","0.8%","-","5.6%","-","6.1%","-","1.3%","-","3.3%","-","7.0%","-","1.1%","-","6.5%","-","1.8%","-","4.8%","-","4.5%","-","2.2%","28,482","1.0%","-","10.1%","-","6.4%","-","8.0%","26,500","3.9%","-","1.8%","-","3.3%","39,000","2.2%","-","5.6%","47,143","4.1%","53,906","0.8%","-","5.1%","30,735","4.5%","69,500","-","-","8.2%","-"
"Hispanic or Latino origin (of any race)","24.2%","31,250","16.0%","-","11.7%","2,500-","19.5%","40,893","12.7%","-","3.3%","-","3.4%","-","5.3%","45,714","13.7%","12,354","29.7%","25,714","23.3%","28,681","36.7%","16,277","45.3%","20,815","27.5%","10,389","47.7%","20,650","4.3%","60,789","14.4%","19,239","22.6%","23,154","14.2%","18,000","25.0%","35,506","24.1%","25,156","15.7%","36,630","35.4%","11,582","25.9%","18,917","42.5%","25,083","25.5%","12,908","34.2%","18,844","20.2%","37,708","12.2%","52,292","28.2%","25,625","33.1%","30,263","32.7%","17,634","30.0%","17,946","31.6%","41,585","-","-","11.6%","-"
"White alone, not Hispanic or Latino","44.6%","66,250","57.9%","49,447","49.8%","34,135","51.3%","22,946","63.2%","60,417","70.8%","118,587","89.5%","139,688","65.8%","131,094","53.7%","137,273","15.0%","20,950","5.6%","-","9.9%","-","9.2%","29,453","11.9%","32,292","3.0%","2,500-","67.8%","57,083","25.1%","68,750","14.2%","83,083","6.9%","71,848","2.4%","-","1.4%","-","1.9%","-","2.6%","-","4.6%","-","0.6%","-","1.7%","-","3.4%","-","8.4%","19,286","60.4%","71,699","10.3%","-","10.6%","-","0.5%","-","60.6%","84,926","48.9%","100,568","-","-","28.6%","94,688"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    15 to 24 years","6.2%","-","19.4%","-","46.6%","5,688","24.5%","33,977","17.0%","14,375","4.7%","-","1.6%","129,000","3.4%","-","3.6%","-","3.5%","63,264","8.2%","152,853","1.5%","2,500-","7.4%","29,922","17.9%","5,865","4.0%","47,813","26.5%","24,500","16.9%","31,307","2.0%","35,938","3.3%","-","3.0%","-","0.9%","-","2.6%","-","5.0%","18,861","5.8%","14,196","6.4%","-","5.4%","-","3.9%","-","1.8%","-","7.2%","80,938","10.4%","33,250","2.3%","2,500-","7.4%","38,125","4.8%","-","2.6%","31,923","-","-","8.2%","-"
"    25 to 44 years","57.8%","55,481","36.1%","102,639","33.0%","46,250","17.9%","-","53.2%","71,653","42.9%","122,000","58.6%","123,088","41.8%","128,008","49.5%","104,200","45.7%","39,539","44.5%","35,045","37.7%","51,929","42.1%","28,226","24.8%","27,500","25.1%","29,211","35.4%","74,531","26.8%","45,729","33.8%","46,750","33.5%","31,722","36.7%","31,711","31.9%","17,206","32.1%","38,594","33.0%","12,838","44.1%","30,687","43.0%","27,391","38.5%","33,077","34.0%","30,726","38.2%","36,688","42.4%","70,313","36.9%","26,595","25.5%","43,036","33.4%","33,555","53.7%","81,078","49.2%","102,596","-","-","33.3%","43,250"
"    45 to 64 years","24.9%","-","26.4%","45,750","15.7%","-","23.8%","30,982","12.2%","40,625","27.1%","144,167","27.6%","163,938","40.4%","-","32.1%","62,206","37.8%","25,750","34.3%","29,261","42.0%","28,224","36.2%","22,891","39.7%","22,543","56.1%","24,250","22.0%","55,417","33.1%","49,565","44.1%","25,500","34.6%","31,875","41.7%","41,331","49.2%","22,798","40.5%","42,273","37.4%","26,901","32.4%","32,100","36.3%","36,000","41.1%","26,900","42.7%","39,955","50.3%","46,833","35.6%","66,836","33.1%","45,096","54.0%","44,438","41.8%","27,805","30.0%","37,596","34.3%","57,386","-","-","47.6%","60,000"
