"Label (Grouping)","Census Tract 103, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 104.03, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 104.03, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 104.04, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 104.04, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 104.05, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 104.05, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 105, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 105, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 106, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 106, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 706, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 706, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 707, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 707, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 711.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 711.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 801, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 801, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 803, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 803, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 805, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 805, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 806.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 806.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 808.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 808.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 809, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 809, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 814, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 814, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 815, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 815, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 817, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 817, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 818, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 818, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 819, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 819, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 820, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 820, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 821, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 821, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 901, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 901, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 902, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 902, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 903, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 903, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 904, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 904, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 906, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 906, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 907, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 907, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 913, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 913, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 914, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 914, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 924, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 924, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 1203.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 1203.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 9803, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 9803, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 9811, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 9811, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Households","254","31,250","1,860","17,186","1,507","16,394","968","15,541","1,647","40,750","1,774","86,250","1,249","96,094","1,299","65,114","2,164","41,525","617","31,712","772","21,563","1,245","18,203","1,283","18,021","869","23,412","888","17,500","1,390","39,792","1,211","43,973","834","31,042","1,413","21,635","1,222","27,162","1,302","31,411","1,096","36,711","1,981","20,388","1,836","31,471","806","22,199","1,094","27,250","1,131","31,914","651","50,640","1,774","54,293","751","35,347","885","30,474","2,026","31,292","1,710","66,081","1,883","66,477","0","-","77","10,809"
"    One race--","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        White","74.4%","35,375","58.1%","23,661","72.8%","15,819","61.2%","17,218","74.7%","44,848","83.8%","104,479","83.1%","100,104","59.1%","116,042","41.9%","69,572","18.8%","29,000","13.9%","15,625","15.1%","41,528","22.0%","17,037","27.5%","36,250","13.7%","23,125","65.5%","47,148","25.1%","75,547","15.3%","26,719","3.4%","27,895","8.5%","21,970","8.8%","48,571","6.9%","15,833","12.0%","30,234","6.2%","55,368","6.0%","22,083","10.4%","11,318","15.6%","16,638","8.4%","17,098","63.5%","69,153","16.4%","48,750","15.0%","38,438","8.1%","41,136","71.9%","78,281","51.0%","92,083","-","-","23.4%","91,250"
"        Black or African American","4.7%","8,333","12.5%","16,849","6.4%","40,445","21.4%","12,277","6.5%","12,813","5.9%","30,481","2.8%","58,523","25.7%","43,764","17.2%","34,375","53.5%","32,500","57.0%","32,955","58.1%","16,812","42.0%","17,277","47.6%","16,500","41.6%","14,353","13.0%","19,863","59.8%","32,857","70.0%","30,982","78.5%","25,114","73.0%","35,192","81.8%","22,147","86.2%","49,375","66.1%","19,812","75.9%","33,903","55.3%","22,734","60.5%","46,574","66.2%","33,698","69.0%","55,313","8.5%","23,333","43.8%","38,813","48.4%","31,429","72.3%","37,713","16.3%","41,957","21.7%","48,958","-","-","76.6%","10,221"
"        American Indian and Alaska Native","8.7%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","1.9%","-","0.0%","-","1.8%","-","0.0%","-","0.0%","-","0.0%","-","0.9%","-","0.0%","-","0.0%","-","0.8%","-","0.4%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","3.3%","-","0.0%","-","1.2%","-","1.2%","-","0.0%","-","0.0%","-","2.2%","-","0.0%","-","0.0%","-","-","-","0.0%","-"
"        Asian","7.1%","100,250","21.7%","10,593","18.3%","19,375","14.9%","11,216","15.7%","25,917","10.3%","50,664","8.5%","87,059","7.9%","135,066","24.7%","37,917","1.6%","-","0.0%","-","2.5%","-","1.6%","-","9.9%","31,563","8.9%","34,479","17.8%","22,697","3.1%","14,602","4.1%","100,139","2.5%","43,500","0.0%","-","0.0%","-","0.7%","-","0.8%","-","1.8%","-","5.1%","50,272","0.0%","-","0.4%","-","0.0%","-","17.4%","40,142","4.7%","-","1.5%","-","0.8%","-","2.3%","65,972","7.0%","121,818","-","-","0.0%","-"
"        Native Hawaiian and Other Pacific Islander","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","1.2%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","2.4%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","-","-","0.0%","-"
"        Some other race","5.1%","-","4.5%","24,545","0.9%","-","1.4%","-","0.0%","-","0.0%","-","1.4%","-","5.2%","9,321","14.2%","15,671","21.4%","32,250","25.8%","16,117","16.9%","16,806","30.9%","26,214","13.1%","24,417","27.4%","14,450","1.7%","-","6.9%","25,781","6.0%","30,000","8.0%","21,135","14.4%","22,381","9.4%","67,208","4.7%","8,068","19.0%","18,077","11.5%","17,904","30.6%","22,358","22.7%","20,571","12.8%","50,781","18.1%","40,179","9.0%","58,750","30.4%","33,155","33.9%","27,308","14.2%","18,258","7.4%","32,713","17.3%","37,928","-","-","0.0%","-"
"    Two or more races","0.0%","-","3.2%","21,161","1.6%","-","1.1%","-","3.1%","33,906","0.0%","-","4.2%","119,667","0.8%","-","2.1%","-","2.8%","-","3.4%","43,636","5.5%","14,196","3.6%","13,462","1.8%","10,625","8.4%","23,250","1.2%","-","5.2%","65,375","4.6%","56,250","6.7%","9,781","3.7%","42,981","0.0%","-","1.5%","-","2.2%","5,833","4.7%","8,851","0.6%","-","3.1%","-","5.0%","25,313","3.2%","38,250","0.4%","-","4.8%","29,286","1.2%","-","2.4%","14,201","2.2%","31,488","3.0%","61,094","-","-","0.0%","-"
