"Label (Grouping)","Census Tract 103, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 104.03, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 104.03, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 104.04, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 104.04, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 104.05, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 104.05, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 105, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 105, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 106, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 106, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 706, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 706, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 707, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 707, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 711.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 711.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 801, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 801, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 803, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 803, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 805, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 805, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 806.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 806.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 808.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 808.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 809, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 809, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 814, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 814, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 815, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 815, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 817, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 817, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 818, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 818, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 819, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 819, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 820, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 820, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 821, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 821, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 901, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 901, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 902, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 902, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 903, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 903, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 904, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 904, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 906, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 906, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 907, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 907, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 913, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 913, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 914, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 914, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 924, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 924, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 1203.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 1203.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 9803, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 9803, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 9811, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 9811, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Households","275","33,359","1,762","17,009","1,504","20,172","897","13,488","1,609","40,771","1,828","85,726","1,283","105,391","1,332","76,765","2,107","42,551","644","27,318","777","22,332","1,312","19,034","1,301","19,311","875","16,832","933","24,903","1,486","51,583","1,216","43,688","861","32,524","1,426","27,787","1,246","25,852","1,348","30,985","1,149","26,276","2,075","16,599","1,848","31,778","822","23,067","1,248","24,271","1,148","35,125","715","40,250","1,776","51,667","783","34,922","891","33,242","2,125","30,360","1,784","54,513","1,940","76,375","0","-","105","12,813"
"    One race--","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        White","58.5%","37,917","65.3%","24,333","69.9%","17,143","63.9%","17,138","68.5%","50,603","81.2%","110,341","87.9%","108,750","58.0%","165,227","49.5%","87,037","23.0%","23,750","12.0%","13,036","17.4%","42,813","20.8%","22,115","25.1%","29,412","12.9%","18,125","76.0%","53,556","25.6%","67,344","17.8%","57,604","7.0%","70,125","4.5%","21,810","7.8%","50,625","9.4%","16,830","10.8%","23,750","8.0%","46,250","6.6%","27,500","5.1%","11,125","15.6%","20,156","11.0%","17,083","62.9%","65,389","13.9%","48,173","16.5%","34,805","7.8%","25,872","71.1%","71,938","52.9%","95,625","-","-","15.2%","93,750"
"        Black or African American","9.8%","25,729","5.9%","16,548","8.6%","40,565","14.4%","10,550","8.9%","33,667","7.8%","11,989","3.2%","58,681","27.0%","43,081","13.5%","37,946","49.2%","30,221","59.7%","29,133","59.2%","18,787","44.9%","19,817","51.7%","15,300","42.6%","25,980","10.8%","36,683","57.7%","33,750","66.9%","29,500","75.7%","28,893","75.0%","27,350","80.5%","22,721","82.2%","37,656","65.3%","18,274","72.5%","33,397","45.3%","24,034","69.4%","33,520","65.0%","39,091","66.0%","50,300","9.0%","16,932","46.5%","37,813","47.8%","43,523","75.4%","35,816","13.8%","43,636","20.7%","50,398","-","-","73.3%","11,369"
"        American Indian and Alaska Native","8.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.9%","-","0.0%","-","0.0%","-","0.0%","-","2.3%","-","1.4%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.7%","-","0.0%","-","0.0%","-","0.9%","-","1.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","4.1%","-","0.0%","-","1.1%","-","1.3%","-","0.0%","-","1.1%","-","3.2%","36,591","0.4%","-","0.0%","-","-","-","0.0%","-"
"        Asian","8.4%","44,750","23.8%","11,166","20.5%","17,647","17.8%","10,074","17.7%","11,489","10.2%","50,242","8.2%","90,221","7.4%","114,844","19.0%","14,688","0.0%","-","0.0%","-","1.5%","4,167","1.5%","10,833","5.8%","10,089","8.0%","34,531","11.9%","23,083","4.9%","36,705","3.5%","102,794","1.3%","-","0.0%","-","1.5%","-","0.9%","-","1.0%","-","1.7%","-","4.1%","12,125","0.0%","-","0.5%","-","0.6%","-","13.9%","32,115","2.2%","26,458","1.6%","-","1.0%","-","2.1%","66,154","5.6%","128,040","-","-","0.0%","-"
"        Native Hawaiian and Other Pacific Islander","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","2.8%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","-","-","0.0%","-"
"        Some other race","12.7%","34,063","2.5%","9,615","0.9%","-","1.6%","-","2.5%","-","0.0%","-","0.0%","-","6.1%","31,641","16.5%","14,931","22.7%","26,905","23.0%","17,095","16.3%","12,381","28.2%","17,132","14.4%","24,342","28.7%","23,915","0.0%","-","8.3%","42,614","9.6%","24,196","10.2%","20,162","15.2%","20,505","9.8%","67,212","6.1%","8,448","19.3%","12,188","12.3%","18,964","38.4%","22,350","19.1%","20,952","14.0%","4,848","17.1%","34,821","11.5%","41,635","32.6%","34,263","30.8%","28,000","10.8%","22,610","9.7%","14,635","16.9%","37,734","-","-","0.0%","-"
"    Two or more races","2.5%","-","2.6%","20,917","0.0%","-","2.3%","13,281","2.4%","34,318","0.0%","-","0.7%","-","1.6%","-","1.4%","-","2.8%","-","3.9%","46,500","5.6%","33,036","4.6%","13,393","3.0%","10,500","7.8%","13,984","0.6%","-","3.5%","65,893","2.2%","-","4.8%","9,375","4.3%","29,375","0.4%","-","1.4%","-","3.6%","7,216","5.5%","9,375","2.8%","-","2.3%","-","4.9%","31,176","4.2%","38,333","1.5%","66,389","4.9%","37,000","2.2%","52,778","1.7%","-","2.9%","30,602","3.9%","113,828","-","-","11.4%","-"
