Project Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8
Abbot Street/ Shawmut Ave,Roxbury,2119,16,16,0,0,0,0,16,16,0,Rental,Private,,
Academy Homes I,Roxbury,2119,202,202,0,52,52,0,150,150,0,Rental,Private,,
Academy Homes II,Roxbury,2119,236,236,0,0,0,0,236,236,0,Rental,Private,,Y
Adams Court Phase A,Mattapan,2126,50,50,0,0,0,0,50,50,0,Rental,Private,,
Adams Court Phase B,Mattapan,2126,45,45,0,0,0,0,45,45,0,Rental,Private,,
Adams Templeton Elderly Housing,Dorchester,2124,76,76,0,1,1,0,75,75,0,Rental,Private,Y,Y
Alcott Apts [Garden Garage],West End,2114,470,470,0,453,453,0,17,17,0,Rental,Private,,
Alexander-Magnolia,Dorchester,2125,40,40,0,2,2,0,38,38,0,Rental,Private,,
"Alice H. Taylor (Mission Hill Ext.) (2-14, -60,-84,-86,-100)",Mission Hill,2120,363,363,0,0,0,0,363,363,0,Rental,Public,,
Allele Condominium,South Boston,2127,47,0,47,41,0,41,6,0,6,Ownership,Private,,
Alleyne (VUP) CDFI,Roxbury,2121,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,
Alpine Street Village,Hyde Park,2136,44,0,44,40,0,40,4,0,4,Rental,Private,,
Amiff Housing,Dorchester,2124,96,96,0,0,0,0,96,96,0,Rental,Private,,Y
Amory Foundry (Phase I),Jamaica Plain,2130,23,0,23,18,,18,5,0,5,Ownership,Private,,
Amory Street (2-45),Jamaica Plain,2119,215,215,0,0,0,0,215,215,0,Rental,Private,Y,
Amory Terrace,Jamaica Plain,2119,64,64,0,0,0,0,64,64,0,Rental,Private,,
Amy Lowell House,West End,2114,152,152,0,30,30,0,122,122,0,Rental,Private,,
Anderson Park,Beacon Hill,2114,64,64,0,0,0,0,64,64,0,Rental,Private,Y,Y
Andrade (VUP),Dorchester,2122,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,
Andrew Square Apts,South Boston,2127,9,9,0,0,0,0,9,9,0,Rental,Private,,
Angela Westover House,Jamaica Plain,2130,11,11,0,0,0,0,11,11,0,Rental,Private,Y,Y
Annapolis (2-27),Dorchester,2125,56,56,0,0,0,0,56,56,0,Rental,Public,Y,
Archdale (200-7),Roslindale,2131,285,285,0,0,0,0,285,285,0,Rental,Public,,
Archstone Boston Common,Chinatown,2111,420,420,0,374,374,0,46,46,0,Rental,Private,,
Armory Condos,Charlestown,2129,42,0,42,36,0,36,6,0,6,Ownership,Private,,
Ashmont (2-28),Dorchester,2124,54,54,0,0,0,0,54,54,0,Rental,Public,Y,
Ashmont TOD (Housing),Dorchester,2124,116,74,42,42,0,42,74,74,0,Rental,Private,,
Astoria Street Condos (Elizabeth Street),Mattapan,2126,3,0,3,0,0,0,3,0,3,Ownership,Private,,
Atlantic Wharf,Downtown,2210,86,86,0,81,81,0,5,5,0,Rental,Private,,
Atrium Lofts,East Boston,2128,218,0,218,186,0,186,32,0,32,Ownership ,Private,,
Audubon Apts,Mattapan,2126,37,37,0,5,5,0,32,32,0,Rental,Private,,
Ausonia (2-61),North End,2109,100,100,0,0,0,0,100,100,0,Rental,Public,Y,
Ava Theater District,Downtown,2116,398,398,0,358,358,0,40,40,0,Rental,Private,,
Avalon at North Station,West End,2114,503,503,0,473,473,0,30,30,0,Rental,Private,,
Avalon at Prudential Center,Back Bay,2116,188,188,0,182,182,0,6,6,0,Rental,Private,,
Avana Lofts,Chinatown,2111,32,32,0,29,29,0,3,3,0,Rental,Private,,
Avenir Development,West End,2114,241,241,0,224,224,0,17,17,0,Rental,Private,,
Avondale Place,Mission Hill,2115,22,22,0,0,0,0,22,22,0,Rental,Private,,
Babcock Tower,Allston,2134,213,213,0,53,53,0,160,160,0,Rental,Private,,Y
Back of the Hill 202,Mission Hill,2130,125,125,0,0,0,0,125,125,0,Rental,Private,Y,Y
Back of the Hill HOP,Mission Hill,2120,149,0,149,58,0,58,91,0,91,Ownership,Private,,
Bailey (VUP),Roxbury,2121,1,1,0,0,0,0,1,1,0,Rental,Private,,
Baker Square Condominium,Mattapan,2124,60,60,0,52,52,0,8,8,0,Rental,Private,,
Balina Place at Norfolk St/Habitat,Dorchester,2124,3,0,3,0,0,0,3,0,3,Ownership,Private,,
Bancroft Apts,Jamaica Plain,2119,45,45,0,0,0,0,45,45,0,Rental,Private,,Y
Baptista (VUP),Dorchester,2125,1,1,0,0,0,0,1,1,0,Rental,Private,,
Barlett Square,Jamaica Plain,2130,13,0,13,11,0,11,2,0,2,Ownership,Private,,
Barnes School 202,East Boston,2128,74,74,0,0,0,0,74,74,0,Rental,Private,Y,
Bartlett Place Building E,Roxbury,2119,16,0,16,14,0,14,2,0,2,Ownership,Private,,
Bartlett Place/Building B,Roxbury,2119,60,0,60,22,22,0,38,38,0,Rental,Private,,
Basilica (667-6),Charlestown,2129,5,5,0,0,0,0,5,5,0,Rental,Public,Y,
Bates School/Artblock 731,South End,2118,54,0,54,30,0,30,24,0,24,Ownership,Private,,
Bay Cove Group Homes I,Roslindale,2131,26,26,0,0,0,0,26,26,0,Rental,Private,,Y
Bay Cove Group Homes III,South Boston,2127,12,12,0,0,0,0,12,12,0,Rental,Private,,Y
Bay Cove Group Homes IV,Dorchester,2125,9,9,0,1,1,0,8,8,0,Rental,Private,,
Bay Cove Hyde Park,Roslindale,2131,12,12,0,0,0,0,12,12,0,Rental,Private,,
BCN Properties,Roxbury,2119,53,53,0,0,0,0,53,53,0,Rental,Private,,Y
Beacon House,Beacon Hill,2114,135,135,0,50,50,0,85,85,0,Rental,Private,Y,Y
Beasley (VUP),Dorchester,2121,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Belgrade Place,West Roxbury,2132,39,39,0,34,0,34,5,5,0,Rental,Private,,
Bellflower (2-77),Dorchester,2125,114,114,0,0,0,0,114,114,0,Rental,Public,Y,
"Berkeley Investments, Inc.",South Boston Waterfront,2127,88,0,88,80,0,80,8,0,8,Ownership,Private,,
Beryl Gardens,Roxbury,2119,20,20,0,0,0,0,20,20,0,Rental,Private,,
BHA Infill 1A - Quincy Geneva,Roxbury,2121,18,0,18,0,0,0,18,0,18,Ownership,Private,,
BHA Infill 1B - Codman Square NDC,Dorchester,2124,2,0,2,0,0,0,2,0,2,Ownership,Private,,
BHA Infill 2 - Urban Edge,Roxbury,2119,15,5,10,0,0,0,15,5,10,Ownership/Rental,Private,,
BHA Infill 3 - Nuestra,Roxbury,2119,10,4,6,0,0,0,10,4,6,Ownership/Rental,Private,,
BHP Codman Square,Dorchester,2124,80,80,0,0,0,0,80,80,0,Rental,Private,,
BHP Fields Corner,Dorchester,2122,77,77,0,0,0,0,77,77,0,Rental,Private,,Y
BHP Frawley-Delle,Mission Hill,2115,74,74,0,0,0,0,74,74,0,Rental,Private,,Y
BHP Hano Street,Allston,2134,20,20,0,0,0,0,20,20,0,Rental,Private,,Section 8 or MRVP
BHP Lena Park,Dorchester,2121,93,93,0,0,0,0,93,93,0,Rental,Private,,
BHP Quincy-Geneva,Roxbury,2121,49,49,0,0,0,0,49,49,0,Rental,Private,,Y
BHP Washington Park,Jamaica Plain,2119,96,96,0,0,0,0,96,96,0,Rental,Private,,
BHP Westland Ave,Fenway,2115,20,20,0,5,5,0,15,15,0,Rental,Private,,
Bickford (2-25),Jamaica Plain,2130,56,56,0,0,0,0,56,56,0,Rental,Public,Y,
Bird St. Estates,Roxbury,2125,8,1,7,0,0,0,8,1,7,Ownership/Rental,Private,,
Blackstone Apts,West End,2114,145,145,0,0,0,0,145,145,0,Rental,Private,Y,Y
Blake Estates I,Hyde Park,2136,175,175,0,0,0,0,175,175,0,Rental,Private,Y,Y
Blake Estates II,Hyde Park,2136,88,88,0,0,0,0,88,88,0,Rental,Private,Y,Y
Blandino Farms,Dorchester,2124,16,0,16,14,0,14,2,0,2,Ownership,Private,,
Blessed Sacrament Mixed-Use (Rental + SRO),Jamaica Plain,2130,65,65,0,0,0,0,65,65,0,Rental,Private,,
Bloomfield Gardens,Dorchester,2124,27,27,0,0,0,0,27,27,0,Rental,Private,,
Blue Hill Commons,Roxbury,2119,8,1,7,0,0,0,8,1,7,Ownership/Rental,Private,,
Blue Mountain Assoc.,Roxbury,2121,217,217,0,0,0,0,217,217,0,Rental,Private,,Y
Border Falcon Condominiums,East Boston,2128,14,0,14,0,0,0,14,0,14,Ownership,Private,,
Boston East,East Boston,2128,200,200,0,174,174,0,26,26,0,Rental,Private,,
Boston Kenmore Realty LLC,Leather District,2111,54,0,54,49,0,49,5,0,5,Ownership,Private,,
Boston Landing,Brighton,2135,295,295,0,257,257,0,38,38,0,Rental,Private,,
Boston Rehab,Fenway,2115,144,144,0,0,0,0,144,144,0,Rental,Private,Y,Y
Boston Trailer Park Tenants,West Roxbury,2132,104,104,0,26,26,0,78,78,0,Rental,Private,,
Boston Wharf Tower,South Boston Waterfront,2127,202,202,0,180,180,0,22,22,0,Rental,Private,,
Boston's Hope in Dorchester,Dorchester,2124,41,41,0,0,0,0,41,41,0,Rental,Private,Y,
Bowditch School Lodging House,Jamaica Plain,2130,46,46,0,0,0,0,46,46,0,Rental,Private,,
Bowdoin Geneva Phase III (HOME AGAIN),Dorchester,2122,20,2,18,0,0,0,20,2,18,Ownership/Rental,Private,,
Bowdoin Place,Downtown,2114,75,0,75,56,0,56,19,0,19,Ownership,Private,Y,
Bowdoin School,Beacon Hill,2114,35,35,0,0,0,0,35,35,0,Rental,Private,Y,Y
Bowdoin/Geneva - HOME AGAIN,Dorchester,2125,7,0,7,0,0,0,7,0,7,Ownership,Private,,
Bowdoin/Geneva (Phase II),Dorchester,2125,10,5,5,2,1,1,8,4,4,Ownership/Rental,Private,,
Bowdoin-Geneva & Dudley FTHB,Dorchester,2125,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
Bowdoin-Geneva & Dudley Rental,Roxbury,2119,3,3,0,0,0,0,3,3,0,Rental,Private,,
Bowen (VUP),Dorchester,2124,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Boylston St Mixed Use,Back Bay,2116,85,85,0,75,75,0,10,10,0,Rental,Private,,
