Project Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income- Restricted,Income- Restricted Rental,Income- Restricted Ownership,Tenure,Public/ Private,Includes Elderly Units?,Section_8
Ava Theater District,Central,02116,398,398,0,358,358,0,40,40,0,Rental,Private,,
Avalon at North Station,Central,02114,503,503,0,473,473,0,30,30,0,Rental,Private,,
Avalon at Prudential Center,Back Bay/Beacon Hill,02116,188,188,0,182,182,0,6,6,0,Rental,Private,,
Avana Lofts,Central,02111,32,32,0,29,29,0,3,3,0,Rental,Private,,
Avenir Development,Central,02114,241,241,0,224,224,0,17,17,0,Rental,Private,,
Aveondale Place,Jamaica Plain,02115,22,22,0,0,0,0,22,22,0,Rental,Private,,
Babcock Tower,Allston/Brighton,02134,213,213,0,0,0,0,213,213,0,Rental,Private,,Y
Back of the Hill 202,Jamaica Plain,02130,125,125,0,0,0,0,125,125,0,Rental - Elderly,Private,Y,Y
Back of the Hill HOP,Jamaica Plain,02120,149,0,149,58,0,58,91,0,91,Ownership,Private,,MHP
Bailey,Dorchester,02121,1,1,0,0,0,0,1,1,0,Rental,Private,,
Baker Square Condominium,Mattapan,02124,60,60,0,52,52,0,8,8,0,Rental,Private,,
Bancroft Apts,Roxbury,02119,45,45,0,0,0,0,45,45,0,Rental,Private,,Y
Banton St Apts,Dorchester,02124,14,14,0,0,0,0,14,14,0,Rental,Private,,
Baptista,Dorchester,02125,1,1,0,0,0,0,1,1,0,Rental,Private,,
Barlett Square,Jamaica Plain,02130,13,0,13,11,0,11,2,0,2,Ownership,Private,,
Barnes School 202,East Boston,02128,74,74,0,0,0,0,74,74,0,Rental - Elderly,Private,Y,
Basilica (667-6),Charlestown,02129,5,5,0,0,0,0,5,5,0,Rental - Elderly,Public,Y,
Bates School/Artblock 731,South End,02118,54,0,54,30,0,30,24,0,24,Ownership,Private,,
Bay Cove Group Homes,Roslindale,02131,26,26,0,0,0,0,26,26,0,Rental,Private,,
Bay Cove Group Homes I,Dorchester,02122,26,26,0,0,0,0,26,26,0,Rental,Private,,Y
Bay Cove Group Homes III,South Boston,02127,12,12,0,0,0,0,12,12,0,Rental,Private,,
Bay Cove Group Homes IV,Dorchester,02125,9,9,0,1,1,0,8,8,0,Rental,Private,,
Bay Cove Hyde Park,Roslindale,02131,12,12,0,0,0,0,12,12,0,Rental,Private,,
BCN Properties,Roxbury,02119,53,53,0,0,0,0,53,53,0,Rental,Private,,Y
Beacon House,Back Bay/Beacon Hill,02114,135,135,0,50,50,0,85,85,0,Rental - Elderly,Private,Y,Y
Beasley,Roxbury,02121,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Belgrade Place,West Roxbury,02132,39,39,0,34,0,34,5,5,0,Rental,Private,,
Bellflower (2-77),Dorchester,02125,114,114,0,0,0,0,114,114,0,Rental - Elderly,Public,Y,
"Berkeley Investments, Inc.",South Boston,02127,97,0,97,89,0,89,8,0,8,Ownership,Private,,
Beryl Gardens,Roxbury,02119,20,20,0,0,0,0,20,20,0,Rental,Private,,
BHA Infill 1A - Quincy Geneva,Roxbury,02119,18,0,18,0,0,0,18,0,18,Ownership,Private,,
BHA Infill 1B - Codman Square NDC,Mattapan,02124,2,0,2,0,0,0,2,0,2,Ownership,Private,,
BHA Infill 2 - Urban Edge,Roxbury,02119,15,5,10,0,0,0,15,5,10,Ownership/Rental,Private,,
BHA Infill 3 - Nuestra,Roxbury,02119,10,4,6,0,0,0,10,4,6,Ownership/Rental,Private,,
BHP Codman Square,Dorchester,02124,80,80,0,0,0,0,80,80,0,Rental,Private,,
BHP Fields Corner,Dorchester,02122,77,77,0,0,0,0,77,77,0,Rental,Private,,Y
BHP Frawley-Delle,Jamaica Plain,02115,74,74,0,0,0,0,74,74,0,Rental,Private,,Y
BHP Hano Street,Allston/Brighton,02134,20,20,0,0,0,0,20,20,0,Rental,Private,,Section 8 or MRVP
BHP Lena Park,Roxbury,02121,93,93,0,0,0,0,93,93,0,Rental,Private,,
BHP Quincy-Geneva,Roxbury,02121,49,49,0,0,0,0,49,49,0,Rental,Private,,Y
BHP Washington Park,Roxbury,02119,96,96,0,0,0,0,96,96,0,Rental,Private,,
BHP Westland Ave,Fenway/Kenmore,02115,20,20,0,5,5,0,15,15,0,Rental,Private,,
Bickford (2-25),Jamaica Plain,02130,56,56,0,0,0,0,56,56,0,Rental - Elderly,Private,Y,
Bird St. Estates,Roxbury,02125,8,1,7,0,0,0,8,1,7,Ownership/Rental,Private,,
Blackstone Apts,Central,02114,145,145,0,0,0,0,145,145,0,Rental - Elderly,Private,Y,Y
Blake Estates I,Hyde Park,02136,175,175,0,0,0,0,175,175,0,Rental - Elderly,Private,Y,Y
Blake Estates II,Hyde Park,02136,88,88,0,0,0,0,88,88,0,Rental,Private,Y,Y
Blandino Farms,Dorchester,02124,16,0,16,14,0,14,2,0,2,Ownership,Private,,
Blessed Sacrament Mixed-Use (Rental),Jamaica Plain,02130,36,36,0,0,0,0,36,36,0,Rental,Private,,
Blessed Sacrament SROs (SPO),Jamaica Plain,02130,29,29,0,1,1,0,28,28,0,Rental - SRO,Private,,
Bloomfield Gardens,Dorchester,02124,27,27,0,0,0,0,27,27,0,Rental,Private,,
Blue Hill Commons,Roxbury,02119,8,1,7,0,0,0,8,1,7,Ownership/Rental,Private,,
Blue Mountain Assoc.,Roxbury,02121,217,217,0,0,0,0,217,217,0,Rental,Private,,Y
BLUE MOUNTAIN ASSOCIATES,Dorchester,02121,,,,,,,,,,,Private,,
Border Falcon Condominiums,East Boston,02128,14,0,14,0,0,0,14,0,14,Ownership,Private,,
Boston East,East Boston,02128,200,200,0,174,174,0,26,26,0,Rental,Private,,
Boston Kenmore Realty LLC,Central,02111,54,54,0,49,49,0,5,5,0,Rental,Private,,
Boston Landing,Allston/Brighton,02135,295,295,0,257,257,0,38,38,0,Rental,Private,,
Boston Rehab,Fenway/Kenmore,02115,144,144,0,0,0,0,144,144,0,Rental,Private,Y,Y
Boston Trailer Park Tenants,West Roxbury,02132,104,104,0,26,26,0,78,78,0,Rental,Private,,
Boston Wharf Tower,South Boston,02127,202,202,0,180,180,0,22,22,0,Rental,Private,,
Boston's Hope in Dorchester,Roxbury,02124,41,41,0,0,0,0,41,41,0,Rental,Private,Y,
Bowditch School Lodging House,Jamaica Plain,02130,46,46,0,0,0,0,46,46,0,Rental - SRO,Private,,
Bowdoin Geneva Phase III (HOME AGAIN),Dorchester,02122,20,2,18,0,0,0,20,2,18,Ownership/Rental,Private,,
Bowdoin Place,Back Bay/Beacon Hill,02114,75,0,75,56,0,56,19,0,19,Ownership,Private,,
Bowdoin School,Back Bay/Beacon Hill,02114,35,35,0,0,0,0,35,35,0,Rental - Elderly,Private,Y,Y
Bowdoin St. Lodging House,Back Bay/Beacon Hill,02114,120,120,0,0,0,0,120,120,0,Rental - SRO,Private,,
Bowdoin/Geneva - HOME AGAIN,Dorchester,02122,7,0,7,0,0,0,7,0,7,Ownership,Private,,
Bowdoin/Geneva (Phase II),Dorchester,02125,10,5,5,2,1,1,8,4,4,Ownership/Rental,Private,,
Bowdoin-Geneva & Dudley Rental,Roxbury,02119,3,3,0,0,0,0,3,3,0,Rental,Private,,
Bowen,Mattapan,02124,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Boylston West (Fenway Triangle Mixed Use),Fenway/Kenmore,02215,172,172,0,159,159,0,13,13,0,Rental,Private,,
Boylston-Brookside (p/o Self Help Apts),Roxbury,02130,6,6,0,0,0,0,6,6,0,Rental,Private,,
Bradford Estates,Mattapan,02124,24,0,24,0,0,0,24,0,24,Ownership,Private,,
Bradlee-Fowler,Dorchester,02124,3,1,2,0,0,0,3,1,2,Ownership/Rental,Private,,
Bradley Properties,South End,02118,70,70,0,0,0,0,70,70,0,Rental,Private,,Y
Brandywyne Village,East Boston,02128,402,402,0,136,136,0,266,266,0,Rental,Private,,Y
Brantley,Mattapan,02126,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Braxton,Roxbury,02121,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Brewery Lofts,Jamaica Plain,02130,79,0,79,71,0,71,8,0,8,Ownership,Private,,
Brian J Honan Apartments,Allston/Brighton,02134,50,50,0,0,0,0,50,50,0,Rental,Private,,
Brighton Gardens,Allston/Brighton,02135,62,62,0,49,49,0,13,13,0,Rental,Private,Y,
Brighton-Allston Apts,Allston/Brighton,02134,62,62,0,0,0,0,62,62,0,Rental,Private,Y,
Brighton-Allston Elderly,Allston/Brighton,02134,80,80,0,1,1,0,79,79,0,Rental - Elderly,Private,Y,Y
"Bromley Park (2-19, -75, -101)",Jamaica Plain,02130,779,779,0,0,0,0,779,779,0,Rental,Public,Y,
Brook Avenue Cooperative,Roxbury,02119,36,36,0,0,0,0,36,36,0,Cooperative,Private,,
Julian Phase 2 HOME AGAIN,Roxbury,02125,18,1,17,0,0,0,18,1,17,Ownership/Rental,Private,,
Brookside Artists Housing,Roxbury,02130,21,0,21,3,0,3,18,0,18,Ownership,Private,,
Brookview House,Mattapan,02124,8,8,0,0,0,0,8,8,0,Rental - Homeless,Private,,
Brookview House II,Mattapan,02124,12,12,0,0,0,0,12,12,0,Rental,Private,,
Brown,Dorchester,02121,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,
"Brown, J & D",Roxbury,02121,1,1,0,0,0,0,1,1,0,Rental,Private,,
Brown-Kaplan Townhomes,Mattapan,02124,60,60,0,0,0,0,60,60,0,Rental,Private,,Y
Brownstone Apartments,South End,02118,75,75,0,0,0,0,75,75,0,Rental,Private,,Y
Brunswick Street,Roxbury,02121,3,3,0,0,0,0,3,3,0,Rental,Private,,
Brush Hill Commons,Jamaica Plain,02130,14,0,14,8,0,8,6,0,6,Ownership,Private,,
Buckminster Hotel,Fenway/Kenmore,02215,18,18,0,16,16,0,2,2,0,Rental,Private,,
Buildable Lots - Codman Square,Dorchester,,6,0,6,1,0,1,5,0,5,Ownership,Private,,
Buildable Lots - Ferndale,Dorchester,02124,12,0,12,3,0,3,9,0,9,Ownership,Private,,
Buildable Lots - Uphams,Dorchester,,6,0,6,0,0,0,6,0,6,Ownership,Private,,
Buildable Lots- 1&2,Dorchester,02124,15,0,15,6,0,6,9,0,9,Ownership,Private,,
Buildable Lots- 3&4,Dorchester,,18,0,18,8,0,8,10,0,10,Ownership,Private,,
Buildable Lots- 5,Dorchester,02124,9,0,9,0,0,0,9,0,9,Ownership,Private,,
Buildable Lots- 6,Mattapan,02126,12,0,12,0,0,0,12,0,12,Ownership,Private,,
Building 104,Charlestown,02129,46,46,0,0,0,0,46,46,0,Rental - Elderly,Private,Y,
Builduing 33 at Navy Yard,Charlestown,02129,47,47,0,41,41,0,6,6,0,Rental,Private,,
Burbank Gardens,Fenway/Kenmore,02115,52,52,0,0,0,0,52,52,0,Rental,Private,,Y
Burton Apts (18u),South End,02120,18,18,0,0,0,0,18,18,0,Rental,Private,,Y
Burton-Dudley,Roxbury,02119,16,16,0,0,0,0,16,16,0,Rental,Private,,
Camden Street (200-2),South End,02118,72,72,0,0,0,0,72,72,0,Rental,Public,,
Camfield Gardens,South End,02118,102,102,0,0,0,0,102,102,0,Rental,Private,,Y
Candor Place (p/o Self Help Apts),Jamaica Plain,02130,6,6,0,0,0,0,6,6,0,Rental,Private,,
Capen Green,Mattapan,02124,18,0,18,0,0,0,18,0,18,Ownership,Private,,
Cardella,South Boston,02127,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
Cardinal Medeiros Manor,Roxbury,02125,54,54,0,0,0,0,54,54,0,Rental - Elderly,Private,Y,Y
Caritas Centre St,Dorchester,02122,12,12,0,0,0,0,12,12,0,Rental - SRO,Private,,
Caritas Centre St II,Dorchester,02124,11,11,0,0,0,0,11,11,0,Rental - SRO,Private,,
Caritas SRO Refinance,Dorchester,02125,23,23,0,0,0,0,23,23,0,Rental - SRO,Private,,
Carlton House AKA: Forward Inc. rental,Roxbury,02119,44,44,0,0,0,0,44,44,0,Rental,Private,,
Carlton Wharf,East Boston,02128,30,0,30,0,0,0,30,0,30,Ownership,Private,,
Carol Ave. Limited Coop,Allston/Brighton,02135,33,33,0,9,9,0,24,24,0,Rental,Private,,
Carroll,Roxbury,02125,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Carvalho,Dorchester,02125,2,2,0,0,0,0,2,2,0,Rental,Private,,
Cary Cottage,Roxbury,02119,10,10,0,0,0,0,10,10,0,Rental,Private,,
Casa Familias Unidas,Roxbury,02119,9,9,0,0,0,0,9,9,0,Rental,Private,,
Casa Maria,Central,02113,84,84,0,0,0,0,84,84,0,Rental - Elderly,Private,Y,Y
Casa Nueva Vida,Jamaica Plain,02130,7,7,0,0,0,0,7,7,0,Rental,Private,,
Casas Borinquen,South End,02118,36,36,0,0,0,0,36,36,0,Rental,Private,,Y
Cass House,Roxbury,02121,111,111,0,0,0,0,111,111,0,Rental,Private,,
Castle Square,South End,02116,500,500,0,0,0,0,500,500,0,Rental,Private,,Y
Cathedral (2-6),South End,02118,414,414,0,0,0,0,414,414,0,Rental,Public,,
Catherine H Gallagher Coop Housing,Jamaica Plain,02130,34,34,0,0,0,0,34,34,0,Rental,Private,,Y
Central Boston Elder Services,Roxbury,02119,57,57,0,0,0,0,57,57,0,Rental - Elderly,Private,Y,
Ceylon Field Apts,Roxbury,02119,66,66,0,0,0,0,66,66,0,Rental,Private,,
Chaisson,Dorchester,02125,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Channel View Condominiums,South Boston,02127,18,0,18,16,0,16,2,0,2,Ownership,Private,,
Channel Wharf,South Boston,02127,45,0,45,40,0,40,5,0,5,Ownership,Private,,
Chapman House,East Boston,02128,30,30,0,22,22,0,8,8,0,Rental,Private,,
Charlame Park Homes 2A&B,Roxbury,02121,41,41,0,0,0,0,41,41,0,Rental,Private,,Y
Charlame Park Homes I,Roxbury,02119,92,92,0,0,0,0,92,92,0,Rental,Private,,Y
Charles Newtowne Cooperative,Charlestown,02129,262,262,0,0,0,0,262,262,0,Rental,Private,,Y
Charles Street Gardens,Charlestown,02129,21,0,21,14,0,14,7,0,7,Ownership,Private,,
Charlestown (2-1),Charlestown,02129,1100,1100,0,0,0,0,1100,1100,0,Rental,Public,,
Charlestown Elderly,Charlestown,02129,42,42,0,0,0,0,42,42,0,Rental - Elderly,Private,Y,
Charlestown Navy Yard Row Houses,Charlestown,02129,50,0,50,34,0,34,16,0,16,Ownership,Private,,
Charlesview Apartments,Allston/Brighton,02135,260,240,20,20,20,0,240,220,20,Rental,Private,,Y
Charlesview Inc.,Allston/Brighton,02135,213,213,0,0,0,0,213,213,0,Rental,Private,,Y
Charlysade Apartments,Back Bay/Beacon Hill,02114,10,10,0,0,0,0,10,10,0,Rental,Private,,Y
Chauncy House,Central,02111,87,87,0,0,0,0,87,87,0,Rental - Elderly,Private,Y,Y
Cheriton Grove,West Roxbury,02132,70,70,0,7,7,0,63,63,0,Rental - Elderly,Private,Y,Y
Chestnut Avenue (p/o Self Help Apts),Jamaica Plain,02130,3,3,0,0,0,0,3,3,0,Rental,Private,,
Chestnut Hill Gardens,Allston/Brighton,02135,36,0,36,32,0,32,4,0,4,Ownership,Private,,
Chestnut Hill Park,Allston/Brighton,02135,47,0,47,45,0,45,2,0,2,Ownership,Private,,
Chestnut Hill Waterworks,Allston/Brighton,02135,108,0,108,97,0,97,11,0,11,Ownership,Private,,
Cheverus School Apts,East Boston,02128,48,48,0,1,1,0,47,47,0,Rental - Elderly,Private,Y,
Chinagate Apartments,Central,02111,15,15,0,0,0,0,15,15,0,Rental,Private,,Y
Church St SRO,Dorchester,02122,12,12,0,0,0,0,12,12,0,Rental - SRO,Private,,
City Square Elderly Housing,Charlestown,02129,120,120,0,1,1,0,119,119,0,Rental - Elderly,Private,Y,Y
Clarendon Square,South End,02116,60,0,60,51,0,51,9,0,9,Ownership,Private,,
Clarendon-Warren Condominium,South End,02116,31,0,31,21,0,21,10,0,10,Ownership,Private,,
Cleaves Court Apts,Roxbury,02119,36,36,0,0,0,0,36,36,0,Rental,Private,,
Cliffmont Condominium (Grew Ave),Roslindale,02131,90,0,90,89,0,89,1,0,1,Ownership,Private,,
CNY - Harborview Point (Parcel 4),Charlestown,02129,224,224,0,203,203,0,21,21,0,Rental,Private,,
Codman Commons,Mattapan,02124,28,0,28,11,0,11,17,0,17,Ownership,Private,,
Codman Square Apts (2-51),Dorchester,02124,102,102,0,0,0,0,102,102,0,Rental - Elderly,Public,Y,
Collins (Margaret) Apts (2-26),Jamaica Plain,02130,44,44,0,0,0,0,44,44,0,Rental - Elderly,Public,Y,
Columbia Road/Lighthouse,Dorchester,02125,4,4,0,0,0,0,4,4,0,Rental,Private,,
Columbia West,Dorchester,02125,57,57,0,0,0,0,57,57,0,Rental,Private,,
Columbia-Wood Apartments,Roxbury,02121,49,49,0,1,1,0,48,48,0,Rental,Private,,Y
Comaven Apartments,Allston/Brighton,02134,89,89,0,0,0,0,89,89,0,Rental,Private,,Y
Commerce Apartments,Roxbury,02130,60,60,0,0,0,0,60,60,0,Rental,Private,,
"Commonwealth (2-82,-95,-96,-97)",Allston/Brighton,02135,394,394,0,0,0,0,394,394,0,Rental,Public,Y,
Commonwealth Housing,Allston/Brighton,02134,118,118,0,0,0,0,118,118,0,Rental,Private,,Y
Concord Houses,South End,02118,181,181,0,0,0,0,181,181,0,Rental,Private,Y,
Concord St. Elder Housing,South End,02118,40,40,0,0,0,0,40,40,0,Rental - Elderly,Private,Y,Y
Condor-Harve Garden Apartments,East Boston,02128,7,7,0,0,0,0,7,7,0,Rental - Homeless,Private,,
Condor-Havre Garden Apartments,East Boston,02128,7,7,0,0,0,0,7,7,0,Rental,Private,,
Continuum (Barry's Corner),Allston/Brighton,02134,325,325,0,283,283,0,42,42,0,Rental,Private,,
Conway Court,Roslindale,02131,28,28,0,0,0,0,28,28,0,Rental,Private,,
Cortes Street SRO,Central,02116,41,41,0,1,1,0,40,40,0,Rental - SRO,Private,,
Costello Homes - West 2nd & F St,South Boston,02127,15,0,15,7,0,7,8,0,8,Ownership,Private,,
Cottage Brook Apartments,Roxbury,02125,147,147,0,0,0,0,147,147,0,Rental,Private,,Y
Council of Elders,Roxbury,02119,145,145,0,1,1,0,144,144,0,Rental - Elderly,Private,Y,Y
Court St SRO,Central,02108,96,96,0,0,0,0,96,96,0,Rental - SRO,Private,,
Courtyard at Cedar Grove,Dorchester,02124,18,0,18,16,0,16,2,0,2,Ownership,Private,,
Covenant House 202,Allston/Brighton,02135,200,200,0,1,1,0,199,199,0,Rental - Elderly,Private,Y,Y
Cox Building,Roxbury,02119,31,31,0,0,0,0,31,31,0,Rental,Private,,Y
Crawford House Apts,Roxbury,02121,9,9,0,0,0,0,9,9,0,Rental,Private,,Y
Creighton Commons Condominiums,Jamaica Plain,02130,16,0,16,0,0,0,16,0,16,Ownership,Private,,
Crittenton Hastings House,Allston/Brighton,02135,62,62,0,0,0,0,62,62,0,Rental,Private,,
Cummins Towers,Roslindale,02131,239,239,0,59,59,0,180,180,0,Rental,Private,,
CWL HOUSING,Jamaica Plain,02130,30,30,0,0,0,0,30,30,0,Rental,Private,,
D4 Police Station,South End,02136,26,0,26,24,0,24,2,0,2,Ownership,Private,,
Dacia Residence at Beauford Green,Roxbury,02125,24,0,24,0,0,0,24,0,24,Ownership,Private,,
Dale Street Condominium,Roxbury,02119,4,0,4,0,0,0,4,0,4,Ownership,Private,,
Daly House,Roxbury,02119,19,19,0,0,0,0,19,19,0,Rental - SRO,Private,,
Danube Apartments,Roxbury,02130,65,65,0,0,0,0,65,65,0,Rental,Private,,Y
DaRosa,Dorchester,02122,1,1,0,0,0,0,1,1,0,Rental,Private,,
Dartmouth Hotel,Roxbury,02129,71,71,0,7,7,0,64,64,0,Rental,Private,,
Dartmouth Tcb,South End,02118,83,83,0,0,0,0,83,83,0,Rental,Private,,
Davenport Commons,South End,02120,60,0,60,48,0,48,12,0,12,Ownership,Private,,
Davis,Dorchester,02125,2,2,0,0,0,0,2,2,0,Rental,Private,,
Davison (2-34),Hyde Park,02136,47,47,0,0,0,0,47,47,0,Rental,Public,,
DeMarco,East Boston,02128,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Derne Street Lodging Home,Back Bay/Beacon Hill,02114,18,18,0,0,0,0,18,18,0,Rental - SRO,Private,,
Dexter Building,Central,02111,58,0,58,57,0,57,1,0,1,Ownership,Private,,
DiGirolamo,East Boston,02128,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Dillon,Dorchester,02122,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Dimock-Bragdon Apartments,Roxbury,02119,54,54,0,0,0,0,54,54,0,Rental - Elderly,Private,?,Y
Disilvio,East Boston,02128,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Distillery Project Phase I,South Boston,02127,28,28,0,24,24,0,4,4,0,Rental,Private,,
Ditson St Senior Housing,Dorchester,02122,40,40,0,0,0,0,40,40,0,Rental - Elderly,Private,Y,
DNA Lofts,Dorchester,02125,59,0,59,51,0,51,8,0,8,Ownership,Private,,
Domicilia I & II,Dorchester,02122,10,10,0,0,0,0,10,10,0,Rental - Elderly,Private,Y,Y
Domicilia III,Jamaica Plain,02130,8,8,0,0,0,0,8,8,0,Rental,Private,,Y
Dorchester House,Dorchester,02122,91,91,0,0,0,0,91,91,0,Rental - Elderly,Private,Y,Y
Douglass Park,South End,02118,122,122,0,0,0,0,122,122,0,Rental,Private,,
Dover Lofts,South End,02118,16,0,16,14,0,14,2,0,2,Ownership,Private,,
Drayton Homes,Dorchester,02125,12,0,12,0,0,0,12,0,12,Ownership,Private,,
Dudley Greenville,Roxbury,02119,43,43,0,0,0,0,43,43,0,Rental,Private,,
Dudley Street Apts,Roxbury,02119,26,26,0,0,0,0,26,26,0,Rental,Private,,
Dudley Terrace,Dorchester,02125,56,56,0,2,2,0,54,54,0,Rental,Private,,
Dudley Village Phase I (North),Roxbury,02125,24,24,0,0,0,0,24,24,0,Rental,Private,,
Dudley Village Phase II (South),Roxbury,02125,26,26,0,0,0,0,26,26,0,Rental,Private,,
Dunmore Place,Roxbury,02119,6,6,0,0,0,0,6,6,0,Rental,Private,,
Dwight St Apts,South End,02118,9,9,0,0,0,0,9,9,0,Rental,Private,,
Eagle Hill Rehab,East Boston,02128,17,17,0,0,0,0,17,17,0,Rental,Private,,
East Berkeley Street,South End,02118,24,0,24,12,0,12,12,0,12,Ownership,Private,,
East Canton St Apts,South End,02118,80,80,0,0,0,0,80,80,0,Rental - Elderly,Private,Y,Y
East Springfield/Northampton Streets,South End,02118,10,0,10,1,0,1,9,0,9,Ownership,Private,,
Ebenezer Homes,South End,02118,32,32,0,0,0,0,32,32,0,Rental,Private,Y,Y
Edison Green,Dorchester,02125,95,95,0,1,1,0,94,94,0,Rental - Elderly,Private,Y,Y
Edward Everett Square,Dorchester,02125,6,0,6,4,0,4,2,0,2,Ownership,Private,,
Egleston Crossing,Roxbury,02119,64,64,0,1,1,0,63,63,0,Rental,Private,,
Eleven West (Lechmore Point),South Boston,02127,50,50,0,44,44,0,6,6,0,Rental,Private,,
Elm Hill/Seaver St Conversion,Roxbury,02121,18,18,0,15,15,0,3,3,0,Rental,Private,,
Elven Road,Roslindale,02131,8,3,5,0,0,0,8,3,5,Ownership/Rental,Private,,
Emerson Place - Charles River Park,Central,02114,320,320,0,301,301,0,19,19,0,Rental,Private,,
Epps,Roxbury,02121,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Erie-Ellington Homes,Roxbury,02121,100,100,0,0,0,0,100,100,0,Rental,Private,,
Esperanza Walnut,Roxbury,02119,42,42,0,0,0,0,42,42,0,Rental,Private,,Y
ETC Associates,South End,02118,71,71,0,0,0,0,71,71,0,Rental,Private,,Y
Eutaw/Meridian,East Boston,02128,1,0,1,0,0,0,1,0,1,Rental,Private,,
Eva White (2-41),South End,02116,102,102,0,0,0,0,102,102,0,Rental - Elderly,Public,Y,
Factory 63,South Boston,02127,62,62,0,51,51,0,11,11,0,Rental,Private,,
Fairfield Properties,Roxbury,02119,30,30,0,0,0,0,30,30,0,Rental,Private,,
