App Number,App Name,Status,Application Date,Issued Date,Location Description,Street Number,Street Name,Street Suffix,City,Zip Code,Start Date and Time,End Date and Time
PUB450599,MA Youth Pride,Open,,,"City Hall Plaza
Logan Ferraro 978.835.4171",284 to 290,State,ST,Boston,02110,2015-05-16,2015-05-16
 ,,Open,,,, , , , , ,,
PUB605052,The Chiofaro Company Summer Te,Open,,,,557,Atlantic,AV,Boston,02110,2016-07-13,2016-07-13
PUB450600,MA Youth Pride,Open,,,"City Hall Plaza
Logan Ferraro 978.835.4171",13 to 15,Congress,ST,Boston,02109,2015-05-16,2015-05-16
PUB450616,City Hall Plaza,Open,,,"City Hall Plaza
Logan Ferraro 978.835.4171",1,City Hall,PZ,Boston,02114,2015-05-16,2015-05-16
PUB450618,MA Youth,Open,,,"City Hall Plaza
Logan Ferraro 978.835.4171",1,City Hall,PZ,Boston,02114,2015-05-16,2015-05-16
PUB1163386,,Open,,,This is a test,1,City Hall,PZ,Boston,02114,2021-02-25,2021-02-25
PUB450621,Youth Pride,Open,,,"City Hall Plaza
Logan Ferraro 978.835.4171",1,City Hall,PZ,Boston,02114,2015-05-16,2015-05-16
PUB450622,Youth Pride,Open,,,"City Hall Plaza
Logan Ferraro 978.835.4171",1,City Hall,PZ,Boston,02114,2015-05-16,2015-05-16
PUB450623,MA YOUTH,Open,,,"City Hall Plaza
Logan Ferraro 978.835.4171",1,City Hall,PZ,Boston,02114,2015-05-16,2015-05-16
PUB450629,MA YOUTH,Open,,,"City Hall Plaza
Logan Ferraro 978-835-4171",1,City Hall,PZ,Boston,02114,2015-05-16,2015-05-16
PUB473456,VOID,Void,,,The route begins at 72 Maverick Street (in front of Most Holy Redeemer Church). The route turns left onto Havre Street for one block and then turns left onto Decatur Street. The route follows two blocks until it reaches Liverpool Street where it then turns left again. It follows down Liverpool Street until it reaches Sumner Street where it then turns left again. The route follows down Sumner Street until it reaches Maverick Square at which point it turns left again. The route continues through the Square until it reaches Maverick Street. At this point it turns left again and continues down Maverick Street until it reaches the church where it began. This concludes the procession. ,65,London,ST,East Boston,02128,2015-06-07,2015-06-07
PUB450638,MA YOUTH,Open,,,"City Hall Plaza
Logan Ferraro 978.835.4171",1,City Hall,PZ,Boston,02114,2015-05-16,2015-05-16
PUB655325,Remebering Hussain - Walk for,Open,,,At 1:00 pm we will begin our march from Copley Square Park using Boylston St.  Passing through Arlington St. towards Stuart St.  And up Stuart St. to use Dartmouth St. to end back at Copley Square park.,561 to 563,Boylston,ST,Boston,02116,2016-11-19,2016-11-19
PUB450642,void,Open,,,TEST,1,City Hall,PZ,Boston,02114,2015-03-03,2015-03-04
PUB450657,test,Open,,,Test,1,City Hall,PZ,Boston,02114,2015-03-03,2015-03-05
PUB457487,Harvard Medical School Commenc,Closed,,2015-04-24 04:11:41+00,"25 Shattuck Street Boston, MA 02115",25,Shattuck,ST,Boston,02115,2015-05-28,2015-05-28
PUB457430,Tom Brady Football Challenge,Closed,,2015-04-24 04:11:38+00,Waterfront Westin South Boston. We are interested in locating the food trucks on D St. outside one of the hotel's entrances. ,425,Summer,ST,Boston,02210,2015-05-13,2015-05-13
PUB457176,Tom Brady Football Challenge,Open,,,All activity takes place within the grounds of Harvard University,65,Harvard,ST,Allston,02163,2015-05-29,2015-05-29
PUB457175,Tom Brady Football Challenge,Open,,,All activity takes place within the grounds of Harvard University,65,Harvard,ST,Allston,02163,2015-05-29,2015-05-29
PUB457174,Tom Brady Football Challenge,Closed,,2015-04-24 04:11:36+00,All activity takes place within the grounds of Harvard University,65,Harvard,ST,Allston,02163,2015-05-29,2015-05-29
