company_name,services_provided,mbe_wbe_cert,small_local_cert,veteran_cert,sdo_certified,city_registered,address,city,state,zipcode,contact_name,contact_title,phone,fax,email,website,business_type,construction,date_business_established,number_employees,cob_category_codes1,cob_category_codes2,cob_category_codes3,naics_codes1,naics_codes2,naics_codes3,unspsc_code1,unspsc_code2,unspsc_code3
"9THAI EXPRESS , LLC",FULL SERVICES OF RESTAURANT,MBE,,,No,No,"433 Cambridge Street, FIRST FLOOR., Boston, MA 02134",Boston,MA,02134,Noppawan Srimahakosol,"NOPPAWAN SRIMAHAKOSOL , OWNER OF BUSINESS",(617) 202-5840,,9thaiexpress@gmail.com,www.9thaiexpress.com,Limited Liability Company,No,06/17/2021,Less than 10,,,,,,,,,
Turning On the Lights Global Institute,"Digital Coaching Service for Small Business Owners; Women Build Confidence Coaching; and Business Communication Mastery
",MWBE,,,No,No,"6 LIBERTY SQ, Suite 3013, Boston, MA 02109",Boston,MA,02109,Allana DaGraca,"Allana Da Graca, Pres",(781) 957-8603,,management@drallanadagraca.com,drallanadagracaa.com,Limited Liability Company,No,07/24/2018,Less than 10,TA - Training (see also ED),BU - Business Management Consultants,MK - Marketing,611430 - Professional and Management Development Training ,541613 - Marketing Consulting Services ,,86130000 - Specialized educational services,86120000 - Educational institutions,
American Dream Home Care Agency LLC,"Personal care attended , educations",WBE,,,No,No,"33 Dover Street, Brockton, MA 2301",Brockton,MA,2301,Maria tavares,"Maria Tavares, CEO",(177) 422-3880,,tavaresdonations69@gmail.com,www.americandreamhca.com,Limited Liability Company,No,01/01/2021,11 - 20,"AHS - Health Care (Providers, Services)",,,621610 - Home Health Care Services,,,85100000 - Comprehensive health services,,
Enlightened Inc,"An Information Technology Consulting Firm Specializing in Management Consulting, Systems Integration, Cyber Security and Business Process Outsourcing",MBE,,,No,Yes,"1205 Marion Barry Avenue SE, Suite 300, Washington, DC 20020",Washington,DC,20020,Tsering Cole,"Antwanye Ford, President & CEO",(202) 728-7190,,contracts@enlightened.com,www.enlightened.com,Corporation,Yes,07/01/1997,Greater than 100,COM - Consultants: Management,COS - Consultants: Systems Analysis,,541511 - Custom Computer Programming Services ,541512 - Computer Systems Design Services ,541519 - Other Computer Related Services,81110000 - Computer services,43230000 - Software,81160000 - Information Technology Service Delivery
The Little Cocoa Bean Co.,Baby and Toddler Food; Baby and Toddler Accessories,MWBE,SLBE,,No,No,"112 South Street, Boston, MA 02111",Boston,MA,02111,Tracy Skelly,"Tracy Skelly, CEO & Founder",(617) 331-3226,,tskelly@littlecocoabeanco.com,www.littlecocoabeanco.com,Limited Liability Company,No,06/13/2019,Less than 10,"FD - Food Products, Services",AL - Apparel,,"424330 - Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers ",424490 - Other Grocery and Related Products Merchant Wholesalers ,,50190000 - Prepared and preserved foods,53100000 - Clothing,
starz & cloudz inc,"trucking company(tractor trailer/18 wheelers)

transportation
dispatch
motor carrier services
freight brokerage services
consulting",MBE,SBE,,No,No,"7 Fiske Street, Worcester, MA 01602",Worcester,MA,01602,nguidjoi pierre,nguidjoi pierre,(857) 880-0903,,contact@starzcloudzinc.com,www.starzcloudzinc.com,Corporation,No,10/25/2018,11 - 20,TK - Trucking (Waste Disposal Commodities Transport),,,"484121 - General Freight Trucking, Long-Distance, Truckload ","484110 - General Freight Trucking, Local ","484220 - Specialized Freight (except Used Goods) Trucking, Local ",25100000 - Motor vehicles,25190000 - Transportation services equipment,78140000 - Transport services
"3 South, LLC","First Responder equipment, Services, Software/IT Solutions to include PPE, Law enforcement equipment, Fire equipment, CBRNE (Chemical, Biological, Radiological, Nuclear, Explosive) detection equipment, Emergency Preparedness and Response equipment, Homeland Security equipment, Healthcare solutions, Tactical gear, Apparel, UAV systems",WBE,SBE,,No,Yes,"3175 Conway Drive, Baton Rouge, LA 70809",Baton Rouge,LA,70809,Charlotte Johnston,,(504) 858-1955,(504) 324-0969,charlotte@3southcompanies.com,www.3southcompanies.com,Limited Liability Company,No,01/01/2011,Less than 10,SA - Safety Products,TA - Training (see also ED),SU - Suppliers,423840 - Industrial Supplies Merchant Wholesalers,423990 - Other Miscellaneous Durable Goods Merchant Wholesalers ,541690 - Other Scientific and Technical Consulting Services,46170000 - Security surveillance and detection,42170000 - Emergency and field medical services products,46180000 - Personal safety and protection
Kitchen and Floor Decor,"General contracting services, supply kitchen cabinets, countertops, flooring and installation of cabinets, countertops, flooring",WBE,SBE,,Yes,Yes,"22 6th Road Suite 1, Woburn, MA 01801",Woburn,MA,01801,Kristina Filozova,"Kristina Filozova, President",(617) 659-1449,,kristina@kitchenandfloordecor.com,www.kitchenandfloordecor.com,Corporation,Yes,01/01/2017,Less than 10,SU - Suppliers,"FL - Floor Contractors (Carpet, Tile, Linoleum)",CA - Carpentry,236118 - Residential Remodelers ,236220 - Commercial and Institutional Building Construction ,236210 - Industrial Building Construction ,72110000 - Residential building construction services,30160000 - Interior finishing materials,
"813 Consultants, LLC","Low overhead staffing, payroll, and consulting services   ",WBE,SLBE,,Yes,Yes,"10 Coniston Road, Roslindale, MA 02131",Roslindale,MA,02131,Kristen Harrington,,(617) 435-9123,,813consultants@gmail.com,www.813Consultants.com,Limited Liability Company,No,01/01/2015,Less than 10,"OS - Office Services (Clerical Support, Employment, Court Reporting, Typing, etc., see also EM)","EM - Employement (see also OS, TR)",,561320 - Temporary Help Services,541214 - Payroll Services ,561110 - Office Administrative Services,80110000 - Human resources services,,
84 Lumber Company,Building Materials and Supplies; Home Center,WBE,,,Yes,No,"1019 Route 519, Eighty Four, PA 15330",Eighty Four,PA,15330,Margaret Hardy-Knox,,(724) 223-8400,(866) 358-2961,deja.glemba@84lumber.biz,www.84lumber.com,Partnership,Yes,01/01/1956,Greater than 100,SU - Suppliers,MU - Manufacturers,,444110 - Home Centers ,444190 - Other Building Material Dealers ,,30150000 - Exterior finishing materials,30160000 - Interior finishing materials,30170000 - Doors and windows and glass
A & M Home Services LLC,Landscape; hardscape; excavation; bobcat services; junk removal; maintenance; distribution center; snow removal   ,MBE,SLBE,,No,Yes,"34 Vale Street, Roxbury, MA 2119",Roxbury,MA,2119,Adam Nurse,Adam Nurse,(617) 697-2353,,aandmhomeservices@yahoo.com,,Limited Liability Company (LLC),No,01/01/2014,Less than 10,LA - Landscaping Contractors,"SI - Sitework (Excavation, Demolition, Utilities, Sewage, see also GC)",SN - Snow Removal/Plowing (see also TK),561730 - Landscaping Services,238990 - All Other Specialty Trade Contractors,,30120000 - Roads and landscape,22100000 - Heavy construction machinery and equipment,78140000 - Transport services
A & S Construction and Demolition Co.,Lead abatement; asbestos removal; home repair services; general construction; residential and commercial cleaning,MBE,SLBE,,No,No,"4 Lorna Road, Mattapan, MA 02126",Mattapan,MA,02126,Andrew Simpson,,(617) 799-4955,,andrew@asconstructiondemo.com,www.asconstructiondemo.com,Corporation,Yes,01/01/2001,Less than 10,AB - Asbestos Control,"SI - Sitework (Excavation, Demolition, Utilities, Sewage, see also GC)",GC - General Contractors,562910 - Remediation Services ,238910 - Site Preparation Contractors,,72110000 - Residential building construction services,72120000 - Nonresidential building construction services,76100000 - Decontamination services
"A Better Resolution, Inc.",Audio/visual production; multimedia production   ,MBE,SLBE,,No,No,"42 8th Street, Suite 3210, Charlestown, MA 2129",Charlestown,MA,2129,Francis Miranda,,(617) 669-9759,,frank@abetterresolution.com,www.abrboston.com,Corporation,No,01/01/1997,Less than 10,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,ET - Entertainment/Entertainer,,532490 - Other Commercial and Industrial Machinery and Equipment Rental and Leasing ,512110 - Motion Picture and Video Production ,,45110000 - Audio and visual presentation and composing equipment,,
"A-Plus Welding and Engineering, Inc.",Structural steel erection and supplier; Fire escape repair and Inspection; Misc. metals installation and supplier; Rebar and mesh installation and supplier; Welding; Aluminum welding; Stainless steel welding; Pile driving welding services; Barge repair,MBE,SBE,,No,No,"200 Quarry Hills Drive, Quincy, MA 02169",Quincy,MA,02169,Edward Jordan,,(857) 389-6243,,weldboston54@gmail.com,www.apluswelding.net,Corporation,Yes,01/01/2007,Less than 10,"ST - Steel Contractos (Reinforcing, Erecting, see also FB, GC)",WE - Welding (see also FB),"RO - Road, Railroad, Highway, Bridge Contractors (see also PV)",238120 - Structural Steel and Precast Concrete Contractors ,238990 - All Other Specialty Trade Contractors,,72150000 - Specialized trade construction and maintenance services,23270000 - Welding and soldering and brazing machinery and accessories and supplies,72100000 - Building and facility maintenance and repair services
Adam Graphic Corporation,"Print, signage, apparel, promotional items",WBE,,,Yes,Yes,"16 Mason Avenue, Unit 4, North Attleboro, MA 02760",North Attleboro,MA,02760,Nancy Ruo,,(508) 699-2089,(508) 699-2672,nancy@adamgraphic.com,,Corporation,No,01/01/1985,Less than 10,PT - Printers,AL - Apparel,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,541430 - Graphic Design Services,323113 - Commercial Screen Printing ,,82121500 - Printing Services,14110000 - Paper products,
"Aisha Densmore-Bey, Designer",Architecture; design; graphics; branding; art; film,MWBE,,,Yes,Yes,"800 Boylston Street, #990863, Boston, MA 02199",Boston,MA,02199,Aisha Densmore-Bey,,(857) 225-5107,,aishadensmorebey@gsd.harvard.edu,www.aishadb.com,Sole Proprietorship,No,01/01/2011,Less than 10,AE - Architects/Engineers,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,COD - Consultants: Design,541310 - Architectural Services,541430 - Graphic Design Services,,82140000 - Graphic design,,
"Alliance Detective & Security Service, Inc",Armed and unarmed security guards; patrol services; alarm response; alarm and CCTV monitoring; investigations   ,WBE,,,Yes,Yes,"930 Broadway, Everett, MA 2149",Everett,MA,2149,Marianne Jenkins,,(617) 387-1261,(617) 389-0022,khartung@alliancesecurityservice.com,,Corporation,No,01/01/1975,Greater than 100,"SE - Security (Guards, Dogs, Systems)",,,561611 - Investigation Services ,561612 - Security Guards and Patrol Services ,,92120000 - Security and personal safety,,
"Alpha Three Consulting, LLC","Management and Technical Services Consulting Firm, Providing Services on a Project, Staff Augmentation, or Consulting Basis",WBE,,,No,No,"3000 Atrium Way, Suite 200-20030, Mount Laurel, NJ 8054",Mount Laurel,NJ,8054,Stephanie Sanders,"Marnie Masiello, Stephanie Sanders - Senior Partners  Melissa Nagata - Senior Partner and General Counsel",(610) 637-0844,,marnie.masiello@alphathree.com,alphathree.com,Limited Liability Company,No,01/01/2007,Greater than 100,COM - Consultants: Management,CN - Construction Management: Small Commercial Projects,COD - Consultants: Design,541611 - Administrative Management and General Management Consulting Services ,541618 - Other Management Consulting Services ,541690 - Other Scientific and Technical Consulting Services,80100000 - Management advisory services,83100000 - Utilities,
"Altieri Events, LLC dba AE Events",Event planning and production,WBE,,,Yes,Yes,"546 East Broadway, Boston, MA 02127",Boston,MA,02127,Christine Altieri,,(617) 320-7635,,christine@aeevents.com,aeevents.com,Limited Liability Company,No,01/01/2009,11 - 20,COM - Consultants: Management,COD - Consultants: Design,,"711320 - Promoters of Performing Arts, Sports, and Similar Events without Facilities ","711320 - Promoters of Performing Arts, Sports, and Similar Events without Facilities ",,80140000 - Marketing and distribution,,
"American Contractors Design and Finish, Inc.","Construction company specializing in carpentry, painting, drywall and finishing",MBE,,,No,Yes,"31 Colonial Drive, Dedham, MA 02026",Dedham,MA,02026,Miguel Oliveira,Miguel Oliveira Owner,(781) 471-5298,(781) 471-5296,mdiaz@amci.us,www.amci.us,Corporation,Yes,01/01/2010,11 - 20,CA - Carpentry,"PL - Plastering, Drywall Contractors",CN - Construction Management: Small Commercial Projects,236210 - Industrial Building Construction ,236220 - Commercial and Institutional Building Construction ,,31210000 - Paints and primers and finishes,,
"American Translation Partners, Inc.","Language services:  An international network of language professionals; assist a myriad of industries and markets, including but not limited to government, legal, medical, insurance, technical, financial, internet, software; assist with more than 150 languages",MWBE,SBE,,Yes,Yes,"1 Trowbridge Road, Suite 340, Buzzards Bay, MA 02536",Buzzards Bay,MA,02536,Polly Crystal,Polly Crystal,(508) 823-8892,(508) 823-8854,request@atptranslations.com,https://atptranslations.com,Corporation,No,01/01/2000,Less than 10,COV - Consultants: Translation,,,541930 - Translation and Interpretation Services,,,82110000 - Writing and translations,,
Amy Branger,Management consulting and executive coaching,WBE,,,Yes,Yes,"42 Eighth Street, Charlestown, MA 2129",Charlestown,MA,2129,Amy Branger,,(617) 312-8287,,amycbranger@gmail.com,,Sole Proprietorship,No,01/01/2015,Less than 10,COM - Consultants: Management,BU - Business Management Consultants,,541611 - Administrative Management and General Management Consulting Services ,541618 - Other Management Consulting Services ,,,,
"Angelini Plastering, Inc.",Light gauge metal framing; insulation; gypsum board; all phases of plastering; acoustical plaster; EIFS; BASWAphon; drywall; GFRG   ,WBE,SBE,,No,No,"304 Main Street, North Reading, MA 1864",North Reading,MA,1864,Jodi Angelini,Ms. Jodi Angelini,(978) 664-3836,(978) 664-0771,jangelini@angeliniplastering.com,,Corporation,Yes,01/01/1981,21 - 40,"PL - Plastering, Drywall Contractors",,,238310 - Drywall and Insulation Contractors ,,,30110000 - Concrete and cement and plaster,,
"Anvil Steel Engineering, Inc.","All facets of iron work including but not limited to:  structural bridges, precast, reinforcing and welding.  This is a Disabled Veteran Owned Small Business Enterprise (SDVOSB).   ",MBE,SBE,SVOB,No,No,"256 Prospect Hill Street, Taunton, MA 02780",Taunton,MA,02780,Lamont Davis,,(617) 799-1614,(508) 880-0301,anvilsteelinc@gmail.com,www.anvilsteelinc.com,Corporation,Yes,01/01/2014,Less than 10,"ST - Steel Contractos (Reinforcing, Erecting, see also FB, GC)",GC - General Contractors,WE - Welding (see also FB),237990 - Other Heavy and Civil Engineering Construction ,238120 - Structural Steel and Precast Concrete Contractors ,,72150000 - Specialized trade construction and maintenance services,,
"Archipelago Strategies Group, Inc.",Marketing; advertisement production; public relations; social media management; branding; website design; event planning; management consulting   ,MWBE,SLBE,,Yes,Yes,"1828 Centre Street, Boston, MA 02132",Boston,MA,02132,Josiane Martinez,,(617) 419-6989,,josiane@discoverasg.com,https://discoverasg.com/,Corporation,No,01/01/2013,41 - 100,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,COM - Consultants: Management,,541613 - Marketing Consulting Services ,541820 - Public Relations Agencies,,82100000 - Advertising,82140000 - Graphic design,
ARQ Architects,Architectural Services   ,WBE,SBE,,No,No,"1 Government Street, #2, Kittery, ME 3904",Kittery,ME,3904,Lucinda Schlaffer,"Lucinder Schlaffer, Partner",(207) 439-5289,(207) 439-9531,lucy@arqarchitects.com,www.arqarchitects.com,Partnership,No,01/01/1985,Less than 10,AE - Architects/Engineers,"COA - Consultants: Architecture, Engineering",COD - Consultants: Design,541310 - Architectural Services,541410 - Interior Design Services,,81100000 - Professional engineering services,,
