Year,Label,Percentage
2013,Mexican,1.0
2014,Mexican,1.1
2015,Mexican,1.1
2016,Mexican,1.1
2017,Mexican,1.0
2019,Mexican,1.2
2020,Mexican,1.2
2021,Mexican,1.1
2022,Mexican,1.1
2013,Puerto Rican,4.9
2014,Puerto Rican,4.9
2015,Puerto Rican,5.3
2016,Puerto Rican,5.3
2017,Puerto Rican,5.2
2019,Puerto Rican,5.3
2020,Puerto Rican,5.2
2021,Puerto Rican,5.2
2022,Puerto Rican,4.7
2013,Cuban,0.4
2014,Cuban,0.4
2015,Cuban,0.4
2016,Cuban,0.4
2017,Cuban,0.4
2019,Cuban,0.5
2020,Cuban,0.5
2021,Cuban,0.4
2022,Cuban,0.4
2013,Other Hispanic or Latino,11.7
2014,Other Hispanic or Latino,11.9
2015,Other Hispanic or Latino,12.1
2016,Other Hispanic or Latino,12.2
2017,Other Hispanic or Latino,12.7
2019,Other Hispanic or Latino,12.9
2020,Other Hispanic or Latino,12.7
2021,Other Hispanic or Latino,13.1
2022,Other Hispanic or Latino,13.3
