Year,Label,Percentage
2013,        Black or African American,28.2
2014,        Black or African American,28.2
2015,        Black or African American,28.3
2016,        Black or African American,28.8
2017,        Black or African American,28.7
2019,        Black or African American,28.9
2020,        Black or African American,28.7
2021,        Black or African American,28.9
2022,        Black or African American,28.9
2013,        American Indian and Alaska Native,0.9
2014,        American Indian and Alaska Native,0.9
2015,        American Indian and Alaska Native,0.9
2016,        American Indian and Alaska Native,0.9
2017,        American Indian and Alaska Native,1.0
2019,        American Indian and Alaska Native,0.9
2020,        American Indian and Alaska Native,0.9
2021,        American Indian and Alaska Native,1.2
2022,        American Indian and Alaska Native,1.2
2013,        Asian,9.8
2014,        Asian,10.1
2015,        Asian,10.2
2016,        Asian,10.2
2017,        Asian,10.5
2019,        Asian,10.7
2020,        Asian,11.1
2021,        Asian,11.0
2022,        Asian,11.1
2013,        Native Hawaiian and Other Pacific Islander,0.2
2014,        Native Hawaiian and Other Pacific Islander,0.2
2015,        Native Hawaiian and Other Pacific Islander,0.2
2016,        Native Hawaiian and Other Pacific Islander,0.2
2017,        Native Hawaiian and Other Pacific Islander,0.2
2019,        Native Hawaiian and Other Pacific Islander,0.2
2020,        Native Hawaiian and Other Pacific Islander,0.2
2021,        Native Hawaiian and Other Pacific Islander,0.2
2022,        Native Hawaiian and Other Pacific Islander,0.2
2013,        Hispanic or Latino (of any race),18.0
2014,        Hispanic or Latino (of any race),18.4
2015,        Hispanic or Latino (of any race),18.8
2016,        Hispanic or Latino (of any race),19.0
2017,        Hispanic or Latino (of any race),19.4
2019,        Hispanic or Latino (of any race),19.8
2020,        Hispanic or Latino (of any race),19.5
2021,        Hispanic or Latino (of any race),19.8
2022,        Hispanic or Latino (of any race),19.6
