year,label,total_estimate,percentage
2013,Mexican,953.0,0.8
2013,Puerto Rican,8534.0,7.1
2013,Cuban,489.0,0.4
2013,Other Hispanic or Latino,14948.0,12.5
2014,Mexican,1023.0,0.8
2014,Puerto Rican,8709.0,7.1
2014,Cuban,616.0,0.5
2014,Other Hispanic or Latino,16023.0,13.1
2015,Mexican,1170.0,0.9
2015,Puerto Rican,9478.0,7.6
2015,Cuban,619.0,0.5
2015,Other Hispanic or Latino,16440.0,13.2
2016,Mexican,1243.0,1.0
2016,Puerto Rican,10003.0,8.0
2016,Cuban,687.0,0.5
2016,Other Hispanic or Latino,17049.0,13.6
2017,Mexican,1358.0,1.1
2017,Puerto Rican,9645.0,7.6
2017,Cuban,718.0,0.6
2017,Other Hispanic or Latino,18192.0,14.3
2019,Mexican,1615.0,1.3
2019,Puerto Rican,10826.0,8.4
2019,Cuban,573.0,0.4
2019,Other Hispanic or Latino,18421.0,14.3
2020,Mexican,1745.0,1.2
2020,Puerto Rican,11597.0,7.7
2020,Cuban,672.0,0.4
2020,Other Hispanic or Latino,21494.0,14.3
2021,Mexican,1424.0,1.0
2021,Puerto Rican,10925.0,7.4
2021,Cuban,596.0,0.4
2021,Other Hispanic or Latino,23309.0,15.8
2022,Mexican,1336.0,0.9
2022,Puerto Rican,11111.0,7.7
2022,Cuban,556.0,0.4
2022,Other Hispanic or Latino,22838.0,15.7
