year,label,total_estimate,percentage
2013,White 2,46224.0,38.7
2014,White 2,48252.0,39.3
2015,White 2,49531.0,39.8
2016,White 2,50245.0,40.0
2017,White 2,50640.0,39.8
2019,White 2,51545.0,40.0
2020,White 2,64591.0,43.1
2021,White 2,64971.0,44.0
2022,White 2,62668.0,43.2
2013,Non White,85063.0,71.19999999999999
2014,Non White,87154.0,71.1
2015,Non White,89881.0,72.1
2016,Non White,92834.0,73.9
2017,Non White,95796.0,75.4
2019,Non White,98855.0,76.7
2020,Non White,110348.0,73.6
2021,Non White,111017.0,75.2
2022,Non White,110388.0,76.1
