"Label (Grouping)","Boston city, Suffolk County, Massachusetts!!Total!!Estimate","Boston city, Suffolk County, Massachusetts!!Total!!Margin of Error","Boston city, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Boston city, Suffolk County, Massachusetts!!Below poverty level!!Margin of Error","Boston city, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Boston city, Suffolk County, Massachusetts!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","610,081","±5,249","114,198","±7,831","18.7%","±1.3"
"    AGE","","","","","",""
"        Under 18 years","99,717","±2,984","24,966","±3,958","25.0%","±3.8"
"            Under 5 years","30,728","±1,483","7,658","±2,141","24.9%","±6.6"
"            5 to 17 years","68,989","±2,795","17,308","±3,080","25.1%","±4.3"
"            Related children of householder under 18 years","98,958","±3,042","24,207","±3,995","24.5%","±3.8"
"        18 to 64 years","429,281","±4,629","69,597","±4,857","16.2%","±1.1"
"            18 to 34 years","210,177","±4,977","37,989","±3,522","18.1%","±1.6"
"            35 to 64 years","219,104","±3,299","31,608","±3,689","14.4%","±1.7"
"        60 years and over","114,928","±3,599","24,786","±2,943","21.6%","±2.5"
"        65 years and over","81,083","±2,265","19,635","±2,098","24.2%","±2.6"
"    SEX","","","","","",""
"        Male","295,042","±3,976","48,034","±4,895","16.3%","±1.6"
"        Female","315,039","±4,533","66,164","±4,483","21.0%","±1.4"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","",""
"        White alone","272,051","±6,255","31,528","±3,590","11.6%","±1.3"
"        Black or African American alone","126,054","±6,238","23,149","±4,103","18.4%","±3.1"
"        American Indian and Alaska Native alone","N","N","N","N","N","N"
"        Asian alone","56,835","±5,286","15,378","±2,464","27.1%","±3.6"
"        Native Hawaiian and Other Pacific Islander alone","N","N","N","N","N","N"
"        Some other race alone","46,983","±5,667","15,972","±4,255","34.0%","±7.0"
"        Two or more races","106,631","±8,782","27,335","±4,700","25.6%","±4.2"
"        Hispanic or Latino origin (of any race)","128,258","±5,429","40,435","±4,839","31.5%","±3.7"
"        White alone, not Hispanic or Latino","260,635","±6,335","27,674","±3,259","10.6%","±1.2"
"    EDUCATIONAL ATTAINMENT","","","","","",""
"        Population 25 years and over","449,205","±3,703","68,237","±4,785","15.2%","±1.1"
"            Less than high school graduate","53,167","±4,717","18,584","±3,106","35.0%","±4.7"
"            High school graduate (includes equivalency)","83,896","±5,159","18,521","±2,978","22.1%","±3.2"
"            Some college, associate's degree","75,787","±5,522","13,414","±2,110","17.7%","±2.7"
"            Bachelor's degree or higher","236,355","±6,283","17,718","±2,232","7.5%","±0.9"
"    EMPLOYMENT STATUS","","","","","",""
"        Civilian labor force 16 years and over","371,856","±6,471","34,055","±3,724","9.2%","±1.0"
"            Employed","343,454","±6,867","24,490","±2,848","7.1%","±0.8"
"                Male","169,665","±4,509","9,644","±1,711","5.7%","±1.0"
"                Female","173,789","±4,840","14,846","±2,052","8.5%","±1.1"
"            Unemployed","28,402","±3,129","9,565","±2,169","33.7%","±6.1"
"                Male","15,511","±2,287","4,296","±1,610","27.7%","±8.8"
"                Female","12,891","±2,136","5,269","±1,295","40.9%","±8.0"
"    WORK EXPERIENCE","","","","","",""
"        Population 16 years and over","520,646","±5,036","92,017","±5,566","17.7%","±1.1"
"            Worked full-time, year-round in the past 12 months","240,412","±6,183","4,774","±1,271","2.0%","±0.5"
"            Worked part-time or part-year in the past 12 months","134,986","±5,800","29,742","±3,467","22.0%","±2.4"
"            Did not work","145,248","±6,044","57,501","±4,509","39.6%","±2.6"
"    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","",""
"        50 percent of poverty level","62,861","±5,865","(X)","(X)","(X)","(X)"
"        125 percent of poverty level","143,333","±8,614","(X)","(X)","(X)","(X)"
"        150 percent of poverty level","164,817","±9,442","(X)","(X)","(X)","(X)"
"        185 percent of poverty level","189,429","±10,459","(X)","(X)","(X)","(X)"
"        200 percent of poverty level","199,787","±10,200","(X)","(X)","(X)","(X)"
"        300 percent of poverty level","266,576","±10,016","(X)","(X)","(X)","(X)"
"        400 percent of poverty level","324,901","±11,314","(X)","(X)","(X)","(X)"
"        500 percent of poverty level","382,719","±10,205","(X)","(X)","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","234,655","±7,556","59,170","±4,096","25.2%","±1.5"
"    Male","112,107","±5,826","24,107","±2,905","21.5%","±2.2"
"    Female","122,548","±4,502","35,063","±3,107","28.6%","±2.0"
"    15 years","46","±88","46","±88","100.0%","±100.0"
"    16 to 17 years","713","±455","713","±455","100.0%","±23.9"
"    18 to 24 years","35,080","±2,807","16,737","±2,260","47.7%","±4.6"
"    25 to 34 years","88,471","±4,124","11,093","±1,885","12.5%","±2.0"
"    35 to 44 years","30,024","±2,605","5,887","±1,295","19.6%","±4.1"
"    45 to 54 years","20,140","±2,547","3,905","±1,482","19.4%","±6.7"
"    55 to 64 years","24,732","±2,817","8,181","±1,700","33.1%","±5.6"
"    65 to 74 years","19,991","±2,245","5,899","±1,294","29.5%","±5.2"
"    75 years and over","15,458","±1,853","6,709","±1,342","43.4%","±6.4"
"    Mean income deficit for unrelated individuals (dollars)","8,530","±399","(X)","(X)","(X)","(X)"
"    Worked full-time, year-round in the past 12 months","116,237","±5,603","2,639","±846","2.3%","±0.7"
"    Worked less than full-time, year-round in the past 12 months","57,487","±4,161","18,368","±2,356","32.0%","±3.3"
"    Did not work","60,931","±4,452","38,163","±3,767","62.6%","±3.3"
"    Population in housing units for whom poverty status is determined","603,716","±5,181","110,282","±7,888","18.3%","±1.3"
