"Label (Grouping)","Boston city, Suffolk County, Massachusetts!!Total!!Estimate","Boston city, Suffolk County, Massachusetts!!Total!!Margin of Error","Boston city, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Boston city, Suffolk County, Massachusetts!!Below poverty level!!Margin of Error","Boston city, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Boston city, Suffolk County, Massachusetts!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","653,169","±5,139","118,946","±8,322","18.2%","±1.3"
"    AGE","","","","","",""
"        Under 18 years","108,201","±3,091","27,159","±4,463","25.1%","±4.0"
"            Under 5 years","34,345","±1,531","7,672","±1,643","22.3%","±4.6"
"            5 to 17 years","73,856","±2,752","19,487","±3,597","26.4%","±4.7"
"            Related children of householder under 18 years","107,537","±3,179","26,495","±4,517","24.6%","±4.0"
"        18 to 64 years","464,648","±4,599","77,135","±5,592","16.6%","±1.2"
"            18 to 34 years","238,019","±3,778","46,449","±3,846","19.5%","±1.6"
"            35 to 64 years","226,629","±3,334","30,686","±3,266","13.5%","±1.4"
"        60 years and over","112,481","±3,867","19,005","±2,551","16.9%","±2.2"
"        65 years and over","80,320","±2,166","14,652","±2,193","18.2%","±2.7"
"    SEX","","","","","",""
"        Male","314,106","±3,872","53,298","±4,759","17.0%","±1.5"
"        Female","339,063","±3,683","65,648","±5,771","19.4%","±1.7"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","",""
"        White alone","337,160","±10,079","41,323","±3,727","12.3%","±1.1"
"        Black or African American alone","166,119","±5,158","35,003","±4,720","21.1%","±2.7"
"        American Indian and Alaska Native alone","N","N","N","N","N","N"
"        Asian alone","60,299","±3,197","15,110","±2,742","25.1%","±4.6"
"        Native Hawaiian and Other Pacific Islander alone","N","N","N","N","N","N"
"        Some other race alone","48,874","±6,541","16,887","±3,980","34.6%","±6.9"
"        Two or more races","38,246","±5,201","9,582","±3,601","25.1%","±8.4"
"        Hispanic or Latino origin (of any race)","134,114","±4,654","37,707","±5,604","28.1%","±4.1"
"        White alone, not Hispanic or Latino","283,423","±6,351","29,907","±2,914","10.6%","±1.0"
"    EDUCATIONAL ATTAINMENT","","","","","",""
"        Population 25 years and over","476,052","±4,356","66,492","±5,303","14.0%","±1.1"
"            Less than high school graduate","61,768","±5,235","17,910","±3,297","29.0%","±4.7"
"            High school graduate (includes equivalency)","82,020","±5,968","17,403","±2,511","21.2%","±2.7"
"            Some college, associate's degree","86,848","±5,425","12,984","±2,302","15.0%","±2.3"
"            Bachelor's degree or higher","245,416","±6,694","18,195","±2,417","7.4%","±1.0"
"    EMPLOYMENT STATUS","","","","","",""
"        Civilian labor force 16 years and over","393,673","±7,365","35,229","±3,761","8.9%","±1.0"
"            Employed","369,362","±7,417","26,890","±3,013","7.3%","±0.8"
"                Male","179,105","±4,596","10,916","±2,018","6.1%","±1.1"
"                Female","190,257","±4,459","15,974","±2,212","8.4%","±1.2"
"            Unemployed","24,311","±3,057","8,339","±1,843","34.3%","±6.4"
"                Male","14,182","±2,238","4,235","±1,253","29.9%","±7.5"
"                Female","10,129","±1,878","4,104","±1,373","40.5%","±11.0"
"    WORK EXPERIENCE","","","","","",""
"        Population 16 years and over","556,155","±5,293","93,872","±6,135","16.9%","±1.1"
"            Worked full-time, year-round in the past 12 months","259,737","±6,321","5,625","±1,455","2.2%","±0.6"
"            Worked part-time or part-year in the past 12 months","147,740","±5,634","32,231","±3,417","21.8%","±2.1"
"            Did not work","148,678","±6,128","56,016","±4,404","37.7%","±2.4"
"    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","",""
"        50 percent of poverty level","58,818","±6,018","(X)","(X)","(X)","(X)"
"        125 percent of poverty level","144,326","±9,514","(X)","(X)","(X)","(X)"
"        150 percent of poverty level","166,665","±10,294","(X)","(X)","(X)","(X)"
"        185 percent of poverty level","202,264","±11,717","(X)","(X)","(X)","(X)"
"        200 percent of poverty level","216,995","±11,838","(X)","(X)","(X)","(X)"
"        300 percent of poverty level","294,844","±12,565","(X)","(X)","(X)","(X)"
"        400 percent of poverty level","365,665","±11,480","(X)","(X)","(X)","(X)"
"        500 percent of poverty level","426,983","±11,557","(X)","(X)","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","247,410","±8,428","66,078","±4,866","26.7%","±1.7"
"    Male","125,243","±5,870","32,351","±3,676","25.8%","±2.6"
"    Female","122,167","±4,683","33,727","±3,140","27.6%","±2.1"
"    15 years","188","±234","188","±234","100.0%","±51.6"
"    16 to 17 years","405","±327","405","±327","100.0%","±34.7"
"    18 to 24 years","38,636","±2,979","21,200","±2,824","54.9%","±4.8"
"    25 to 34 years","94,808","±4,166","14,549","±2,301","15.3%","±2.4"
"    35 to 44 years","27,491","±2,578","3,546","±1,173","12.9%","±4.1"
"    45 to 54 years","24,569","±3,161","6,008","±1,534","24.5%","±5.2"
"    55 to 64 years","26,165","±2,270","8,045","±1,676","30.7%","±5.3"
"    65 to 74 years","19,639","±2,108","5,823","±1,210","29.7%","±5.6"
"    75 years and over","15,509","±1,985","6,314","±1,477","40.7%","±7.5"
"    Mean income deficit for unrelated individuals (dollars)","7,894","±318","(X)","(X)","(X)","(X)"
"    Worked full-time, year-round in the past 12 months","121,061","±6,977","2,726","±1,012","2.3%","±0.8"
"    Worked less than full-time, year-round in the past 12 months","63,085","±4,429","22,095","±2,544","35.0%","±3.2"
"    Did not work","63,264","±4,440","41,257","±4,138","65.2%","±3.4"
