"Label (Grouping)","Boston city, Massachusetts!!Total!!Estimate","Boston city, Massachusetts!!Male!!Estimate","Boston city, Massachusetts!!Female!!Estimate"
"AGE BY EDUCATIONAL ATTAINMENT","","",""
"    Population 18 to 24 years","102,573","48,990","53,583"
"        Less than high school graduate","7,463","4,403","3,060"
"        High school graduate (includes equivalency)","20,303","10,319","9,984"
"        Some college or associate's degree","52,776","24,578","28,198"
"        Bachelor's degree or higher","22,031","9,690","12,341"
"    Population 25 years and over","467,086","222,464","244,622"
"        Less than 9th grade","35,396","16,720","18,676"
"        9th to 12th grade, no diploma","28,176","13,593","14,583"
"        High school graduate (includes equivalency)","93,672","46,769","46,903"
"        Some college, no degree","61,519","29,864","31,655"
"        Associate's degree","21,616","8,761","12,855"
"        Bachelor's degree","123,615","59,872","63,743"
"        Graduate or professional degree","103,092","46,885","56,207"
"        High school graduate or higher","403,514","(X)","(X)"
"        Bachelor's degree or higher","226,707","(X)","(X)"
"    Population 25 to 34 years","164,577","81,459","83,118"
"        High school graduate or higher","155,569","76,149","79,420"
"        Bachelor's degree or higher","112,598","52,901","59,697"
"    Population 35 to 44 years","84,319","41,328","42,991"
"        High school graduate or higher","74,591","36,335","38,256"
"        Bachelor's degree or higher","40,181","19,051","21,130"
"    Population 45 to 64 years","142,070","67,655","74,415"
"        High school graduate or higher","118,035","55,795","62,240"
"        Bachelor's degree or higher","50,981","24,163","26,818"
"    Population 65 years and over","76,120","32,022","44,098"
"        High school graduate or higher","55,319","23,872","31,447"
"        Bachelor's degree or higher","22,947","10,642","12,305"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","",""
"    White alone","261,057","129,071","131,986"
"        High school graduate or higher","241,131","118,374","122,757"
"        Bachelor's degree or higher","168,541","81,274","87,267"
"    White alone, not Hispanic or Latino","228,082","113,132","114,950"
"        High school graduate or higher","218,138","107,723","110,415"
"        Bachelor's degree or higher","158,612","76,816","81,796"
"    Black alone","111,601","49,377","62,224"
"        High school graduate or higher","93,120","41,185","51,935"
"        Bachelor's degree or higher","23,974","9,895","14,079"
"    American Indian or Alaska Native alone","1,470","674","796"
"        High school graduate or higher","1,150","531","619"
"        Bachelor's degree or higher","296","145","151"
"    Asian alone","44,441","20,511","23,930"
"        High school graduate or higher","34,343","16,472","17,871"
"        Bachelor's degree or higher","22,887","10,624","12,263"
"    Native Hawaiian and Other Pacific Islander alone","112","41","71"
"        High school graduate or higher","90","41","49"
"        Bachelor's degree or higher","41","41","0"
"    Some other race alone","29,122","13,202","15,920"
"        High school graduate or higher","20,178","9,091","11,087"
"        Bachelor's degree or higher","5,028","2,188","2,840"
"    Two or more races","19,283","9,588","9,695"
"        High school graduate or higher","13,502","6,457","7,045"
"        Bachelor's degree or higher","5,940","2,590","3,350"
"    Hispanic or Latino Origin","79,085","37,899","41,186"
"        High school graduate or higher","54,063","24,895","29,168"
"        Bachelor's degree or higher","17,426","7,582","9,844"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","",""
"    Less than high school graduate","(X)","(X)","(X)"
"    High school graduate (includes equivalency)","(X)","(X)","(X)"
"    Some college or associate's degree","(X)","(X)","(X)"
"    Bachelor's degree or higher","(X)","(X)","(X)"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS)","","",""
"    Population 25 years and over with earnings","48,787","52,736","44,028"
"        Less than high school graduate","22,218","26,740","18,771"
"        High school graduate (includes equivalency)","30,405","34,398","25,443"
"        Some college or associate's degree","36,827","40,788","33,045"
"        Bachelor's degree","62,186","68,595","55,506"
"        Graduate or professional degree","73,949","85,436","66,912"
