"Label (Grouping)","Boston city, Massachusetts!!Total!!Estimate","Boston city, Massachusetts!!Male!!Estimate","Boston city, Massachusetts!!Female!!Estimate"
"AGE BY EDUCATIONAL ATTAINMENT","","",""
"    Population 18 to 24 years","101,601","48,276","53,325"
"        Less than high school graduate","7,410","4,316","3,094"
"        High school graduate (includes equivalency)","18,485","9,518","8,967"
"        Some college or associate's degree","52,953","24,544","28,409"
"        Bachelor's degree or higher","22,753","9,898","12,855"
"    Population 25 years and over","473,775","225,950","247,825"
"        Less than 9th grade","34,004","15,779","18,225"
"        9th to 12th grade, no diploma","26,504","12,943","13,561"
"        High school graduate (includes equivalency)","93,386","47,009","46,377"
"        Some college, no degree","62,266","30,766","31,500"
"        Associate's degree","21,989","8,880","13,109"
"        Bachelor's degree","128,045","61,648","66,397"
"        Graduate or professional degree","107,581","48,925","58,656"
"        High school graduate or higher","413,267","197,228","216,039"
"        Bachelor's degree or higher","235,626","110,573","125,053"
"    Population 25 to 34 years","166,867","82,738","84,129"
"        High school graduate or higher","158,543","77,784","80,759"
"        Bachelor's degree or higher","115,477","54,129","61,348"
"    Population 35 to 44 years","85,119","42,033","43,086"
"        High school graduate or higher","76,813","37,802","39,011"
"        Bachelor's degree or higher","42,559","20,481","22,078"
"    Population 45 to 64 years","142,928","68,049","74,879"
"        High school graduate or higher","119,543","56,781","62,762"
"        Bachelor's degree or higher","52,894","24,585","28,309"
"    Population 65 years and over","78,861","33,130","45,731"
"        High school graduate or higher","58,368","24,861","33,507"
"        Bachelor's degree or higher","24,696","11,378","13,318"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","",""
"    White alone","265,500","131,305","134,195"
"        High school graduate or higher","246,848","121,338","125,510"
"        Bachelor's degree or higher","174,343","83,723","90,620"
"    White alone, not Hispanic or Latino","230,796","114,478","116,318"
"        High school graduate or higher","222,136","109,724","112,412"
"        Bachelor's degree or higher","163,851","79,075","84,776"
"    Black alone","113,079","50,051","63,028"
"        High school graduate or higher","94,756","41,712","53,044"
"        Bachelor's degree or higher","24,595","9,625","14,970"
"    American Indian or Alaska Native alone","1,416","663","753"
"        High school graduate or higher","1,140","534","606"
"        Bachelor's degree or higher","314","143","171"
"    Asian alone","45,284","20,840","24,444"
"        High school graduate or higher","35,727","17,020","18,707"
"        Bachelor's degree or higher","24,098","11,265","12,833"
"    Native Hawaiian and Other Pacific Islander alone","188","98","90"
"        High school graduate or higher","164","98","66"
"        Bachelor's degree or higher","100","85","15"
"    Some other race alone","28,202","12,924","15,278"
"        High school graduate or higher","20,058","9,090","10,968"
"        Bachelor's degree or higher","5,357","2,438","2,919"
"    Two or more races","20,106","10,069","10,037"
"        High school graduate or higher","14,574","7,436","7,138"
"        Bachelor's degree or higher","6,819","3,294","3,525"
"    Hispanic or Latino Origin","81,320","38,984","42,336"
"        High school graduate or higher","56,941","26,726","30,215"
"        Bachelor's degree or higher","19,301","8,764","10,537"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","",""
"    Less than high school graduate","(X)","(X)","(X)"
"    High school graduate (includes equivalency)","(X)","(X)","(X)"
"    Some college or associate's degree","(X)","(X)","(X)"
"    Bachelor's degree or higher","(X)","(X)","(X)"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)","","",""
"    Population 25 years and over with earnings","51,141","54,508","46,957"
"        Less than high school graduate","24,142","28,282","19,772"
"        High school graduate (includes equivalency)","31,471","36,199","26,525"
"        Some college or associate's degree","37,555","42,427","32,770"
"        Bachelor's degree","63,722","72,640","58,049"
"        Graduate or professional degree","77,153","88,807","70,989"
