"Label (Grouping)","Boston city, Massachusetts!!Total!!Estimate","Boston city, Massachusetts!!Male!!Estimate","Boston city, Massachusetts!!Female!!Estimate"
"AGE BY EDUCATIONAL ATTAINMENT","","",""
"    Population 18 to 24 years","103,081","49,210","53,871"
"        Less than high school graduate","7,391","4,452","2,939"
"        High school graduate (includes equivalency)","21,433","11,073","10,360"
"        Some college or associate's degree","52,828","24,195","28,633"
"        Bachelor's degree or higher","21,429","9,490","11,939"
"    Population 25 years and over","457,113","217,382","239,731"
"        Less than 9th grade","34,535","15,942","18,593"
"        9th to 12th grade, no diploma","29,190","14,116","15,074"
"        High school graduate (includes equivalency)","95,687","47,737","47,950"
"        Some college, no degree","60,018","28,884","31,134"
"        Associate's degree","21,056","8,387","12,669"
"        Bachelor's degree","119,426","57,955","61,471"
"        Graduate or professional degree","97,201","44,361","52,840"
"        Percent high school graduate or higher","(X)","(X)","(X)"
"        Percent bachelor's degree or higher","(X)","(X)","(X)"
"    Population 25 to 34 years","159,089","78,474","80,615"
"        High school graduate or higher","150,017","73,242","76,775"
"        Bachelor's degree or higher","107,094","50,246","56,848"
"    Population 35 to 44 years","83,631","40,986","42,645"
"        High school graduate or higher","73,425","35,541","37,884"
"        Bachelor's degree or higher","39,149","18,669","20,480"
"    Population 45 to 64 years","140,799","67,194","73,605"
"        High school graduate or higher","117,216","55,868","61,348"
"        Bachelor's degree or higher","49,170","23,359","25,811"
"    Population 65 years and over","73,594","30,728","42,866"
"        High school graduate or higher","52,730","22,673","30,057"
"        Bachelor's degree or higher","21,214","10,042","11,172"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","",""
"    White alone","256,266","126,538","129,728"
"        High school graduate or higher","236,128","115,895","120,233"
"        Bachelor's degree or higher","161,771","78,323","83,448"
"    White alone, not Hispanic or Latino","225,135","111,540","113,595"
"        High school graduate or higher","214,722","106,011","108,711"
"        Bachelor's degree or higher","153,120","74,252","78,868"
"    Black alone","108,833","47,991","60,842"
"        High school graduate or higher","89,832","39,579","50,253"
"        Bachelor's degree or higher","23,143","9,348","13,795"
"    American Indian or Alaska Native alone","1,544","716","828"
"        High school graduate or higher","1,199","578","621"
"        Bachelor's degree or higher","259","174","85"
"    Asian alone","42,836","19,763","23,073"
"        High school graduate or higher","32,964","15,865","17,099"
"        Bachelor's degree or higher","21,623","10,056","11,567"
"    Native Hawaiian and Other Pacific Islander alone","125","79","46"
"        High school graduate or higher","125","79","46"
"        Bachelor's degree or higher","79","79","0"
"    Some other race alone","29,109","13,093","16,016"
"        High school graduate or higher","20,279","9,202","11,077"
"        Bachelor's degree or higher","4,551","2,006","2,545"
"    Two or more races","18,400","9,202","9,198"
"        High school graduate or higher","12,861","6,126","6,735"
"        Bachelor's degree or higher","5,201","2,330","2,871"
"    Hispanic or Latino Origin","75,899","36,150","39,749"
"        High school graduate or higher","51,426","23,565","27,861"
"        Bachelor's degree or higher","15,410","6,899","8,511"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","",""
"    Less than high school graduate","(X)","(X)","(X)"
"    High school graduate (includes equivalency)","(X)","(X)","(X)"
"    Some college or associate's degree","(X)","(X)","(X)"
"    Bachelor's degree or higher","(X)","(X)","(X)"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)","","",""
"    Population 25 years and over with earnings","46,495","50,987","42,303"
"        Less than high school graduate","21,496","26,011","17,650"
"        High school graduate (includes equivalency)","29,188","32,248","24,761"
"        Some college or associate's degree","35,831","39,239","32,751"
"        Bachelor's degree","60,466","66,946","53,364"
"        Graduate or professional degree","71,770","81,794","64,753"
