"Label (Grouping)","Boston city, Massachusetts!!Total!!Estimate","Boston city, Massachusetts!!Male!!Estimate","Boston city, Massachusetts!!Female!!Estimate"
"AGE BY EDUCATIONAL ATTAINMENT","","",""
"    Population 18 to 24 years","101,870","47,980","53,890"
"        Less than high school graduate","7,240","4,158","3,082"
"        High school graduate (includes equivalency)","18,175","9,419","8,756"
"        Some college or associate's degree","53,464","24,620","28,844"
"        Bachelor's degree or higher","22,991","9,783","13,208"
"    Population 25 years and over","478,864","228,154","250,710"
"        Less than 9th grade","32,397","14,509","17,888"
"        9th to 12th grade, no diploma","25,711","12,751","12,960"
"        High school graduate (includes equivalency)","90,520","46,432","44,088"
"        Some college, no degree","62,337","30,021","32,316"
"        Associate's degree","22,052","9,105","12,947"
"        Bachelor's degree","133,296","64,554","68,742"
"        Graduate or professional degree","112,551","50,782","61,769"
"        High school graduate or higher","420,756","200,894","219,862"
"        Bachelor's degree or higher","245,847","115,336","130,511"
"    Population 25 to 34 years","168,227","83,195","85,032"
"        High school graduate or higher","160,215","78,536","81,679"
"        Bachelor's degree or higher","118,991","55,475","63,516"
"    Population 35 to 44 years","86,463","42,974","43,489"
"        High school graduate or higher","78,561","38,888","39,673"
"        Bachelor's degree or higher","45,646","21,947","23,699"
"    Population 45 to 64 years","142,890","67,938","74,952"
"        High school graduate or higher","121,252","57,263","63,989"
"        Bachelor's degree or higher","55,449","25,922","29,527"
"    Population 65 years and over","81,284","34,047","47,237"
"        High school graduate or higher","60,728","26,207","34,521"
"        Bachelor's degree or higher","25,761","11,992","13,769"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","",""
"    White alone","263,797","130,177","133,620"
"        High school graduate or higher","247,793","122,042","125,751"
"        Bachelor's degree or higher","177,516","85,353","92,163"
"    White alone, not Hispanic or Latino","232,375","114,843","117,532"
"        High school graduate or higher","224,881","110,991","113,890"
"        Bachelor's degree or higher","168,057","81,167","86,890"
"    Black alone","111,137","49,241","61,896"
"        High school graduate or higher","93,768","41,633","52,135"
"        Bachelor's degree or higher","25,831","10,412","15,419"
"    American Indian or Alaska Native alone","1,346","699","647"
"        High school graduate or higher","1,120","625","495"
"        Bachelor's degree or higher","388","217","171"
"    Asian alone","46,469","21,413","25,056"
"        High school graduate or higher","36,878","17,268","19,610"
"        Bachelor's degree or higher","25,271","11,935","13,336"
"    Native Hawaiian and Other Pacific Islander alone","218","74","144"
"        High school graduate or higher","183","69","114"
"        Bachelor's degree or higher","111","52","59"
"    Some other race alone","27,530","13,046","14,484"
"        High school graduate or higher","20,062","9,239","10,823"
"        Bachelor's degree or higher","6,019","2,410","3,609"
"    Two or more races","28,367","13,504","14,863"
"        High school graduate or higher","20,952","10,018","10,934"
"        Bachelor's degree or higher","10,711","4,957","5,754"
"    Hispanic or Latino Origin","81,668","39,418","42,250"
"        High school graduate or higher","58,724","27,819","30,905"
"        Bachelor's degree or higher","20,970","9,225","11,745"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","",""
"    Less than high school graduate","(X)","(X)","(X)"
"    High school graduate (includes equivalency)","(X)","(X)","(X)"
"    Some college or associate's degree","(X)","(X)","(X)"
"    Bachelor's degree or higher","(X)","(X)","(X)"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","","",""
"    Population 25 years and over with earnings","52,413","56,076","49,312"
"        Less than high school graduate","23,581","27,972","19,971"
"        High school graduate (includes equivalency)","32,915","37,506","28,157"
"        Some college or associate's degree","37,953","41,596","34,932"
"        Bachelor's degree","64,794","72,593","58,838"
"        Graduate or professional degree","80,630","91,720","74,405"
