"Label (Grouping)","Boston city, Massachusetts!!Total!!Estimate","Boston city, Massachusetts!!Male!!Estimate","Boston city, Massachusetts!!Female!!Estimate"
"AGE BY EDUCATIONAL ATTAINMENT","","",""
"    Population 18 to 24 years","100,005","46,813","53,192"
"        Less than high school graduate","6,704","3,727","2,977"
"        High school graduate (includes equivalency)","18,878","9,585","9,293"
"        Some college or associate's degree","51,476","23,425","28,051"
"        Bachelor's degree or higher","22,947","10,076","12,871"
"    Population 25 years and over","466,959","222,773","244,186"
"        Less than 9th grade","31,550","14,375","17,175"
"        9th to 12th grade, no diploma","23,739","11,825","11,914"
"        High school graduate (includes equivalency)","86,412","45,189","41,223"
"        Some college, no degree","60,073","28,005","32,068"
"        Associate's degree","21,736","8,969","12,767"
"        Bachelor's degree","129,901","62,814","67,087"
"        Graduate or professional degree","113,548","51,596","61,952"
"        High school graduate or higher","411,670","196,573","215,097"
"        Bachelor's degree or higher","243,449","114,410","129,039"
"    Population 25 to 34 years","161,128","79,099","82,029"
"        High school graduate or higher","154,508","75,408","79,100"
"        Bachelor's degree or higher","116,320","53,977","62,343"
"    Population 35 to 44 years","86,159","42,825","43,334"
"        High school graduate or higher","78,148","38,695","39,453"
"        Bachelor's degree or higher","46,154","22,227","23,927"
"    Population 45 to 64 years","140,213","67,279","72,934"
"        High school graduate or higher","118,933","56,283","62,650"
"        Bachelor's degree or higher","55,495","26,045","29,450"
"    Population 65 years and over","79,459","33,570","45,889"
"        High school graduate or higher","60,081","26,187","33,894"
"        Bachelor's degree or higher","25,480","12,161","13,319"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","",""
"    White alone","247,174","122,411","124,763"
"        High school graduate or higher","234,026","115,515","118,511"
"        Bachelor's degree or higher","169,847","81,859","87,988"
"    White alone, not Hispanic or Latino","222,107","110,048","112,059"
"        High school graduate or higher","215,342","106,435","108,907"
"        Bachelor's degree or higher","162,416","78,795","83,621"
"    Black alone","106,312","47,425","58,887"
"        High school graduate or higher","90,595","40,539","50,056"
"        Bachelor's degree or higher","26,568","10,896","15,672"
"    American Indian or Alaska Native alone","1,211","588","623"
"        High school graduate or higher","1,070","523","547"
"        Bachelor's degree or higher","353","157","196"
"    Asian alone","45,441","20,942","24,499"
"        High school graduate or higher","36,616","17,017","19,599"
"        Bachelor's degree or higher","25,965","12,254","13,711"
"    Native Hawaiian and Other Pacific Islander alone","242","109","133"
"        High school graduate or higher","232","109","123"
"        Bachelor's degree or higher","136","89","47"
"    Some other race alone","28,891","13,632","15,259"
"        High school graduate or higher","20,790","9,509","11,281"
"        Bachelor's degree or higher","6,950","2,867","4,083"
"    Two or more races","37,688","17,666","20,022"
"        High school graduate or higher","28,341","13,361","14,980"
"        Bachelor's degree or higher","13,630","6,288","7,342"
"    Hispanic or Latino Origin","81,319","38,881","42,438"
"        High school graduate or higher","59,130","27,759","31,371"
"        Bachelor's degree or higher","20,922","9,347","11,575"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","",""
"    Less than high school graduate","(X)","(X)","(X)"
"    High school graduate (includes equivalency)","(X)","(X)","(X)"
"    Some college or associate's degree","(X)","(X)","(X)"
"    Bachelor's degree or higher","(X)","(X)","(X)"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)","","",""
"    Population 25 years and over with earnings","56,063","60,721","53,131"
"        Less than high school graduate","25,377","29,792","21,756"
"        High school graduate (includes equivalency)","34,948","39,173","30,145"
"        Some college or associate's degree","40,140","45,807","34,876"
"        Bachelor's degree","68,925","77,112","63,415"
"        Graduate or professional degree","84,420","96,606","78,414"
