"Label (Grouping)","Boston city, Massachusetts!!Total!!Estimate","Boston city, Massachusetts!!Males!!Estimate","Boston city, Massachusetts!!Females!!Estimate"
"AGE BY EDUCATIONAL ATTAINMENT","","",""
"Population 18 to 24 years","107,678","50,938","56,740"
"    Less than high school graduate","7,725","4,653","3,072"
"    High school graduate (includes equivalency)","21,615","11,199","10,416"
"    Some college or associate's degree","57,232","26,030","31,202"
"    Bachelor's degree or higher","21,106","9,056","12,050"
"Population 25 years and over","434,475","206,153","228,322"
"    Less than 9th grade","34,741","16,017","18,724"
"    9th to 12th grade, no diploma","29,535","13,923","15,612"
"    High school graduate (includes equivalency)","93,732","46,210","47,522"
"    Some college, no degree","59,972","28,563","31,409"
"    Associate's degree","19,771","7,700","12,071"
"    Bachelor's degree","107,947","52,530","55,417"
"    Graduate or professional degree","88,777","41,210","47,567"
"Percent high school graduate or higher","(X)","(X)","(X)"
"Percent bachelor's degree or higher","(X)","(X)","(X)"
"Population 25 to 34 years","148,153","72,873","75,280"
"    High school graduate or higher","140,005","68,401","71,604"
"    Bachelor's degree or higher","96,391","45,182","51,209"
"Population 35 to 44 years","81,554","39,883","41,671"
"    High school graduate or higher","70,555","34,343","36,212"
"    Bachelor's degree or higher","35,476","17,390","18,086"
"Population 45 to 64 years","136,611","65,259","71,352"
"    High school graduate or higher","111,846","53,168","58,678"
"    Bachelor's degree or higher","46,633","22,345","24,288"
"Population 65 years and over","68,157","28,138","40,019"
"    High school graduate or higher","47,793","20,301","27,492"
"    Bachelor's degree or higher","18,224","8,823","9,401"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","",""
"    White alone","243,753","120,299","123,454"
"        High school graduate or higher","223,867","110,401","113,466"
"        Bachelor's degree or higher","147,894","72,496","75,398"
"White alone, not Hispanic or Latino","215,863","107,063","108,800"
"    High school graduate or higher","204,935","101,601","103,334"
"    Bachelor's degree or higher","140,672","68,934","71,738"
"Black alone","103,103","44,848","58,255"
"    High school graduate or higher","83,915","36,573","47,342"
"    Bachelor's degree or higher","19,996","7,769","12,227"
"American Indian or Alaska Native alone","1,372","568","804"
"    High school graduate or higher","1,097","456","641"
"    Bachelor's degree or higher","213","111","102"
"Asian alone","40,210","18,507","21,703"
"    High school graduate or higher","30,383","14,316","16,067"
"    Bachelor's degree or higher","19,580","9,109","10,471"
"Native Hawaiian and Other Pacific Islander alone","65","41","24"
"    High school graduate or higher","65","41","24"
"    Bachelor's degree or higher","14","14","0"
"Some other race alone","29,375","13,352","16,023"
"    High school graduate or higher","19,426","8,878","10,548"
"    Bachelor's degree or higher","4,386","2,178","2,208"
"Two or more races","16,597","8,538","8,059"
"    High school graduate or higher","11,446","5,548","5,898"
"    Bachelor's degree or higher","4,641","2,063","2,578"
"Hispanic or Latino Origin","69,875","33,175","36,700"
"    High school graduate or higher","46,390","21,391","24,999"
"    Bachelor's degree or higher","12,946","6,088","6,858"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","",""
"    Less than high school graduate","(X)","(X)","(X)"
"    High school graduate (includes equivalency)","(X)","(X)","(X)"
"    Some college or associate's degree","(X)","(X)","(X)"
"    Bachelor's degree or higher","(X)","(X)","(X)"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS)","","",""
"    Population 25 years and over with earnings","43,375","47,167","40,920"
"        Less than high school graduate","21,253","25,385","17,619"
"        High school graduate (includes equivalency)","27,721","31,167","25,301"
"        Some college or associate's degree","35,062","36,552","33,130"
"        Bachelor's degree","55,654","61,928","50,987"
"        Graduate or professional degree","67,443","77,242","61,352"
