"Label (Grouping)","Boston city, Massachusetts!!Total!!Estimate","Boston city, Massachusetts!!Males!!Estimate","Boston city, Massachusetts!!Females!!Estimate"
"AGE BY EDUCATIONAL ATTAINMENT","","",""
"Population 18 to 24 years","105,085","50,091","54,994"
"    Less than high school graduate","7,877","4,804","3,073"
"    High school graduate (includes equivalency)","21,723","11,326","10,397"
"    Some college or associate's degree","53,966","24,558","29,408"
"    Bachelor's degree or higher","21,519","9,403","12,116"
"Population 25 years and over","444,255","210,926","233,329"
"    Less than 9th grade","34,832","16,073","18,759"
"    9th to 12th grade, no diploma","28,810","13,793","15,017"
"    High school graduate (includes equivalency)","94,548","46,690","47,858"
"    Some college, no degree","59,365","28,355","31,010"
"    Associate's degree","20,664","8,242","12,422"
"    Bachelor's degree","113,854","55,644","58,210"
"    Graduate or professional degree","92,182","42,129","50,053"
"Percent high school graduate or higher","(X)","(X)","(X)"
"Percent bachelor's degree or higher","(X)","(X)","(X)"
"Population 25 to 34 years","153,236","75,427","77,809"
"    High school graduate or higher","144,744","70,552","74,192"
"    Bachelor's degree or higher","101,694","47,940","53,754"
"Population 35 to 44 years","82,145","40,192","41,953"
"    High school graduate or higher","71,691","34,748","36,943"
"    Bachelor's degree or higher","37,279","17,821","19,458"
"Population 45 to 64 years","138,596","66,116","72,480"
"    High school graduate or higher","114,739","54,641","60,098"
"    Bachelor's degree or higher","47,678","22,753","24,925"
"Population 65 years and over","70,278","29,191","41,087"
"    High school graduate or higher","49,439","21,119","28,320"
"    Bachelor's degree or higher","19,385","9,259","10,126"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","",""
"    White alone","250,128","123,356","126,772"
"        High school graduate or higher","230,453","113,325","117,128"
"        Bachelor's degree or higher","155,307","75,913","79,394"
"White alone, not Hispanic or Latino","221,181","109,710","111,471"
"    High school graduate or higher","210,686","104,343","106,343"
"    Bachelor's degree or higher","147,456","72,176","75,280"
"Black alone","105,958","46,211","59,747"
"    High school graduate or higher","86,850","37,850","49,000"
"    Bachelor's degree or higher","21,869","8,643","13,226"
"American Indian or Alaska Native alone","1,464","652","812"
"    High school graduate or higher","1,172","520","652"
"    Bachelor's degree or higher","233","148","85"
"Asian alone","40,905","18,849","22,056"
"    High school graduate or higher","31,340","14,990","16,350"
"    Bachelor's degree or higher","19,951","9,203","10,748"
"Native Hawaiian and Other Pacific Islander alone","81","57","24"
"    High school graduate or higher","81","57","24"
"    Bachelor's degree or higher","57","57","0"
"Some other race alone","27,416","12,294","15,122"
"    High school graduate or higher","18,226","8,175","10,051"
"    Bachelor's degree or higher","3,782","1,750","2,032"
"Two or more races","18,303","9,507","8,796"
"    High school graduate or higher","12,491","6,143","6,348"
"    Bachelor's degree or higher","4,837","2,059","2,778"
"Hispanic or Latino Origin","71,800","33,907","37,893"
"    High school graduate or higher","47,503","21,442","26,061"
"    Bachelor's degree or higher","13,729","6,051","7,678"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","",""
"    Less than high school graduate","(X)","(X)","(X)"
"    High school graduate (includes equivalency)","(X)","(X)","(X)"
"    Some college or associate's degree","(X)","(X)","(X)"
"    Bachelor's degree or higher","(X)","(X)","(X)"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)","","",""
"    Population 25 years and over with earnings","44,975","49,532","41,486"
"        Less than high school graduate","21,230","25,738","17,257"
"        High school graduate (includes equivalency)","29,016","31,971","25,269"
"        Some college or associate's degree","35,549","37,054","33,553"
"        Bachelor's degree","57,734","63,648","51,851"
"        Graduate or professional degree","69,510","79,104","62,300"
