"Label (Grouping)","Census Tract 103, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 104.03, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 104.03, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 104.03, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 104.04, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 104.04, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 104.04, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 104.05, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 104.05, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 104.05, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 105, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 105, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 105, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 106, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 106, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 106, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 706, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 706, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 706, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 707, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 707, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 707, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 711.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 711.01, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 711.01, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 801, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 801, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 801, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 803, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 803, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 803, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 805, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 805, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 805, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 806.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 806.01, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 806.01, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 808.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 808.01, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 808.01, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 809, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 809, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 809, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 814, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 814, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 814, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 815, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 815, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 815, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 817, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 817, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 817, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 818, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 818, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 818, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 819, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 819, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 819, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 820, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 820, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 820, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 821, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 821, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 821, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 901, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 901, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 901, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 902, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 902, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 902, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 903, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 903, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 903, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 904, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 904, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 904, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 906, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 906, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 906, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 907, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 907, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 907, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 913, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 913, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 913, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 914, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 914, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 914, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 924, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 924, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 924, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 1203.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 1203.01, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 1203.01, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 9803, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 9803, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 9803, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 9811, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 9811, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 9811, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate"
"Population for whom poverty status is determined","397","107","27.0%","2,893","1,244","43.0%","3,011","2,049","68.1%","1,709","732","42.8%","2,566","912","35.5%","2,738","361","13.2%","2,307","116","5.0%","2,812","349","12.4%","3,973","1,299","32.7%","1,663","515","31.0%","1,843","662","35.9%","2,528","1,018","40.3%","3,168","1,334","42.1%","2,153","1,046","48.6%","2,542","1,292","50.8%","3,415","1,373","40.2%","2,940","901","30.6%","2,080","606","29.1%","3,277","1,438","43.9%","3,233","1,088","33.7%","3,212","1,028","32.0%","2,837","944","33.3%","4,924","2,035","41.3%","4,948","1,316","26.6%","2,235","792","35.4%","3,368","1,247","37.0%","3,569","1,103","30.9%","2,053","453","22.1%","4,708","1,268","26.9%","2,503","591","23.6%","2,342","764","32.6%","5,568","1,453","26.1%","3,807","670","17.6%","4,768","623","13.1%","242","216","89.3%","210","147","70.0%"
"AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Under 18 years","50","0","0.0%","77","58","75.3%","24","0","0.0%","49","0","0.0%","18","0","0.0%","146","16","11.0%","429","0","0.0%","439","82","18.7%","438","187","42.7%","357","215","60.2%","432","193","44.7%","710","410","57.7%","1,002","535","53.4%","404","235","58.2%","569","355","62.4%","251","28","11.2%","367","166","45.2%","409","174","42.5%","1,055","512","48.5%","909","606","66.7%","774","420","54.3%","599","330","55.1%","1,673","989","59.1%","1,276","440","34.5%","604","253","41.9%","1,039","590","56.8%","1,113","482","43.3%","601","162","27.0%","856","366","42.8%","651","227","34.9%","466","190","40.8%","1,517","405","26.7%","531","90","16.9%","707","173","24.5%","0","0","-","78","53","67.9%"
"        Related children under 18 years","50","0","0.0%","77","58","75.3%","24","0","0.0%","49","0","0.0%","18","0","0.0%","146","16","11.0%","429","0","0.0%","439","82","18.7%","438","187","42.7%","357","215","60.2%","432","193","44.7%","710","410","57.7%","1,002","535","53.4%","404","235","58.2%","569","355","62.4%","251","28","11.2%","367","166","45.2%","409","174","42.5%","1,055","512","48.5%","909","606","66.7%","774","420","54.3%","583","314","53.9%","1,673","989","59.1%","1,224","391","31.9%","594","243","40.9%","1,039","590","56.8%","1,113","482","43.3%","601","162","27.0%","856","366","42.8%","651","227","34.9%","466","190","40.8%","1,481","369","24.9%","531","90","16.9%","698","164","23.5%","0","0","-","78","53","67.9%"
"    18 to 64 years","334","103","30.8%","2,403","971","40.4%","2,893","2,049","70.8%","1,278","542","42.4%","2,149","788","36.7%","1,946","251","12.9%","1,754","116","6.6%","2,191","242","11.0%","3,135","972","31.0%","1,142","276","24.2%","1,257","429","34.1%","1,517","450","29.7%","1,958","709","36.2%","1,626","770","47.4%","1,766","823","46.6%","2,776","1,211","43.6%","2,298","643","28.0%","1,467","379","25.8%","1,761","726","41.2%","2,005","475","23.7%","2,055","537","26.1%","1,867","531","28.4%","2,819","864","30.6%","3,280","763","23.3%","1,439","497","34.5%","2,083","636","30.5%","2,121","574","27.1%","1,274","249","19.5%","3,496","856","24.5%","1,601","313","19.6%","1,674","506","30.2%","3,738","1,014","27.1%","2,999","503","16.8%","3,818","421","11.0%","201","182","90.5%","128","90","70.3%"
"    65 years and over","13","4","30.8%","413","215","52.1%","94","0","0.0%","382","190","49.7%","399","124","31.1%","646","94","14.6%","124","0","0.0%","182","25","13.7%","400","140","35.0%","164","24","14.6%","154","40","26.0%","301","158","52.5%","208","90","43.3%","123","41","33.3%","207","114","55.1%","388","134","34.5%","275","92","33.5%","204","53","26.0%","461","200","43.4%","319","7","2.2%","383","71","18.5%","371","83","22.4%","432","182","42.1%","392","113","28.8%","192","42","21.9%","246","21","8.5%","335","47","14.0%","178","42","23.6%","356","46","12.9%","251","51","20.3%","202","68","33.7%","313","34","10.9%","277","77","27.8%","243","29","11.9%","41","34","82.9%","4","4","100.0%"
"SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Male","217","36","16.6%","1,619","651","40.2%","1,795","1,341","74.7%","875","316","36.1%","1,216","414","34.0%","1,222","165","13.5%","1,224","65","5.3%","1,285","120","9.3%","2,167","430","19.8%","839","221","26.3%","792","208","26.3%","1,030","316","30.7%","1,354","464","34.3%","1,162","604","52.0%","1,154","591","51.2%","1,571","582","37.0%","1,670","481","28.8%","1,044","277","26.5%","1,375","417","30.3%","1,265","374","29.6%","1,367","474","34.7%","1,302","398","30.6%","2,257","1,002","44.4%","2,401","633","26.4%","1,063","370","34.8%","1,258","471","37.4%","1,652","499","30.2%","847","197","23.3%","2,737","623","22.8%","1,224","212","17.3%","1,191","387","32.5%","2,697","683","25.3%","1,831","286","15.6%","2,671","306","11.5%","154","135","87.7%","90","64","71.1%"
"    Female","180","71","39.4%","1,274","593","46.5%","1,216","708","58.2%","834","416","49.9%","1,350","498","36.9%","1,516","196","12.9%","1,083","51","4.7%","1,527","229","15.0%","1,806","869","48.1%","824","294","35.7%","1,051","454","43.2%","1,498","702","46.9%","1,814","870","48.0%","991","442","44.6%","1,388","701","50.5%","1,844","791","42.9%","1,270","420","33.1%","1,036","329","31.8%","1,902","1,021","53.7%","1,968","714","36.3%","1,845","554","30.0%","1,535","546","35.6%","2,667","1,033","38.7%","2,547","683","26.8%","1,172","422","36.0%","2,110","776","36.8%","1,917","604","31.5%","1,206","256","21.2%","1,971","645","32.7%","1,279","379","29.6%","1,151","377","32.8%","2,871","770","26.8%","1,976","384","19.4%","2,097","317","15.1%","88","81","92.0%","120","83","69.2%"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    One race","397","107","27.0%","2,787","1,244","44.6%","2,987","2,035","68.1%","1,686","719","42.6%","2,492","905","36.3%","2,738","361","13.2%","2,254","115","5.1%","2,789","349","12.5%","3,885","1,299","33.4%","1,561","515","33.0%","1,788","638","35.7%","2,383","974","40.9%","2,992","1,282","42.8%","2,096","1,001","47.8%","2,410","1,235","51.2%","3,325","1,342","40.4%","2,856","891","31.2%","1,941","583","30.0%","3,007","1,251","41.6%","3,146","1,088","34.6%","3,198","1,026","32.1%","2,789","944","33.8%","4,823","1,942","40.3%","4,807","1,230","25.6%","2,202","777","35.3%","3,244","1,196","36.9%","3,417","1,090","31.9%","1,957","453","23.1%","4,689","1,268","27.0%","2,419","577","23.9%","2,279","755","33.1%","5,511","1,453","26.4%","3,692","661","17.9%","4,503","602","13.4%","221","195","88.2%","210","147","70.0%"
"        White","279","73","26.2%","1,691","752","44.5%","2,404","1,761","73.3%","931","367","39.4%","1,857","537","28.9%","2,358","233","9.9%","1,816","100","5.5%","1,470","170","11.6%","1,671","317","19.0%","224","68","30.4%","320","152","47.5%","488","84","17.2%","633","279","44.1%","673","367","54.5%","465","221","47.5%","2,285","920","40.3%","980","372","38.0%","303","116","38.3%","118","77","65.3%","232","90","38.8%","444","157","35.4%","176","158","89.8%","408","72","17.6%","324","49","15.1%","96","19","19.8%","285","251","88.1%","609","430","70.6%","130","35","26.9%","2,533","210","8.3%","332","152","45.8%","375","111","29.6%","422","31","7.3%","2,501","301","12.0%","2,400","188","7.8%","81","69","85.2%","41","9","22.0%"
