"Label (Grouping)","Census Tract 103, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 104.03, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 104.03, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 104.03, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 104.04, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 104.04, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 104.04, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 104.05, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 104.05, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 104.05, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 105, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 105, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 105, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 106, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 106, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 106, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 706, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 706, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 706, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 707, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 707, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 707, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 711.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 711.01, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 711.01, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 801, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 801, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 801, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 803, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 803, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 803, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 805, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 805, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 805, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 806.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 806.01, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 806.01, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 808.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 808.01, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 808.01, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 809, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 809, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 809, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 814, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 814, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 814, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 815, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 815, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 815, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 817, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 817, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 817, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 818, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 818, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 818, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 819, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 819, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 819, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 820, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 820, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 820, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 821, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 821, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 821, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 901, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 901, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 901, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 902, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 902, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 902, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 903, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 903, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 903, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 904, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 904, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 904, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 906, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 906, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 906, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 907, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 907, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 907, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 913, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 913, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 913, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 914, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 914, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 914, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 924, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 924, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 924, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 1203.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 1203.01, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 1203.01, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 9803, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 9803, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 9803, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 9811, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 9811, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 9811, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate"
"Population for whom poverty status is determined","444","122","27.5%","2,926","1,356","46.3%","3,095","2,008","64.9%","1,627","826","50.8%","2,781","971","34.9%","2,823","425","15.1%","2,377","65","2.7%","2,987","265","8.9%","3,938","1,307","33.2%","1,644","630","38.3%","2,039","688","33.7%","2,821","1,033","36.6%","3,073","1,217","39.6%","2,094","1,014","48.4%","2,760","1,219","44.2%","3,728","1,412","37.9%","2,919","826","28.3%","2,154","721","33.5%","3,437","1,438","41.8%","3,200","1,204","37.6%","3,142","1,154","36.7%","2,719","982","36.1%","5,013","2,287","45.6%","5,132","1,550","30.2%","2,526","798","31.6%","3,621","1,337","36.9%","3,413","1,081","31.7%","2,099","526","25.1%","4,547","1,221","26.9%","2,560","602","23.5%","2,589","798","30.8%","5,558","1,589","28.6%","4,072","1,005","24.7%","4,955","743","15.0%","233","202","86.7%","270","146","54.1%"
"AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Under 18 years","47","6","12.8%","135","92","68.1%","36","0","0.0%","41","14","34.1%","216","0","0.0%","148","15","10.1%","458","0","0.0%","452","20","4.4%","370","152","41.1%","377","252","66.8%","472","209","44.3%","782","377","48.2%","919","491","53.4%","430","215","50.0%","717","365","50.9%","199","27","13.6%","411","127","30.9%","346","190","54.9%","1,000","553","55.3%","948","621","65.5%","702","424","60.4%","477","287","60.2%","1,659","1,021","61.5%","1,380","620","44.9%","840","298","35.5%","1,125","584","51.9%","1,006","460","45.7%","526","160","30.4%","751","340","45.3%","606","231","38.1%","612","276","45.1%","1,464","456","31.1%","609","132","21.7%","679","172","25.3%","0","0","-","75","52","69.3%"
"        Related children under 18 years","47","6","12.8%","135","92","68.1%","36","0","0.0%","41","14","34.1%","216","0","0.0%","148","15","10.1%","458","0","0.0%","452","20","4.4%","370","152","41.1%","377","252","66.8%","472","209","44.3%","782","377","48.2%","919","491","53.4%","430","215","50.0%","717","365","50.9%","199","27","13.6%","411","127","30.9%","346","190","54.9%","1,000","553","55.3%","948","621","65.5%","702","424","60.4%","461","271","58.8%","1,659","1,021","61.5%","1,360","602","44.3%","830","288","34.7%","1,125","584","51.9%","988","460","46.6%","526","160","30.4%","751","340","45.3%","606","231","38.1%","612","276","45.1%","1,464","456","31.1%","609","132","21.7%","674","167","24.8%","0","0","-","75","52","69.3%"
"    18 to 64 years","377","107","28.4%","2,419","1,013","41.9%","2,955","1,998","67.6%","1,207","645","53.4%","2,221","811","36.5%","1,944","254","13.1%","1,752","65","3.7%","2,299","215","9.4%","3,026","976","32.3%","1,128","366","32.4%","1,400","424","30.3%","1,716","531","30.9%","1,950","643","33.0%","1,478","683","46.2%","1,852","780","42.1%","3,169","1,258","39.7%","2,209","572","25.9%","1,628","491","30.2%","2,018","753","37.3%","1,952","539","27.6%","2,120","669","31.6%","1,894","594","31.4%","2,841","1,054","37.1%","3,303","820","24.8%","1,584","460","29.0%","2,241","727","32.4%","2,085","563","27.0%","1,374","313","22.8%","3,444","814","23.6%","1,732","337","19.5%","1,784","460","25.8%","3,777","1,081","28.6%","3,153","731","23.2%","3,892","507","13.0%","211","184","87.2%","179","90","50.3%"
"    65 years and over","20","9","45.0%","372","251","67.5%","104","10","9.6%","379","167","44.1%","344","160","46.5%","731","156","21.3%","167","0","0.0%","236","30","12.7%","542","179","33.0%","139","12","8.6%","167","55","32.9%","323","125","38.7%","204","83","40.7%","186","116","62.4%","191","74","38.7%","360","127","35.3%","299","127","42.5%","180","40","22.2%","419","132","31.5%","300","44","14.7%","320","61","19.1%","348","101","29.0%","513","212","41.3%","449","110","24.5%","102","40","39.2%","255","26","10.2%","322","58","18.0%","199","53","26.6%","352","67","19.0%","222","34","15.3%","193","62","32.1%","317","52","16.4%","310","142","45.8%","384","64","16.7%","22","18","81.8%","16","4","25.0%"
"SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Male","235","44","18.7%","1,488","593","39.9%","1,818","1,319","72.6%","881","417","47.3%","1,250","383","30.6%","1,194","158","13.2%","1,240","45","3.6%","1,443","89","6.2%","2,191","546","24.9%","847","285","33.6%","914","275","30.1%","1,207","291","24.1%","1,392","546","39.2%","1,071","563","52.6%","1,208","578","47.8%","1,924","610","31.7%","1,587","400","25.2%","1,111","353","31.8%","1,478","518","35.0%","1,190","348","29.2%","1,278","503","39.4%","1,216","384","31.6%","2,308","1,045","45.3%","2,243","582","25.9%","1,138","348","30.6%","1,369","541","39.5%","1,483","505","34.1%","925","231","25.0%","2,640","596","22.6%","1,269","241","19.0%","1,364","381","27.9%","2,683","710","26.5%","1,997","443","22.2%","2,777","393","14.2%","179","152","84.9%","108","62","57.4%"
"    Female","209","78","37.3%","1,438","763","53.1%","1,277","689","54.0%","746","409","54.8%","1,531","588","38.4%","1,629","267","16.4%","1,137","20","1.8%","1,544","176","11.4%","1,747","761","43.6%","797","345","43.3%","1,125","413","36.7%","1,614","742","46.0%","1,681","671","39.9%","1,023","451","44.1%","1,552","641","41.3%","1,804","802","44.5%","1,332","426","32.0%","1,043","368","35.3%","1,959","920","47.0%","2,010","856","42.6%","1,864","651","34.9%","1,503","598","39.8%","2,705","1,242","45.9%","2,889","968","33.5%","1,388","450","32.4%","2,252","796","35.3%","1,930","576","29.8%","1,174","295","25.1%","1,907","625","32.8%","1,291","361","28.0%","1,225","417","34.0%","2,875","879","30.6%","2,075","562","27.1%","2,178","350","16.1%","54","50","92.6%","162","84","51.9%"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    One race","435","118","27.1%","2,811","1,356","48.2%","3,095","2,008","64.9%","1,575","796","50.5%","2,722","964","35.4%","2,823","425","15.1%","2,367","64","2.7%","2,942","265","9.0%","3,885","1,307","33.6%","1,564","630","40.3%","1,971","666","33.8%","2,693","989","36.7%","2,879","1,154","40.1%","2,025","964","47.6%","2,584","1,110","43.0%","3,676","1,412","38.4%","2,866","826","28.8%","2,074","701","33.8%","3,191","1,254","39.3%","3,069","1,204","39.2%","3,092","1,116","36.1%","2,690","982","36.5%","4,871","2,180","44.8%","4,988","1,461","29.3%","2,423","781","32.2%","3,527","1,295","36.7%","3,210","1,068","33.3%","1,979","526","26.6%","4,490","1,206","26.9%","2,456","571","23.2%","2,512","789","31.4%","5,513","1,589","28.8%","3,906","993","25.4%","4,814","723","15.0%","218","187","85.8%","258","146","56.6%"
"        White","254","82","32.3%","1,905","890","46.7%","2,332","1,623","69.6%","978","399","40.8%","1,881","633","33.7%","2,370","264","11.1%","1,980","60","3.0%","1,592","171","10.7%","2,031","499","24.6%","262","101","38.5%","274","151","55.1%","536","100","18.7%","587","220","37.5%","620","305","49.2%","440","210","47.7%","2,766","1,091","39.4%","1,018","382","37.5%","318","83","26.1%","181","104","57.5%","174","58","33.3%","310","112","36.1%","243","154","63.4%","407","89","21.9%","377","89","23.6%","136","44","32.4%","180","134","74.4%","596","405","68.0%","159","39","24.5%","2,478","266","10.7%","375","150","40.0%","389","82","21.1%","286","58","20.3%","2,645","430","16.3%","2,483","194","7.8%","61","43","70.5%","39","8","20.5%"
