"Label (Grouping)","Census Tract 103, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 104.03, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 104.03, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 104.03, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 104.04, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 104.04, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 104.04, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 104.05, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 104.05, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 104.05, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 105, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 105, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 105, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 106, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 106, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 106, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 706, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 706, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 706, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 707, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 707, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 707, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 711.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 711.01, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 711.01, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 801, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 801, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 801, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 803, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 803, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 803, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 805, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 805, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 805, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 806.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 806.01, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 806.01, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 808.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 808.01, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 808.01, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 809, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 809, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 809, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 814, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 814, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 814, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 815, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 815, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 815, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 817, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 817, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 817, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 818, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 818, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 818, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 819, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 819, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 819, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 820, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 820, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 820, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 821, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 821, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 821, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 901, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 901, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 901, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 902, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 902, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 902, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 903, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 903, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 903, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 904, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 904, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 904, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 906, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 906, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 906, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 907, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 907, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 907, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 913, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 913, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 913, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 914, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 914, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 914, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 924, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 924, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 924, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 1203.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 1203.01, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 1203.01, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 9803, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 9803, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 9803, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 9811, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 9811, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 9811, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate"
"Population for whom poverty status is determined","448","109","24.3%","2,875","1,173","40.8%","2,656","1,554","58.5%","1,639","704","43.0%","2,838","851","30.0%","3,033","400","13.2%","2,324","65","2.8%","2,966","275","9.3%","3,984","1,455","36.5%","1,700","525","30.9%","2,058","558","27.1%","2,975","994","33.4%","3,286","1,430","43.5%","2,144","1,090","50.8%","2,707","1,139","42.1%","3,806","1,692","44.5%","2,861","848","29.6%","2,150","641","29.8%","3,337","1,315","39.4%","3,590","1,126","31.4%","3,515","1,530","43.5%","2,725","930","34.1%","5,230","2,378","45.5%","4,812","1,567","32.6%","2,383","814","34.2%","3,607","1,370","38.0%","3,965","1,184","29.9%","2,337","542","23.2%","4,613","1,240","26.9%","2,577","664","25.8%","2,702","776","28.7%","5,701","1,277","22.4%","3,679","736","20.0%","5,070","700","13.8%","224","185","82.6%","389","147","37.8%"
"AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Under 18 years","45","5","11.1%","72","21","29.2%","65","19","29.2%","60","11","18.3%","209","0","0.0%","166","12","7.2%","421","0","0.0%","383","21","5.5%","335","150","44.8%","401","220","54.9%","496","227","45.8%","862","418","48.5%","927","610","65.8%","524","320","61.1%","607","357","58.8%","193","28","14.5%","401","143","35.7%","427","179","41.9%","817","393","48.1%","1,035","526","50.8%","1,051","680","64.7%","503","274","54.5%","1,603","1,053","65.7%","1,233","600","48.7%","672","258","38.4%","1,272","652","51.3%","1,115","503","45.1%","617","180","29.2%","705","291","41.3%","623","284","45.6%","590","240","40.7%","1,549","346","22.3%","556","80","14.4%","745","143","19.2%","0","0","-","91","53","58.2%"
"        Under 5 years","5","0","0.0%","18","0","0.0%","43","10","23.3%","27","8","29.6%","160","0","0.0%","55","0","0.0%","132","0","0.0%","197","0","0.0%","184","42","22.8%","177","124","70.1%","200","149","74.5%","300","157","52.3%","359","266","74.1%","199","164","82.4%","110","68","61.8%","49","28","57.1%","122","64","52.5%","82","19","23.2%","197","80","40.6%","370","211","57.0%","202","177","87.6%","82","46","56.1%","500","361","72.2%","293","151","51.5%","181","40","22.1%","265","98","37.0%","461","213","46.2%","145","47","32.4%","332","153","46.1%","189","76","40.2%","127","88","69.3%","489","109","22.3%","327","62","19.0%","286","56","19.6%","0","0","-","32","23","71.9%"
"        5 to 17 years","40","5","12.5%","54","21","38.9%","22","9","40.9%","33","3","9.1%","49","0","0.0%","111","12","10.8%","289","0","0.0%","186","21","11.3%","151","108","71.5%","224","96","42.9%","296","78","26.4%","562","261","46.4%","568","344","60.6%","325","156","48.0%","497","289","58.1%","144","0","0.0%","279","79","28.3%","345","160","46.4%","620","313","50.5%","665","315","47.4%","849","503","59.2%","421","228","54.2%","1,103","692","62.7%","940","449","47.8%","491","218","44.4%","1,007","554","55.0%","654","290","44.3%","472","133","28.2%","373","138","37.0%","434","208","47.9%","463","152","32.8%","1,060","237","22.4%","229","18","7.9%","459","87","19.0%","0","0","-","59","30","50.8%"
"        Related children of householder under 18 years","45","5","11.1%","72","21","29.2%","65","19","29.2%","60","11","18.3%","209","0","0.0%","166","12","7.2%","421","0","0.0%","383","21","5.5%","335","150","44.8%","401","220","54.9%","496","227","45.8%","862","418","48.5%","927","610","65.8%","524","320","61.1%","607","357","58.8%","193","28","14.5%","401","143","35.7%","427","179","41.9%","817","393","48.1%","1,035","526","50.8%","1,051","680","64.7%","493","264","53.5%","1,603","1,053","65.7%","1,205","576","47.8%","668","254","38.0%","1,272","652","51.3%","1,099","503","45.8%","617","180","29.2%","700","286","40.9%","623","284","45.6%","590","240","40.7%","1,536","333","21.7%","556","80","14.4%","736","134","18.2%","0","0","-","91","53","58.2%"
"    18 to 64 years","363","93","25.6%","2,516","930","37.0%","2,453","1,525","62.2%","1,203","492","40.9%","2,291","730","31.9%","2,137","245","11.5%","1,736","65","3.7%","2,356","217","9.2%","3,126","1,090","34.9%","1,188","298","25.1%","1,426","299","21.0%","1,761","436","24.8%","2,182","770","35.3%","1,426","652","45.7%","1,946","696","35.8%","3,271","1,515","46.3%","2,207","634","28.7%","1,522","418","27.5%","2,062","760","36.9%","2,123","523","24.6%","2,131","758","35.6%","1,747","522","29.9%","3,090","1,068","34.6%","3,127","874","28.0%","1,531","477","31.2%","2,072","688","33.2%","2,551","599","23.5%","1,540","298","19.4%","3,540","807","22.8%","1,708","361","21.1%","1,851","446","24.1%","3,700","893","24.1%","2,790","532","19.1%","3,924","479","12.2%","196","162","82.7%","271","90","33.2%"
"        18 to 34 years","207","62","30.0%","1,576","687","43.6%","2,179","1,463","67.1%","789","339","43.0%","1,817","662","36.4%","967","103","10.7%","749","39","5.2%","1,194","121","10.1%","1,628","711","43.7%","474","109","23.0%","621","173","27.9%","791","248","31.4%","1,138","440","38.7%","752","446","59.3%","1,044","326","31.2%","2,631","1,483","56.4%","1,209","443","36.6%","796","237","29.8%","709","318","44.9%","813","213","26.2%","906","264","29.1%","678","218","32.2%","1,528","700","45.8%","1,366","397","29.1%","651","184","28.3%","846","283","33.5%","1,256","297","23.6%","682","159","23.3%","1,644","352","21.4%","773","226","29.2%","715","182","25.5%","1,559","471","30.2%","1,594","333","20.9%","1,806","234","13.0%","75","70","93.3%","103","61","59.2%"
"        35 to 64 years","156","31","19.9%","940","243","25.9%","274","62","22.6%","414","153","37.0%","474","68","14.3%","1,170","142","12.1%","987","26","2.6%","1,162","96","8.3%","1,498","379","25.3%","714","189","26.5%","805","126","15.7%","970","188","19.4%","1,044","330","31.6%","674","206","30.6%","902","370","41.0%","640","32","5.0%","998","191","19.1%","726","181","24.9%","1,353","442","32.7%","1,310","310","23.7%","1,225","494","40.3%","1,069","304","28.4%","1,562","368","23.6%","1,761","477","27.1%","880","293","33.3%","1,226","405","33.0%","1,295","302","23.3%","858","139","16.2%","1,896","455","24.0%","935","135","14.4%","1,136","264","23.2%","2,141","422","19.7%","1,196","199","16.6%","2,118","245","11.6%","121","92","76.0%","168","29","17.3%"
"    60 years and over","56","16","28.6%","421","251","59.6%","222","21","9.5%","465","227","48.8%","435","188","43.2%","1,048","198","18.9%","282","12","4.3%","479","78","16.3%","695","314","45.2%","223","25","11.2%","185","42","22.7%","496","160","32.3%","386","117","30.3%","312","160","51.3%","289","118","40.8%","510","149","29.2%","441","101","22.9%","275","54","19.6%","673","207","30.8%","521","116","22.3%","514","121","23.5%","648","135","20.8%","717","257","35.8%","712","166","23.3%","293","142","48.5%","404","73","18.1%","453","132","29.1%","303","103","34.0%","646","247","38.2%","374","24","6.4%","428","109","25.5%","810","106","13.1%","522","163","31.2%","652","98","15.0%","65","47","72.3%","43","4","9.3%"
"    65 years and over","40","11","27.5%","287","222","77.4%","138","10","7.2%","376","201","53.5%","338","121","35.8%","730","143","19.6%","167","0","0.0%","227","37","16.3%","523","215","41.1%","111","7","6.3%","136","32","23.5%","352","140","39.8%","177","50","28.2%","194","118","60.8%","154","86","55.8%","342","149","43.6%","253","71","28.1%","201","44","21.9%","458","162","35.4%","432","77","17.8%","333","92","27.6%","475","134","28.2%","537","257","47.9%","452","93","20.6%","180","79","43.9%","263","30","11.4%","299","82","27.4%","180","64","35.6%","368","142","38.6%","246","19","7.7%","261","90","34.5%","452","38","8.4%","333","124","37.2%","401","78","19.5%","28","23","82.1%","27","4","14.8%"
"SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
