"Label (Grouping)","Boston city, Suffolk County, Massachusetts!!Total!!Estimate","Boston city, Suffolk County, Massachusetts!!Total!!Margin of Error","Boston city, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Boston city, Suffolk County, Massachusetts!!Below poverty level!!Margin of Error","Boston city, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Boston city, Suffolk County, Massachusetts!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","608,933","±3,389","103,901","±7,261","17.1%","±1.2"
"    AGE","","","","","",""
"        Under 18 years","98,857","±2,773","20,751","±3,223","21.0%","±3.2"
"            Under 5 years","31,005","±1,391","4,022","±1,294","13.0%","±4.2"
"            5 to 17 years","67,852","±2,553","16,729","±2,692","24.7%","±3.9"
"            Related children of householder under 18 years","98,816","±2,781","20,710","±3,227","21.0%","±3.2"
"        18 to 64 years","428,572","±3,571","66,144","±4,765","15.4%","±1.1"
"            18 to 34 years","206,986","±2,709","36,387","±2,955","17.6%","±1.4"
"            35 to 64 years","221,586","±2,747","29,757","±2,820","13.4%","±1.3"
"        60 years and over","113,820","±3,353","22,707","±2,625","19.9%","±2.2"
"        65 years and over","81,504","±2,145","17,006","±2,326","20.9%","±2.8"
"    SEX","","","","","",""
"        Male","297,211","±3,388","47,742","±4,058","16.1%","±1.4"
"        Female","311,722","±3,834","56,159","±4,813","18.0%","±1.5"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","",""
"        White alone","271,703","±6,060","34,749","±3,664","12.8%","±1.3"
"        Black or African American alone","133,658","±6,960","29,391","±4,212","22.0%","±3.0"
"        American Indian and Alaska Native alone","N","N","N","N","N","N"
"        Asian alone","55,452","±2,792","9,174","±1,686","16.5%","±2.8"
"        Native Hawaiian and Other Pacific Islander alone","N","N","N","N","N","N"
"        Some other race alone","48,162","±6,255","10,082","±2,594","20.9%","±5.1"
"        Two or more races","96,173","±8,245","19,949","±4,365","20.7%","±4.4"
"        Hispanic or Latino origin (of any race)","125,233","±5,109","31,824","±5,275","25.4%","±4.0"
"        White alone, not Hispanic or Latino","261,927","±5,926","31,176","±3,508","11.9%","±1.3"
"    EDUCATIONAL ATTAINMENT","","","","","",""
"        Population 25 years and over","448,368","±4,395","60,139","±4,794","13.4%","±1.1"
"            Less than high school graduate","48,553","±4,340","18,059","±2,280","37.2%","±4.4"
"            High school graduate (includes equivalency)","83,424","±5,962","15,732","±2,796","18.9%","±2.9"
"            Some college, associate's degree","72,011","±5,039","12,717","±2,311","17.7%","±2.7"
"            Bachelor's degree or higher","244,380","±7,497","13,631","±1,940","5.6%","±0.8"
"    EMPLOYMENT STATUS","","","","","",""
"        Civilian labor force 16 years and over","375,336","±6,312","31,153","±3,500","8.3%","±0.9"
"            Employed","357,603","±6,485","23,039","±2,838","6.4%","±0.8"
"                Male","174,279","±4,835","9,796","±1,688","5.6%","±1.0"
"                Female","183,324","±4,075","13,243","±2,149","7.2%","±1.1"
"            Unemployed","17,733","±3,081","8,114","±2,560","45.8%","±9.7"
"                Male","9,806","±1,978","3,000","±1,266","30.6%","±10.8"
"                Female","7,927","±2,004","5,114","±1,813","64.5%","±11.1"
"    WORK EXPERIENCE","","","","","",""
"        Population 16 years and over","519,568","±3,779","85,747","±5,488","16.5%","±1.1"
"            Worked full-time, year-round in the past 12 months","262,882","±7,600","2,929","±1,141","1.1%","±0.4"
"            Worked part-time or part-year in the past 12 months","121,053","±6,126","28,592","±3,111","23.6%","±2.1"
"            Did not work","135,633","±4,911","54,226","±4,305","40.0%","±2.6"
"    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","",""
"        50 percent of poverty level","61,130","±6,960","(X)","(X)","(X)","(X)"
"        125 percent of poverty level","128,269","±7,881","(X)","(X)","(X)","(X)"
"        150 percent of poverty level","153,394","±9,602","(X)","(X)","(X)","(X)"
"        185 percent of poverty level","175,863","±10,705","(X)","(X)","(X)","(X)"
"        200 percent of poverty level","188,322","±11,399","(X)","(X)","(X)","(X)"
"        300 percent of poverty level","255,368","±11,420","(X)","(X)","(X)","(X)"
"        400 percent of poverty level","313,192","±12,314","(X)","(X)","(X)","(X)"
"        500 percent of poverty level","364,808","±10,690","(X)","(X)","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","227,680","±7,665","56,333","±4,109","24.7%","±1.7"
"    Male","113,591","±5,555","26,673","±2,689","23.5%","±2.2"
