"Label (Grouping)","Boston city, Suffolk County, Massachusetts!!Total!!Estimate","Boston city, Suffolk County, Massachusetts!!Total!!Margin of Error","Boston city, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Boston city, Suffolk County, Massachusetts!!Below poverty level!!Margin of Error","Boston city, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Boston city, Suffolk County, Massachusetts!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","602,704","±4,124","130,115","±8,168","21.6%","±1.3"
"AGE","","","","","",""
"    Under 18 years","105,241","±2,553","31,636","±4,049","30.1%","±3.7"
"        Related children under 18 years","104,877","±2,588","31,272","±4,001","29.8%","±3.7"
"    18 to 64 years","432,336","±3,386","86,576","±5,543","20.0%","±1.2"
"    65 years and over","65,127","±1,930","11,903","±1,440","18.3%","±2.2"
"SEX","","","","","",""
"    Male","288,749","±3,385","57,146","±4,340","19.8%","±1.5"
"    Female","313,955","±3,506","72,969","±5,432","23.2%","±1.7"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","",""
"    One race","N","N","N","N","N","N"
"        White","312,195","±7,195","50,180","±4,583","16.1%","±1.4"
"        Black or African American","152,325","±5,345","37,145","±4,867","24.4%","±3.1"
"        American Indian and Alaska Native","N","N","N","N","N","N"
"        Asian","50,541","±2,658","16,006","±2,186","31.7%","±4.0"
"        Native Hawaiian and Other Pacific Islander","N","N","N","N","N","N"
"        Some other race","56,812","±4,924","18,185","±3,842","32.0%","±6.0"
"    Two or more races","27,715","±3,969","7,819","±1,970","28.2%","±6.5"
"Hispanic or Latino origin (of any race)","118,029","±4,838","37,907","±4,766","32.1%","±3.8"
"White alone, not Hispanic or Latino","269,173","±5,217","36,982","±3,424","13.7%","±1.3"
"EDUCATIONAL ATTAINMENT","","","","","",""
"    Population 25 years and over","425,303","±3,257","69,733","±4,813","16.4%","±1.1"
"        Less than high school graduate","61,251","±3,996","19,455","±2,874","31.8%","±4.2"
"        High school graduate (includes equivalency)","93,636","±4,868","20,653","±2,624","22.1%","±2.3"
"        Some college, associate's degree","77,409","±4,606","13,972","±1,871","18.0%","±2.3"
"        Bachelor's degree or higher","193,007","±5,625","15,653","±2,051","8.1%","±1.0"
"EMPLOYMENT STATUS","","","","","",""
"    Civilian labor force 16 years and over","361,152","±5,156","44,994","±4,187","12.5%","±1.2"
"        Employed","332,298","±5,783","32,911","±3,649","9.9%","±1.1"
"            Male","165,964","±4,130","14,476","±2,300","8.7%","±1.4"
"            Female","166,334","±3,910","18,435","±2,624","11.1%","±1.5"
"        Unemployed","28,854","±3,021","12,083","±2,120","41.9%","±5.6"
"            Male","15,086","±2,175","5,115","±1,274","33.9%","±6.6"
"            Female","13,768","±2,084","6,968","±1,488","50.6%","±7.0"
"WORK EXPERIENCE","","","","","",""
"    Population 16 years and over","507,293","±3,240","101,187","±5,879","19.9%","±1.1"
"        Worked full-time, year-round in the past 12 months","225,670","±5,704","4,245","±1,703","1.9%","±0.7"
"        Worked part-time or part-year in the past 12 months","139,462","±6,221","38,932","±4,031","27.9%","±2.6"
"        Did not work","142,161","±5,493","58,010","±4,665","40.8%","±2.7"
"All Individuals below:","","","","","",""
"    50 percent of poverty level","69,496","±6,443","(X)","(X)","(X)","(X)"
"    125 percent of poverty level","161,630","±9,556","(X)","(X)","(X)","(X)"
"    150 percent of poverty level","184,767","±8,522","(X)","(X)","(X)","(X)"
"    185 percent of poverty level","214,543","±9,940","(X)","(X)","(X)","(X)"
"    200 percent of poverty level","226,194","±9,519","(X)","(X)","(X)","(X)"
"Unrelated individuals for whom poverty status is determined","220,434","±7,092","62,087","±3,946","28.2%","±1.5"
"    Male","114,530","±4,741","30,023","±2,852","26.2%","±2.2"
"    Female","105,904","±4,486","32,064","±2,756","30.3%","±2.3"
"Mean income deficit for unrelated individuals (dollars)","7,531","±281","(X)","(X)","(X)","(X)"
"Worked full-time, year-round in the past 12 months","108,328","±5,009","1,307","±1,117","1.2%","±1.0"
"Worked less than full-time, year-round in the past 12 months","54,387","±3,898","21,836","±2,673","40.1%","±3.9"
"Did not work","57,719","±3,929","38,944","±3,540","67.5%","±3.1"
"PERCENT IMPUTED","","","","","",""
"    Poverty status for individuals","34.3%","(X)","(X)","(X)","(X)","(X)"
