"Label (Grouping)","Boston city, Suffolk County, Massachusetts!!Total!!Estimate","Boston city, Suffolk County, Massachusetts!!Total!!Margin of Error","Boston city, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Boston city, Suffolk County, Massachusetts!!Below poverty level!!Margin of Error","Boston city, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Boston city, Suffolk County, Massachusetts!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","628,333","±4,585","131,871","±8,850","21.0%","±1.4"
"AGE","","","","","",""
"    Under 18 years","106,675","±2,703","32,615","±4,086","30.6%","±3.6"
"        Under 5 years","33,921","±1,384","9,864","±1,690","29.1%","±4.9"
"        5 to 17 years","72,754","±2,360","22,751","±3,196","31.3%","±4.1"
"        Related children of householder under 18 years","106,232","±2,746","32,284","±4,064","30.4%","±3.6"
"    18 to 64 years","450,139","±5,076","83,447","±5,500","18.5%","±1.2"
"        18 to 34 years","226,021","±4,384","48,406","±4,044","21.4%","±1.7"
"        35 to 64 years","224,118","±2,890","35,041","±3,042","15.6%","±1.4"
"    60 years and over","102,668","±3,107","21,695","±2,332","21.1%","±2.3"
"    65 years and over","71,519","±2,096","15,809","±1,809","22.1%","±2.5"
"SEX","","","","","",""
"    Male","301,786","±3,756","54,931","±4,803","18.2%","±1.6"
"    Female","326,547","±3,056","76,940","±5,325","23.6%","±1.6"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","",""
"    White alone","328,223","±5,674","46,913","±4,790","14.3%","±1.4"
"    Black or African American alone","168,801","±5,511","44,587","±6,965","26.4%","±3.8"
"    American Indian and Alaska Native alone","N","N","N","N","N","N"
"    Asian alone","59,454","±2,470","19,187","±3,193","32.3%","±4.8"
"    Native Hawaiian and Other Pacific Islander alone","N","N","N","N","N","N"
"    Some other race alone","33,125","±4,954","10,809","±2,877","32.6%","±7.1"
"    Two or more races","36,241","±6,017","9,878","±3,165","27.3%","±6.6"
"Hispanic or Latino origin (of any race)","123,133","±4,518","40,669","±5,227","33.0%","±4.2"
"White alone, not Hispanic or Latino","278,807","±4,173","32,853","±3,495","11.8%","±1.2"
"EDUCATIONAL ATTAINMENT","","","","","",""
"    Population 25 years and over","456,969","±3,655","75,425","±5,465","16.5%","±1.2"
"        Less than high school graduate","62,987","±4,656","20,988","±2,227","33.3%","±3.1"
"        High school graduate (includes equivalency)","93,085","±6,101","22,389","±3,104","24.1%","±3.0"
"        Some college, associate's degree","79,370","±4,832","13,905","±2,331","17.5%","±3.0"
"        Bachelor's degree or higher","221,527","±5,322","18,143","±2,649","8.2%","±1.2"
"EMPLOYMENT STATUS","","","","","",""
"    Civilian labor force 16 years and over","379,657","±5,514","40,120","±3,855","10.6%","±1.0"
"        Employed","354,939","±5,657","30,044","±2,937","8.5%","±0.9"
"            Male","177,019","±4,219","10,805","±2,044","6.1%","±1.2"
"            Female","177,920","±4,198","19,239","±1,965","10.8%","±1.1"
"        Unemployed","24,718","±3,138","10,076","±2,069","40.8%","±5.7"
"            Male","12,913","±2,266","5,091","±1,289","39.4%","±8.1"
"            Female","11,805","±2,004","4,985","±1,486","42.2%","±8.2"
"WORK EXPERIENCE","","","","","",""
"    Population 16 years and over","532,942","±4,990","102,295","±6,428","19.2%","±1.2"
"        Worked full-time, year-round in the past 12 months","251,089","±6,197","6,167","±1,693","2.5%","±0.7"
"        Worked part-time or part-year in the past 12 months","139,475","±5,375","34,845","±2,892","25.0%","±1.9"
"        Did not work","142,378","±5,119","61,283","±4,598","43.0%","±2.5"
"ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","",""
"    50 percent of poverty level","65,882","±6,344","(X)","(X)","(X)","(X)"
"    125 percent of poverty level","159,868","±8,644","(X)","(X)","(X)","(X)"
"    150 percent of poverty level","183,744","±10,139","(X)","(X)","(X)","(X)"
"    185 percent of poverty level","212,717","±10,038","(X)","(X)","(X)","(X)"
"    200 percent of poverty level","225,435","±9,767","(X)","(X)","(X)","(X)"
"    300 percent of poverty level","305,644","±9,508","(X)","(X)","(X)","(X)"
"    400 percent of poverty level","363,656","±10,333","(X)","(X)","(X)","(X)"
"    500 percent of poverty level","421,791","±10,670","(X)","(X)","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","236,323","±7,810","64,069","±4,081","27.1%","±1.7"
"    Male","118,179","±5,068","26,485","±2,526","22.4%","±2.0"
"    Female","118,144","±5,167","37,584","±3,172","31.8%","±2.4"
"15 years","67","±107","67","±107","100.0%","±82.9"
"16 to 17 years","264","±256","264","±256","100.0%","±41.7"
"18 to 24 years","33,662","±2,691","17,993","±2,322","53.5%","±4.3"
"25 to 34 years","92,147","±4,456","15,872","±2,596","17.2%","±2.5"
"35 to 44 years","29,887","±3,396","4,147","±1,094","13.9%","±3.6"
"45 to 54 years","22,723","±2,317","6,178","±1,261","27.2%","±4.8"
"55 to 64 years","23,735","±2,110","7,835","±1,355","33.0%","±5.0"
"65 to 74 years","18,241","±1,649","6,259","±1,310","34.3%","±5.8"
"75 years and over","15,597","±1,636","5,454","±1,206","35.0%","±6.6"
"Mean income deficit for unrelated individuals (dollars)","7,467","±305","(X)","(X)","(X)","(X)"
"Worked full-time, year-round in the past 12 months","119,799","±6,461","3,514","±1,278","2.9%","±1.0"
"Worked less than full-time, year-round in the past 12 months","54,200","±4,250","20,243","±2,221","37.3%","±3.2"
"Did not work","62,324","±3,532","40,312","±2,935","64.7%","±2.9"
