"Label (Grouping)","Boston city, Suffolk County, Massachusetts!!Total!!Estimate","Boston city, Suffolk County, Massachusetts!!Total!!Margin of Error","Boston city, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Boston city, Suffolk County, Massachusetts!!Below poverty level!!Margin of Error","Boston city, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Boston city, Suffolk County, Massachusetts!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","612,873","±4,464","138,625","±8,391","22.6%","±1.3"
"AGE","","","","","",""
"    Under 18 years","107,556","±2,412","35,635","±4,268","33.1%","±3.7"
"        Related children under 18 years","107,187","±2,446","35,373","±4,262","33.0%","±3.7"
"    18 to 64 years","440,197","±4,299","90,228","±5,726","20.5%","±1.3"
"    65 years and over","65,120","±2,021","12,762","±1,606","19.6%","±2.5"
"SEX","","","","","",""
"    Male","298,064","±2,987","61,472","±4,083","20.6%","±1.4"
"    Female","314,809","±3,624","77,153","±5,968","24.5%","±1.8"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","",""
"    One race","N","N","N","N","N","N"
"        White","318,067","±6,590","49,872","±5,646","15.7%","±1.7"
"        Black or African American","156,791","±5,418","42,593","±4,504","27.2%","±2.7"
"        American Indian and Alaska Native","N","N","N","N","N","N"
"        Asian","57,728","±1,948","18,246","±2,934","31.6%","±5.0"
"        Native Hawaiian and Other Pacific Islander","N","N","N","N","N","N"
"        Some other race","48,388","±5,836","18,622","±3,776","38.5%","±5.8"
"    Two or more races","29,540","±4,858","8,627","±3,243","29.2%","±8.5"
"Hispanic or Latino origin (of any race)","117,898","±4,136","40,257","±4,575","34.1%","±3.9"
"White alone, not Hispanic or Latino","272,126","±5,067","37,324","±4,000","13.7%","±1.5"
"EDUCATIONAL ATTAINMENT","","","","","",""
"    Population 25 years and over","436,665","±4,078","76,055","±4,646","17.4%","±1.1"
"        Less than high school graduate","66,429","±4,422","22,772","±2,845","34.3%","±3.6"
"        High school graduate (includes equivalency)","88,676","±4,899","20,177","±2,439","22.8%","±2.6"
"        Some college, associate's degree","77,865","±3,770","16,161","±2,260","20.8%","±2.7"
"        Bachelor's degree or higher","203,695","±5,584","16,945","±2,169","8.3%","±1.0"
"EMPLOYMENT STATUS","","","","","",""
"    Civilian labor force 16 years and over","358,783","±5,674","42,602","±3,587","11.9%","±1.0"
"        Employed","330,152","±5,909","31,656","±3,013","9.6%","±0.9"
"            Male","165,366","±3,857","12,274","±1,994","7.4%","±1.2"
"            Female","164,786","±4,327","19,382","±2,189","11.8%","±1.4"
"        Unemployed","28,631","±2,834","10,946","±1,935","38.2%","±5.7"
"            Male","15,340","±2,027","5,414","±1,287","35.3%","±7.0"
"            Female","13,291","±1,971","5,532","±1,366","41.6%","±7.9"
"WORK EXPERIENCE","","","","","",""
"    Population 16 years and over","515,855","±4,975","106,206","±6,001","20.6%","±1.1"
"        Worked full-time, year-round in the past 12 months","232,921","±5,952","4,830","±958","2.1%","±0.4"
"        Worked part-time or part-year in the past 12 months","131,909","±4,905","37,632","±3,507","28.5%","±2.4"
"        Did not work","151,025","±5,344","63,744","±4,819","42.2%","±2.4"
"All Individuals below:","","","","","",""
"    50 percent of poverty level","74,083","±7,353","(X)","(X)","(X)","(X)"
"    125 percent of poverty level","169,514","±8,057","(X)","(X)","(X)","(X)"
"    150 percent of poverty level","199,210","±7,700","(X)","(X)","(X)","(X)"
"    185 percent of poverty level","231,581","±8,296","(X)","(X)","(X)","(X)"
"    200 percent of poverty level","244,250","±8,613","(X)","(X)","(X)","(X)"
"Unrelated individuals for whom poverty status is determined","221,992","±8,411","65,511","±4,340","29.5%","±1.6"
"    Male","113,738","±4,925","31,005","±2,894","27.3%","±2.1"
"    Female","108,254","±5,264","34,506","±2,938","31.9%","±2.4"
"Mean income deficit for unrelated individuals (dollars)","7,415","±356","(X)","(X)","(X)","(X)"
"Worked full-time, year-round in the past 12 months","107,880","±5,655","2,121","±717","2.0%","±0.7"
"Worked less than full-time, year-round in the past 12 months","52,295","±3,874","23,336","±2,520","44.6%","±3.7"
"Did not work","61,817","±4,499","40,054","±3,476","64.8%","±2.6"
"PERCENT IMPUTED","","","","","",""
"    Poverty status for individuals","32.6%","(X)","(X)","(X)","(X)","(X)"
