"Label (Grouping)","Boston city, Suffolk County, Massachusetts!!Total!!Estimate","Boston city, Suffolk County, Massachusetts!!Total!!Margin of Error","Boston city, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Boston city, Suffolk County, Massachusetts!!Below poverty level!!Margin of Error","Boston city, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Boston city, Suffolk County, Massachusetts!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","608,599","±5,085","95,207","±8,325","15.6%","±1.3"
"    AGE","","","","","",""
"        Under 18 years","90,550","±3,886","18,463","±4,326","20.4%","±4.6"
"            Under 5 years","27,915","±1,860","4,202","±1,771","15.1%","±6.2"
"            5 to 17 years","62,635","±3,370","14,261","±3,396","22.8%","±5.2"
"            Related children of householder under 18 years","90,430","±3,880","18,343","±4,324","20.3%","±4.6"
"        18 to 64 years","432,246","±4,049","60,066","±4,623","13.9%","±1.1"
"            18 to 34 years","208,393","±2,900","32,001","±3,022","15.4%","±1.4"
"            35 to 64 years","223,853","±3,800","28,065","±3,258","12.5%","±1.4"
"        60 years and over","120,204","±3,882","21,631","±3,292","18.0%","±2.7"
"        65 years and over","85,803","±2,136","16,678","±2,726","19.4%","±3.1"
"    SEX","","","","","",""
"        Male","296,226","±3,819","41,890","±4,963","14.1%","±1.7"
"        Female","312,373","±4,087","53,317","±4,914","17.1%","±1.5"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","",""
"        White alone","275,371","±6,585","25,540","±3,762","9.3%","±1.3"
"        Black or African American alone","128,116","±5,714","25,419","±4,632","19.8%","±3.5"
"        American Indian and Alaska Native alone","N","N","N","N","N","N"
"        Asian alone","60,469","±2,735","15,901","±3,042","26.3%","±4.9"
"        Native Hawaiian and Other Pacific Islander alone","N","N","N","N","N","N"
"        Some other race alone","53,881","±6,771","11,891","±3,067","22.1%","±4.8"
"        Two or more races","89,055","±7,737","16,187","±3,278","18.2%","±3.5"
"        Hispanic or Latino origin (of any race)","122,190","±5,107","28,517","±4,574","23.3%","±3.5"
"        White alone, not Hispanic or Latino","264,484","±5,711","21,799","±3,280","8.2%","±1.2"
"    EDUCATIONAL ATTAINMENT","","","","","",""
"        Population 25 years and over","457,411","±3,886","59,156","±5,006","12.9%","±1.1"
"            Less than high school graduate","48,998","±5,000","15,466","±2,644","31.6%","±4.9"
"            High school graduate (includes equivalency)","77,754","±5,503","14,951","±2,444","19.2%","±3.2"
"            Some college, associate's degree","74,709","±5,494","11,893","±2,197","15.9%","±2.8"
"            Bachelor's degree or higher","255,950","±6,486","16,846","±2,531","6.6%","±0.9"
"    EMPLOYMENT STATUS","","","","","",""
"        Civilian labor force 16 years and over","389,438","±6,729","34,290","±3,895","8.8%","±1.0"
"            Employed","373,385","±6,631","28,399","±3,776","7.6%","±1.0"
"                Male","183,633","±4,104","11,005","±2,234","6.0%","±1.2"
"                Female","189,752","±4,512","17,394","±2,734","9.2%","±1.4"
"            Unemployed","16,053","±1,998","5,891","±1,463","36.7%","±7.7"
"                Male","8,159","±1,723","2,778","±1,004","34.0%","±9.7"
"                Female","7,894","±1,502","3,113","±1,157","39.4%","±11.5"
"    WORK EXPERIENCE","","","","","",""
"        Population 16 years and over","526,701","±4,609","77,927","±5,900","14.8%","±1.1"
"            Worked full-time, year-round in the past 12 months","266,812","±6,447","3,801","±1,190","1.4%","±0.4"
"            Worked part-time or part-year in the past 12 months","133,820","±6,280","31,736","±3,890","23.7%","±2.5"
"            Did not work","126,069","±5,237","42,390","±4,228","33.6%","±2.8"
"    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","",""
"        50 percent of poverty level","47,692","±6,308","(X)","(X)","(X)","(X)"
