"Label (Grouping)","Boston city, Suffolk County, Massachusetts!!Total!!Estimate","Boston city, Suffolk County, Massachusetts!!Total!!Margin of Error","Boston city, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Boston city, Suffolk County, Massachusetts!!Below poverty level!!Margin of Error","Boston city, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Boston city, Suffolk County, Massachusetts!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","626,152","±4,344","128,385","±8,143","20.5%","±1.3"
"AGE","","","","","",""
"    Under 18 years","110,813","±2,498","32,771","±3,529","29.6%","±3.0"
"        Under 5 years","37,416","±1,571","8,796","±2,062","23.5%","±5.2"
"        5 to 17 years","73,397","±2,026","23,975","±2,734","32.7%","±3.5"
"        Related children of householder under 18 years","109,734","±2,543","31,692","±3,495","28.9%","±3.0"
"    18 to 64 years","447,079","±4,887","81,605","±6,019","18.3%","±1.3"
"        18 to 34 years","223,050","±4,358","45,707","±3,800","20.5%","±1.5"
"        35 to 64 years","224,029","±3,160","35,898","±3,398","16.0%","±1.6"
"    60 years and over","99,353","±3,517","19,234","±2,299","19.4%","±2.3"
"    65 years and over","68,260","±2,067","14,009","±1,847","20.5%","±2.7"
"SEX","","","","","",""
"    Male","302,381","±3,475","54,642","±4,563","18.1%","±1.5"
"    Female","323,771","±3,524","73,743","±5,022","22.8%","±1.6"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","",""
"    White alone","322,522","±6,098","50,827","±5,787","15.8%","±1.7"
"    Black or African American alone","166,281","±5,856","37,912","±5,399","22.8%","±3.1"
"    American Indian and Alaska Native alone","N","N","N","N","N","N"
"    Asian alone","57,309","±2,526","16,937","±3,069","29.6%","±4.8"
"    Native Hawaiian and Other Pacific Islander alone","N","N","N","N","N","N"
"    Some other race alone","50,259","±5,509","16,690","±3,475","33.2%","±6.1"
"    Two or more races","28,471","±3,893","5,466","±1,714","19.2%","±5.5"
"Hispanic or Latino origin (of any race)","125,253","±3,011","40,358","±4,452","32.2%","±3.6"
"White alone, not Hispanic or Latino","271,721","±4,647","35,366","±4,122","13.0%","±1.5"
"EDUCATIONAL ATTAINMENT","","","","","",""
"    Population 25 years and over","450,422","±3,531","71,176","±5,619","15.8%","±1.3"
"        Less than high school graduate","63,252","±3,322","21,231","±2,507","33.6%","±3.6"
"        High school graduate (includes equivalency)","94,745","±4,509","17,580","±2,355","18.6%","±2.3"
"        Some college, associate's degree","81,760","±5,197","16,223","±3,211","19.8%","±3.3"
"        Bachelor's degree or higher","210,665","±5,910","16,142","±2,159","7.7%","±1.0"
"EMPLOYMENT STATUS","","","","","",""
"    Civilian labor force 16 years and over","375,239","±5,649","41,482","±3,812","11.1%","±1.0"
"        Employed","351,614","±5,884","31,646","±3,414","9.0%","±1.0"
"            Male","174,403","±5,096","12,424","±2,058","7.1%","±1.2"
"            Female","177,211","±3,819","19,222","±2,422","10.8%","±1.4"
"        Unemployed","23,625","±3,012","9,836","±1,830","41.6%","±5.4"
"            Male","13,355","±2,099","5,145","±1,255","38.5%","±7.4"
"            Female","10,270","±1,696","4,691","±1,156","45.7%","±7.5"
"WORK EXPERIENCE","","","","","",""
"    Population 16 years and over","526,353","±5,243","98,989","±6,635","18.8%","±1.2"
"        Worked full-time, year-round in the past 12 months","244,618","±6,595","4,596","±1,094","1.9%","±0.4"
"        Worked part-time or part-year in the past 12 months","138,755","±5,462","37,101","±3,700","26.7%","±2.6"
"        Did not work","142,980","±5,514","57,292","±4,589","40.1%","±2.7"
"ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","",""
"    50 percent of poverty level","64,033","±5,600","(X)","(X)","(X)","(X)"
"    125 percent of poverty level","162,889","±8,444","(X)","(X)","(X)","(X)"
"    150 percent of poverty level","186,754","±8,615","(X)","(X)","(X)","(X)"
"    185 percent of poverty level","217,012","±9,037","(X)","(X)","(X)","(X)"
"    200 percent of poverty level","228,273","±9,315","(X)","(X)","(X)","(X)"
"    300 percent of poverty level","307,567","±10,337","(X)","(X)","(X)","(X)"
"    400 percent of poverty level","379,894","±10,150","(X)","(X)","(X)","(X)"
"    500 percent of poverty level","437,767","±9,802","(X)","(X)","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","227,818","±8,356","59,787","±4,795","26.2%","±1.6"
"    Male","116,153","±5,556","27,419","±3,351","23.6%","±2.3"
"    Female","111,665","±4,765","32,368","±3,029","29.0%","±2.1"
"15 years","683","±586","683","±586","100.0%","±21.3"
"16 to 17 years","346","±261","346","±261","100.0%","±35.7"
"18 to 24 years","32,164","±2,962","17,160","±2,282","53.4%","±4.6"
"25 to 34 years","87,743","±4,534","14,304","±2,130","16.3%","±2.2"
"35 to 44 years","29,385","±2,768","4,970","±1,273","16.9%","±4.0"
"45 to 54 years","23,261","±2,219","4,357","±912","18.7%","±3.7"
"55 to 64 years","23,460","±2,197","7,257","±1,433","30.9%","±4.6"
"65 to 74 years","16,717","±1,639","5,287","±1,012","31.6%","±5.1"
"75 years and over","14,059","±1,619","5,423","±1,120","38.6%","±6.1"
"Mean income deficit for unrelated individuals (dollars)","7,331","±315","(X)","(X)","(X)","(X)"
"Worked full-time, year-round in the past 12 months","116,119","±5,775","1,765","±576","1.5%","±0.5"
"Worked less than full-time, year-round in the past 12 months","54,350","±3,684","21,165","±2,427","38.9%","±3.5"
"Did not work","57,349","±3,801","36,857","±3,424","64.3%","±3.1"
