Project_Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8
Abbot Street/ Shawmut Ave,roxbury,2119.0,16,16,0,0.0,0.0,0.0,16,16,0.0,Rental,Private,,
Academy Homes I,roxbury,2119.0,202,202,0,52.0,52.0,0.0,150,150,0.0,Rental,Private,,
Academy Homes II,roxbury,2119.0,236,236,0,0.0,0.0,0.0,236,236,0.0,Rental,Private,,Y
Adams Templeton Elderly Housing,dorchester,2124.0,76,76,0,1.0,1.0,0.0,75,75,0.0,Rental,Private,Y,Y
Alexander-Magnolia,dorchester,2125.0,40,40,0,2.0,2.0,0.0,38,38,0.0,Rental,Private,,
Alleyne (VUP) CDFI,roxbury,2121.0,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,
Amiff Housing,dorchester,2124.0,96,96,0,0.0,0.0,0.0,96,96,0.0,Rental,Private,,Y
Andrade (VUP),dorchester,2122.0,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,
Annapolis (2-27),dorchester,2125.0,56,56,0,0.0,0.0,0.0,56,56,0.0,Rental,Public,Y,
Ashmont (2-28),dorchester,2124.0,54,54,0,0.0,0.0,0.0,54,54,0.0,Rental,Public,Y,
Ashmont TOD (Housing),dorchester,2124.0,116,74,42,42.0,0.0,42.0,74,74,0.0,Rental,Private,,
Bailey (VUP),roxbury,2121.0,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,
Balina Place at Norfolk St/Habitat,dorchester,2124.0,3,0,3,0.0,0.0,0.0,3,0,3.0,Ownership,Private,,
Baptista (VUP),dorchester,2125.0,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,
Bartlett Place Building E,roxbury,2119.0,16,0,16,14.0,0.0,14.0,2,0,2.0,Ownership,Private,,
Bartlett Place/Building B,roxbury,2119.0,60,0,60,22.0,22.0,0.0,38,38,0.0,Rental,Private,,
Bay Cove Group Homes IV,dorchester,2125.0,9,9,0,1.0,1.0,0.0,8,8,0.0,Rental,Private,,
BCN Properties,roxbury,2119.0,53,53,0,0.0,0.0,0.0,53,53,0.0,Rental,Private,,Y
Beasley (VUP),dorchester,2121.0,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
Bellflower (2-77),dorchester,2125.0,114,114,0,0.0,0.0,0.0,114,114,0.0,Rental,Public,Y,
Beryl Gardens,roxbury,2119.0,20,20,0,0.0,0.0,0.0,20,20,0.0,Rental,Private,,
BHA Infill 1A - Quincy Geneva,roxbury,2121.0,18,0,18,0.0,0.0,0.0,18,0,18.0,Ownership,Private,,
BHA Infill 1B - Codman Square NDC,dorchester,2124.0,2,0,2,0.0,0.0,0.0,2,0,2.0,Ownership,Private,,
BHA Infill 2 - Urban Edge,roxbury,2119.0,15,5,10,0.0,0.0,0.0,15,5,10.0,Ownership/Rental,Private,,
BHA Infill 3 - Nuestra,roxbury,2119.0,10,4,6,0.0,0.0,0.0,10,4,6.0,Ownership/Rental,Private,,
BHP Codman Square,dorchester,2124.0,80,80,0,0.0,0.0,0.0,80,80,0.0,Rental,Private,,
BHP Fields Corner,dorchester,2122.0,77,77,0,0.0,0.0,0.0,77,77,0.0,Rental,Private,,Y
BHP Lena Park,dorchester,2121.0,93,93,0,0.0,0.0,0.0,93,93,0.0,Rental,Private,,
BHP Quincy-Geneva,roxbury,2121.0,49,49,0,0.0,0.0,0.0,49,49,0.0,Rental,Private,,Y
BHP Westland Ave,fenway,2115.0,20,20,0,5.0,5.0,0.0,15,15,0.0,Rental,Private,,
Bird St. Estates,roxbury,2125.0,8,1,7,0.0,0.0,0.0,8,1,7.0,Ownership/Rental,Private,,
Blandino Farms,dorchester,2124.0,16,0,16,14.0,0.0,14.0,2,0,2.0,Ownership,Private,,
Bloomfield Gardens,dorchester,2124.0,27,27,0,0.0,0.0,0.0,27,27,0.0,Rental,Private,,
Blue Hill Commons,roxbury,2119.0,8,1,7,0.0,0.0,0.0,8,1,7.0,Ownership/Rental,Private,,
Blue Mountain Assoc.,roxbury,2121.0,217,217,0,0.0,0.0,0.0,217,217,0.0,Rental,Private,,Y
Boston Rehab,fenway,2115.0,144,144,0,0.0,0.0,0.0,144,144,0.0,Rental,Private,Y,Y
Boston's Hope in Dorchester,dorchester,2124.0,41,41,0,0.0,0.0,0.0,41,41,0.0,Rental,Private,Y,
Bowdoin Geneva Phase III (HOME AGAIN),dorchester,2122.0,20,2,18,0.0,0.0,0.0,20,2,18.0,Ownership/Rental,Private,,
Bowdoin/Geneva - HOME AGAIN,dorchester,2125.0,7,0,7,0.0,0.0,0.0,7,0,7.0,Ownership,Private,,
Bowdoin/Geneva (Phase II),dorchester,2125.0,10,5,5,2.0,1.0,1.0,8,4,4.0,Ownership/Rental,Private,,
Bowdoin-Geneva & Dudley FTHB,dorchester,2125.0,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,
Bowdoin-Geneva & Dudley Rental,roxbury,2119.0,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,
Bowen (VUP),dorchester,2124.0,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
Boylston West (Fenway Triangle Mixed Use),fenway,2215.0,172,172,0,159.0,159.0,0.0,13,13,0.0,Rental,Private,,
Bradford Estates,dorchester,2124.0,24,0,24,0.0,0.0,0.0,24,0,24.0,Ownership,Private,,
Bradlee-Fowler,dorchester,2124.0,3,1,2,0.0,0.0,0.0,3,1,2.0,Ownership/Rental,Private,,
Braxton (VUP),dorchester,2121.0,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
Brook Avenue Cooperative,roxbury,2119.0,36,36,0,0.0,0.0,0.0,36,36,0.0,Cooperative,Private,,
"Brookford, Dalin and Dean St. Homes (Julian Phase 2 HOME AGAIN)",roxbury,2125.0,18,1,17,0.0,0.0,0.0,18,1,17.0,Ownership/Rental,Private,,
Brookview House,dorchester,2124.0,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Private,,
Brookview House II,dorchester,2124.0,12,12,0,0.0,0.0,0.0,12,12,0.0,Rental,Private,,
Brookview House III,dorchester,2124.0,12,12,0,0.0,0.0,0.0,12,12,0.0,Rental,Private,,
Brown (VUP),dorchester,2121.0,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,
"Brown, J & D (VUP)",roxbury,2121.0,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,
Brown-Kaplan Townhomes,dorchester,2124.0,60,60,0,0.0,0.0,0.0,53,53,0.0,Rental,Private,,Y
Brunswick Street,dorchester,2121.0,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,
Buckminster Hotel,fenway,2215.0,18,18,0,16.0,16.0,0.0,2,2,0.0,Rental,Private,,
Buildable Lots - Codman Square,dorchester,,6,0,6,1.0,0.0,1.0,5,0,5.0,Ownership,Private,,
Buildable Lots - Ferndale,dorchester,2124.0,12,0,12,3.0,0.0,3.0,9,0,9.0,Ownership,Private,,
Buildable Lots - Uphams,dorchester,,6,0,6,0.0,0.0,0.0,6,0,6.0,Ownership,Private,,
Buildable Lots- 1&2,dorchester,2124.0,15,0,15,6.0,0.0,6.0,9,0,9.0,Ownership,Private,,
Buildable Lots- 3&4,dorchester,,18,0,18,8.0,0.0,8.0,10,0,10.0,Ownership,Private,,
Buildable Lots- 5,dorchester,2124.0,9,0,9,0.0,0.0,0.0,9,0,9.0,Ownership,Private,,
Burbank Gardens,fenway,2115.0,52,52,0,0.0,0.0,0.0,52,52,0.0,Rental,Private,,Y
Burton Apts (18u),roxbury,2120.0,18,18,0,0.0,0.0,0.0,18,18,0.0,Rental,Private,,Y
Burton-Dudley,roxbury,2119.0,16,16,0,0.0,0.0,0.0,16,16,0.0,Rental,Private,,
Callender|Floyd|Stratton NHI 1,dorchester,2124.0,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
Callender|Floyd|Stratton NHI 2,dorchester,2124.0,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
Callender|Floyd|Stratton NHI 3,dorchester,2124.0,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,
Callender|Floyd|Stratton NHI 6,dorchester,2124.0,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,
Callender|Floyd|Stratton NHI 7,dorchester,2124.0,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership,Private,,
Callender|Floyd|Stratton NHI 9,dorchester,2124.0,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,
Callender|Tucker NHI 1,dorchester,2124.0,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership,Private,,
Callender|Tucker NHI 2,dorchester,2124.0,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
Callender|Tucker NHI 3,dorchester,2124.0,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership,Private,,
Callender|Tucker NHI 4,dorchester,2124.0,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership,Private,,
Camden Street (200-2),roxbury,2118.0,72,72,0,0.0,0.0,0.0,72,72,0.0,Rental,Public,,
Camfield Gardens,roxbury,2118.0,102,102,0,0.0,0.0,0.0,102,102,0.0,Rental,Private,,Y
